Question	Which action most likely causes large rocks to become smaller pieces of rock?	question
Answer	weathering by wind and water	answer
0	weather is a source of wind and water for the weathering process	nongold
1	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
2	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
3	smaller means less; lower in size	nongold
4	weathering is a kind of erosion	gold
5	wind and rain; storms cause erosion	nongold
6	a piece of an object is smaller in size than the whole object	gold
7	when things erode , those things may become smaller	nongold
8	weathering; erosion usually occurs over a period of many years	nongold
9	to break down means to break into smaller pieces	nongold
10	action can cause change	nongold
11	a motion is a kind of event; action	nongold
12	a pebble is a kind of small rock	nongold
13	larger means greater; higher; more; increase in size	nongold
14	mechanical weathering is when rocks are broken down by mechanical means	nongold
15	wind causes erosion	nongold
16	wind direction is a property of weather	nongold
17	small is the opposite of large	nongold
18	decreasing is similar to becoming smaller	nongold
19	an event is a kind of action	gold
20	a rock is a kind of object	gold
21	becoming is a kind of action	nongold
22	larger; bigger is the opposite of smaller	nongold
23	rock means stone	nongold
24	an part of an object is smaller than the entire object	nongold
25	a piece of something is a kind of object	nongold
26	weathering occurs at the surface of the Earth	nongold
27	the wind-water interaction causes upwelling	nongold
28	water is a kind of object	nongold
29	action means activity	nongold
30	storm is a kind of weather; weather event	nongold
31	becoming is similar to forming	nongold
32	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
33	a boulder is a kind of large rock	nongold
34	forming is a kind of action	nongold
35	becoming is similar to changing	nongold
36	weathering is a kind of process	nongold
37	wind speed is a property of weather	nongold
38	sediment is formed by weathering	nongold
39	largest means greatest in size	nongold
40	break down means change from a whole into pieces	gold
41	a piece is a part of a whole	nongold
42	weather is a property of a environment	nongold
43	dissolving is a kind of action	nongold
44	mechanical weathering is a kind of weathering	nongold
45	precipitation is a kind of weather	nongold
46	bedrock is a kind of rock	nongold
47	to cause the formation of means to form	nongold
48	sedimentary rocks are made of small particles	nongold
49	flowing is a kind of action	nongold
50	the wind blowing across the surface of ocean causes wind-water interaction	nongold
51	windy is a kind of weather	nongold
52	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
53	metamorphic rock is a kind of rock	nongold
54	storms;rain cause bodies of water to increase amount of water they contain	nongold
55	rock is a kind of material	nongold
56	to change means to cause a change	nongold
57	chemical weathering is a kind of weathering	nongold
58	wind means moving air	nongold
59	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
60	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
61	length is a part of size	nongold
62	erosion is a kind of change	nongold
63	shrinking decreases size	nongold
64	weather  usually happens in troposphere	nongold
65	water is a kind of matter	nongold
66	to be a source of something means to cause that something	nongold
67	a boulder is a kind of rock	nongold
68	a change is a kind of event	nongold
69	cutting means changing the object from a whole into smaller pieces	nongold
70	an increase is a kind of change	nongold
71	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
72	cold is a kind of weather	nongold
73	an object is made of its parts	nongold
74	piles of rock are a kind of landform	nongold
75	erosion is a kind of destructive force	nongold
76	sediment is a kind of matter	nongold
77	revolving is a kind of action	nongold
78	affected means changed	nongold
79	massive is similar to large	nongold
80	the wind causes the surface of the water to change its direction toward the direction of the wind	nongold
81	precipitation is a property of weather	nongold
82	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
83	to cause something means to contribute to that something happening	nongold
84	composed of means made of	nongold
85	ice wedging is a kind of mechanical weathering	nongold
86	water causes the most soil and rock erosion	nongold
87	a decrease is a kind of change	nongold
88	causing is a kind of affecting	nongold
89	breaking down into pieces is a kind of change in shape	nongold
90	Earth is made of rock	nongold
91	a rock is usually a solid	nongold
92	soil erosion means soil loss through wind;water; animals	nongold
93	water is a kind of substance	nongold
94	erosion is a kind of process	gold
95	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
96	to cause an event means to make that event more likely	nongold
97	a body of water is a source of water	nongold
98	a glacier causes mechanical weathering	nongold
99	change is a kind of impact	nongold
