Question	Which of the following gases do plants use in photosynthesis?	question
Answer	carbon dioxide	answer
0	carbon dioxide is a kind of gas	gold
1	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
2	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
3	plants are a source of oxygen through photosynthesis	nongold
4	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	gold
5	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
6	photosynthesis is a source of oxygen	nongold
7	green plants are a kind of producer	gold
8	a plant is a kind of living thing	nongold
9	gaseous means of gas	nongold
10	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
11	to be used for something means to be required by that something	gold
12	oxygen is a kind of gas at room temperature	nongold
13	photosynthesis is a kind of chemical reaction	nongold
14	a leaf performs photosynthesis; gas exchange	nongold
15	to exhale means to release	nongold
16	carbon monoxide is a kind of gas	nongold
17	carbon dioxide can be found in the air	nongold
18	a plant is a kind of organism	nongold
19	to give off means to be the source of	nongold
20	a source of something emits; produces; generates; provides that something	nongold
21	gas is a kind of substance	nongold
22	a leaf is a part of a  green plant	nongold
23	to emit means to release	nongold
24	carbon dioxide is a kind of greenhouse gas	nongold
25	photosynthesizing means performing photosynthesis	nongold
26	a  plant requires sunlight for photosynthesis	nongold
27	carbon dioxide can trap solar energy	nongold
28	photosynthesis is a kind of chemical  process	nongold
29	In the photosynthesis process oxygen has the role of  waste product	nongold
30	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
31	hydrogen is a kind of gas at room temperature	nongold
32	atmosphere means  air	nongold
33	a leaf is a kind of plant	nongold
34	vapor is synonymous with gas	nongold
35	producing is similar to releasing	nongold
36	to be formed by is similar to being produced by	nongold
37	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
38	the photosynthetic life performs photosynthesis	nongold
39	sulfur dioxide is formed by the combustion of fossil fuels	nongold
40	emit means produce	nongold
41	a  gas is a kind of  element	nongold
42	air is a kind of gas	nongold
43	synthesize means to make	nongold
44	a tree is a kind of plant	nongold
45	an organism breaking down sugar is a source of carbon dioxide; water	nongold
46	a leaf absorbs sunlight to perform photosynthesis	nongold
47	converting is similar to releasing	nongold
48	a producer is a kind of living thing	nongold
49	photosynthesis stores; captures energy	nongold
50	a plant requires photosynthesis to grow; survive	nongold
51	animals are a source of carbon dioxide by exhaling	nongold
52	carbon dioxide is more dense than air	nongold
53	a plant is a member of a plant species	nongold
54	make means produce	nongold
55	converting is similar to producing	nongold
56	carbon is a kind of element	nongold
57	CO2 means carbon dioxide	nongold
58	the atmosphere contains gases; liquids; solids	nongold
59	heat means heat energy	nongold
60	chemical reactions cause new substances; different substances to form	nongold
61	methane is a kind of compound	nongold
62	hydrogen contains chemical energy	nongold
63	temperature is a measure of heat energy	nongold
64	a plant; living thing requires food for survival	nongold
65	substances have chemical properties	nongold
66	combustion is a kind of chemical change	nongold
67	to provide something means to be the source of that something	nongold
68	chemical reactions cause chemical change	nongold
69	to add means to increase	nongold
70	In the food chain process a  green plant has the role of  producer	nongold
71	the function of something is what that something  is used to do	nongold
72	sunlight means solar energy	nongold
73	form means kind	nongold
74	if something releases something else then that something is the source of that something else	nongold
75	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
76	solar energy is a kind of heat energy	nongold
77	to cause means to make	nongold
78	a leaf is a part of a tree	nongold
79	fossil fuels release carbon dioxide into the atmosphere	nongold
80	chemicals means substances	nongold
81	to serve as means to be used as	nongold
82	argon is a kind of gas	nongold
83	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
84	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
85	plant cells can perform photosynthesis	nongold
86	oxygen gas is made of only  oxygen element	nongold
87	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
88	composed of means made of	nongold
89	gas is a kind of object	nongold
90	produce is similar to release	nongold
91	most chemical reactions release or absorb heat energy	nongold
92	if something causes a process then that something is required for that process	nongold
93	the atmosphere is a part of nature; the environment	nongold
94	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
95	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
96	oxygen  is a kind of element	nongold
97	natural gas is a source of heat by burning	nongold
98	organisms are made of carbon	nongold
99	to give is similar to to cause	nongold
