Question	As a sample of water turns to ice,	question
Answer	the arrangement of the molecules changes.	answer
0	phase changes change the arrangement of molecules in a substance; in a sample	gold
1	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
2	arrangement means how something is arranged	nongold
3	to turn means to change	gold
4	turns is similar to changes	nongold
5	substances are made of molecules	nongold
6	sample is similar to small amount of substance; matter	nongold
7	water is a kind of matter	nongold
8	water is a kind of substance	gold
9	matter is made of molecules	nongold
10	water is a kind of liquid at room temperature	gold
11	the  arrangement of particles is different in different substances	nongold
12	a molecule is a kind of object	nongold
13	ice is a kind of solid	gold
14	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
15	a molecule is a kind of particle	nongold
16	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
17	temperature is a measure of heat energy	nongold
18	a molecule is made of atoms chemically combined; bonded	nongold
19	ice is a kind of object	nongold
20	a molecule is exceptionally small in size	nongold
21	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
22	a molecule is the smallest particle; unit that has the properties of a compound	nongold
23	to turn means to convert	nongold
24	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
25	ice is colder than water in temperature	nongold
26	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
27	substances are made of matter	nongold
28	matter; materials; substances are made of atoms; particles	nongold
29	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
30	a liquid is a kind of substance	nongold
31	materials are made of matter	nongold
32	liquid is a kind of state of matter	gold
33	ice is a kind of water phase	nongold
34	to add means to increase	nongold
35	affected means changed	nongold
36	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
37	turning is a kind of motion	nongold
38	water is a kind of compound	nongold
39	converting is similar to turning into	nongold
40	adding heat means increasing temperature	nongold
41	heat energy can change the state of matter	nongold
42	particles in objects are a kind of matter	nongold
43	variable means able to change	nongold
44	an increase is a kind of change	nongold
45	water is a kind of object	nongold
46	Mars contains ice	nongold
47	objects are made of materials; substances; matter	nongold
48	ice is a kind of food	nongold
49	a pure substance is made of only one kind of atom; molecule	nongold
50	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
51	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	temperature is a measure of kinetic energy of molecules	nongold
54	to change means to cause a change	nongold
55	heat means heat energy	nongold
56	melting is a kind of phase change	nongold
57	heating means adding heat	nongold
58	high is similar to increase	nongold
59	ice is cold in temperature	nongold
60	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
61	stay the same means not changing	nongold
62	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
63	ice crystals means  ice	nongold
64	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
65	material means substance	nongold
66	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
67	a decrease is a kind of change	nongold
68	composition is a property of an object; matter	nongold
69	can be means able to be	nongold
70	to convert means to change	nongold
71	Matter in the liquid phase has variable shape	nongold
72	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
73	hydrocarbon molecules can be large in size	nongold
74	the chemistry of something is similar to what that something is made of	nongold
75	temperature changing can cause phase changes	nongold
76	moisture means liquid; liquid water	nongold
77	answering questions requires information	nongold
78	solid is a kind of state of matter	gold
79	reducing is a kind of change	nongold
80	structure is a property of an object; a material; a substance	nongold
81	heat means temperature increases	nongold
82	freezing is a kind of phase change	nongold
83	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
84	form means kind	nongold
85	adding something is a kind of change	nongold
86	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
87	gas is a kind of state of matter	nongold
88	to reduce means to decrease	nongold
89	composition means the (materials, substances) of which something is composed	nongold
90	icy means made of ice	nongold
91	water is a kind of water phase	nongold
92	to change means to become different	nongold
93	solution is a kind of liquid	nongold
94	to change means to have an effect	nongold
95	atoms are made of particles	nongold
96	to slow; to slow down decreases speed	nongold
97	composed of means made of	nongold
98	to lower means to decrease	nongold
99	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
