Question	A scientist needs to take a picture of the well-ordered arrangements of the atoms and molecules within a substance. Which of the following instruments would be best for the scientist to use?	question
Answer	an electron microscope.	answer
0	a molecule is a kind of particle	nongold
1	a molecule is made of atoms chemically combined; bonded	nongold
2	a microscope is a kind of tool for observing small things	gold
3	an electron microscope creates a picture	gold
4	matter; materials; substances are made of atoms; particles	nongold
5	a pure substance is made of only one kind of atom; molecule	nongold
6	a scientist is a kind of human	nongold
7	matter is made of molecules	nongold
8	an electron is a kind of charged particle	nongold
9	substances are made of molecules	nongold
10	atoms are made of particles	nongold
11	instrument means device	nongold
12	arrangement means how something is arranged	nongold
13	best means most positive	nongold
14	a molecule is a kind of object	gold
15	an electron microscope is used for seeing very small objects by making them appear bigger	gold
16	An example of observing things is taking a picture	nongold
17	an atom is the smallest particle; unit that has the properties of an element	nongold
18	an atom is a kind of object	gold
19	an atom is made of protons; neutrons; electrons	nongold
20	electrons surround; orbit the nucleus of an atom	nongold
21	a molecule is the smallest particle; unit that has the properties of a compound	nongold
22	instrument means tool	gold
23	an instrument is a piece of equipment	nongold
24	atom cannot be divided into smaller substances	nongold
25	particles in objects are a kind of matter	nongold
26	the  arrangement of particles is different in different substances	nongold
27	material means substance	nongold
28	image means visual depiction of an object	nongold
29	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
30	the outer electron shell is a part of the electron configuration	nongold
31	substances are made of matter	nongold
32	studying  something usually requires seeing that something	nongold
33	an  element is a kind of atom	nongold
34	a living thing is a kind of object	nongold
35	answering questions requires information	nongold
36	take a picture means create a picture	gold
37	to depend on; to rely on; to need means to require	nongold
38	a particle is a kind of object	nongold
39	phase changes change the arrangement of molecules in a substance; in a sample	nongold
40	scientists make observations	nongold
41	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
42	look at means observe	nongold
43	a device is a kind of object	nongold
44	better means good	nongold
45	to help; to benefit means to be of use	nongold
46	an element is made of one kind of atoms	nongold
47	objects are made of materials; substances; matter	nongold
48	interatomic means existing or acting between atoms	nongold
49	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
50	good means positive	nongold
51	a human is a kind of animal	nongold
52	charged particles are a kind of high-energy particles	nongold
53	the structure  of an atom can be used for identifying the element	nongold
54	microscopic means very small in size	nongold
55	increasing is a kind of order	nongold
56	the function of something is what that something  is used to do	nongold
57	to be used for something means to be required by that something	nongold
58	can be means able to be	nongold
59	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
60	experimentation requires measuring	nongold
61	electron configuration is a property of elements	nongold
62	device means tool	nongold
63	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
64	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
65	the properties of something are used for describing that something	nongold
66	observe means see	nongold
67	an part of an object is smaller than the entire object	nongold
68	measuring is used for describing an object	nongold
69	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
70	to be good for means to have a positive impact on	nongold
71	to study means to examine	nongold
72	a proton is a part of an atom; an element	nongold
73	an atom is exceptionally small in size	gold
74	measuring is a kind of observing	nongold
75	a tool is a kind of object	nongold
76	to be used  for something means to help to do that something	nongold
77	DNA is a kind of molecule	nongold
78	if something is made of something; a material then that something contains that something; that material	nongold
79	electrons are found farthest from the center of the atom	nongold
80	made up of means contains; made of	nongold
81	requiring something means needing that something	nongold
82	the basic unit of matter is atom	nongold
83	an animal is a kind of living thing	nongold
84	a type is synonymous with a kind	nongold
85	a structure of something is synonymous with a part of that something	nongold
86	high is similar to increase	nongold
87	requiring is similar to needing help	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	helping something has a  positive impact on that something	nongold
90	classifying means grouping objects; materials by their properties	nongold
91	reading  requires seeing	nongold
92	liquid is a kind of state of matter	nongold
93	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
94	An example of following orders is coming when called	nongold
95	composed of means made of	nongold
96	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
97	form means kind	nongold
98	take in means absorb	nongold
99	both means two	nongold
