Question	Which of these is a nonliving thing?	question
Answer	a river	answer
0	water is a kind of nonliving thing	gold
1	nonliving; non-living; die is the opposite of living; alive; live	gold
2	nonliving means not living	nongold
3	a river is a kind of flowing body of water	gold
4	a stream is a kind of body of water	nongold
5	air is a kind of nonliving thing	nongold
6	rock is a kind of nonliving thing	nongold
7	nonliving things are not made of cells	nongold
8	an ecosystem contains nonliving things	nongold
9	death means to die	nongold
10	soil is a kind of nonliving thing	nongold
11	a body of water is a kind of environment	nongold
12	a living thing is a kind of object	nongold
13	an organism is a living thing	nongold
14	organisms mean life	nongold
15	an animal is a kind of living thing	gold
16	if a living thing dies then that living thing is dead	nongold
17	light is a kind of nonliving thing	nongold
18	survive means live	nongold
19	survive means live	nongold
20	water is a part of an environment	nongold
21	an aquatic animal is a kind of animal	nongold
22	aquatic animals; plants live in bodies of water	nongold
23	life means living things	nongold
24	live means to be alive	nongold
25	animals; living things require water for survival	nongold
26	aquatic animal means water animal	nongold
27	a body of water contains water	nongold
28	an animal; bacterium requires oxygen for survival; to breathe	nongold
29	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
30	organisms are a part of an environment	nongold
31	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
32	water is a kind of object	nongold
33	a plants; living things require water for survival; to grow	nongold
34	all living and nonliving materials are made of elements	nongold
35	dying is the opposite of living; surviving	nongold
36	a riverbed is a part of a river	nongold
37	dead means not alive	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	low is similar to decrease	nongold
40	harming something has a  negative impact on; effect on that something	nongold
41	An example of an environment is a forest; a river; a grassland; an ocean	nongold
42	animals; living things live and feed in their habitats; near their habitats	nongold
43	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
44	abiotic means nonliving	nongold
45	a body of water is a source of water	nongold
46	if there is none of a thing then that thing does not exist	nongold
47	something that contains water is similar to a body of water	nongold
48	survival means to survive	nongold
49	a river is a kind of channel for water	nongold
50	an ocean is a kind of body of water	nongold
51	a fungus is a kind of living thing	gold
52	organisms; living things live in their habitat; their home	nongold
53	remains mean parts of a dead organism	nongold
54	an animal is a member of an animal species	nongold
55	killing means harming something causing death	nongold
56	an animal is a kind of organism	nongold
57	once-living means dead	nongold
58	a fungus is a kind of organism	nongold
59	species means a group of like organisms	nongold
60	the Colorado River is a kind of river	nongold
61	organisms lived in the water when they first appeared on Earth	nongold
62	a plant; living thing requires food for survival	nongold
63	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
64	remains is similar to dead organisms	nongold
65	when a river floods , that river deposits soil; sediment in flood plains	nongold
66	lack is similar to low; little	nongold
67	to lower means to decrease	nongold
68	a human is a kind of animal	nongold
69	a plant is a kind of organism	nongold
70	a fish is a kind of aquatic animal	nongold
71	water is a kind of substance	nongold
72	an insect is a kind of animal	nongold
73	to give is similar to to cause	nongold
74	a worm is a kind of animal	gold
75	little is similar to decrease	nongold
76	a fish is a kind of animal	nongold
77	a frog is a kind of animal	nongold
78	less is similar to decrease	nongold
79	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
80	lowest means least in value; amount; number	nongold
81	a plant is a kind of living thing	gold
82	a bicycle is a kind of nonliving thing	nongold
83	a type is synonymous with a kind	nongold
84	if a species existed for a relatively short time then that species is now extinct	nongold
85	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
86	high is similar to increase	nongold
87	a crab is a kind of water animal	nongold
88	greatest means largest; highest; most amount of something	nongold
89	die out means become extinct	nongold
90	harming an environment causes harm to the living things; to the organisms in that environment	nongold
91	water is a kind of matter	nongold
92	form means kind	nongold
93	an environment means an area	nongold
94	biotic means living	nongold
95	a lake is a kind of body of water	nongold
96	harming an organism can cause that organism to die	nongold
97	answering questions requires information	nongold
98	preserved means from the past; from long ago	nongold
99	fewest means lowest; least in number	nongold
