Question	A rock sample will most likely contain	question
Answer	minerals.	answer
0	rock is made of minerals	gold
1	a mineral is a kind of solid; natural material	nongold
2	sample is similar to small amount of substance; matter	nongold
3	to be found in means to be contained in	nongold
4	a mineral is a kind of object	nongold
5	if something is made of something; a material then that something contains that something; that material	nongold
6	if something is a part of something else then that something else contains that something	nongold
7	to contain means to have inside	nongold
8	if something absorbs something else then that something will contain that something else	nongold
9	rock is a kind of material	nongold
10	answering questions requires information	nongold
11	to contain something means to have that something	nongold
12	contains means located in	nongold
13	a rock is a kind of object	nongold
14	made of is similar to contains	nongold
15	contain is similar to store	nongold
16	some minerals are nutrients	nongold
17	material means substance	nongold
18	all minerals are formed by natural geological processes	nongold
19	minerals are a nonrenewable resource	nongold
20	if something does not contain something else then that something lacks that something else	nongold
21	often is similar to likely	nongold
22	if something is a source of something else then that something usually contains that something else	nongold
23	if something is a part of something then that something can be found in that something	nongold
24	made up of means contains; made of	gold
25	containing something is similar to providing that something	nongold
26	gypsum is a kind of mineral	nongold
27	if something contains something , then something is able to provide something	nongold
28	rock is a kind of nonliving thing	nongold
29	hypothesis means scientific guess about the cause and effect of an event	nongold
30	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
31	to be filled with means to contain	nongold
32	rocks sometimes contain aluminum	nongold
33	to give is similar to to cause	nongold
34	an element is a kind of material	nongold
35	can be means able to be	nongold
36	a component of something means a part of that something	nongold
37	a container contains objects; material; substances	nongold
38	an element is a kind of  substance	nongold
39	a rock is usually a solid	nongold
40	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
41	a component means a part of	nongold
42	to be made of is similar to collection	nongold
43	including means containing	nongold
44	a hypothesis is a kind of scientific term	nongold
45	take in means absorb	nongold
46	denser means more dense	nongold
47	an event is a kind of action	nongold
48	a liquid is a kind of substance	nongold
49	rocks often contain large amounts of metal	nongold
50	talc is a kind of mineral	nongold
51	high is similar to increase	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
54	substances are made of matter	nongold
55	a living thing is a kind of object	nongold
56	a type is synonymous with a kind	nongold
57	mica is a kind of mineral	nongold
58	to be used for something means to be required by that something	nongold
59	all elements are a kind of pure substance	nongold
60	composed of means made of	nongold
61	metamorphosed rock is a kind of rock	nongold
62	a particle is a kind of object	nongold
63	to disperse means to separate	nongold
64	to carry something means to contain something	nongold
65	objects are made of materials; substances; matter	nongold
66	form means kind	nongold
67	contents means the substance in a container	nongold
68	a process is a kind of event	nongold
69	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
70	particles in objects are a kind of matter	nongold
71	an object; material; substance comes from that object or material's source	nongold
72	to depend on; to rely on; to need means to require	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	a part of a process means a stage in a process	nongold
75	substances are made of elements	nongold
76	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
77	to collect means to gather	nongold
78	materials are made of matter	nongold
79	most means over 50% of something	nongold
80	knowing the properties of something means knowing information about that something	nongold
81	amount is similar to abundance	nongold
82	quantity means amount	nongold
83	composition means the (materials, substances) of which something is composed	nongold
84	rocks sometimes contain iron	nongold
85	sulfur is a kind of mineral	nongold
86	a structure of something is synonymous with a part of that something	nongold
87	calcium is a kind of element	nongold
88	water is a kind of substance	nongold
89	if something causes a process then that something is required for that process	nongold
90	to be formed by is similar to being produced by	nongold
91	concentration means amount	nongold
92	containing something is similar to holding something	nongold
93	if an event is required for a process then that event must occur before that process can occur	nongold
94	matter; materials; substances are made of atoms; particles	nongold
95	something that contains water is similar to a body of water	nongold
96	iron is a kind of mineral	nongold
97	an part of an object is smaller than the entire object	nongold
98	high-quality means positive	nongold
99	absorption is a kind of event	nongold
