Question	Which resource is most likely found in large amounts in forest ecosystems?	question
Answer	wood	answer
0	a tree contains wood	gold
1	to be found in means to be contained in	gold
2	wood is a kind of resource	nongold
3	wood is a renewable resource	gold
4	trees are a kind of resource	nongold
5	a lot means large in amount; quantity	gold
6	trees are a kind of natural resource	nongold
7	a forest is a kind of ecosystem	gold
8	logging is when humans cut down trees; forests for wood	nongold
9	a forest contains  lots of plants; trees	gold
10	natural resources are found in nature	nongold
11	an ecosystem contains a large community of; large numbers of living organisms	nongold
12	woodland means forest	nongold
13	a forest is a kind of environment	nongold
14	wood is a kind of biomass	nongold
15	quantity means amount	nongold
16	trees are a renewable resource	nongold
17	wood is a kind of natural material	nongold
18	if something is a part of something then that something can be found in that something	nongold
19	plants are a kind of resource	nongold
20	a tree is a kind of plant	nongold
21	largest amount means most	nongold
22	most means over 50% of something	nongold
23	wood is a kind of object	nongold
24	wood is a kind of energy resource	nongold
25	grass does not contain wood	nongold
26	a tree is a kind of living thing	nongold
27	an ecosystem is a kind of habitat	nongold
28	a rainforest is a kind of ecosystem	nongold
29	forest is synonymous with wooded area	nongold
30	nutrients are a kind of resource	nongold
31	found in means existing in	nongold
32	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
33	bark is a part of a tree	nongold
34	to depend on; to rely on; to need means to require	nongold
35	amount is similar to abundance	nongold
36	a renewable resource is a kind of natural resource	nongold
37	to provide something means to be the source of that something	nongold
38	An example of an environment is a forest; a river; a grassland; an ocean	nongold
39	the amount of something is similar to the availability of something	nongold
40	greatest means largest; highest; most amount of something	nongold
41	an oak is a kind of tree	nongold
42	a natural resource is a kind of environmental factor	nongold
43	some species of tree are deciduous	nongold
44	roots are a part of a plant; tree	nongold
45	green plants are a kind of producer	nongold
46	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
47	wood is usually sturdy	nongold
48	a supply of something is a source of that something	nongold
49	often is similar to likely	nongold
50	concentration means amount	nongold
51	if something is a source of something else then that something usually contains that something else	nongold
52	water is a kind of natural resource	nongold
53	water is a kind of natural resource	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
56	often soil is found in an environment	nongold
57	food is a kind of resource	nongold
58	an ecosystem contains nonliving things	nongold
59	if something requires something else then that something requires a source of that something else	nongold
60	abundant means high in number	nongold
61	wood is a kind of nonmetal	nongold
62	a rain forest is a kind of forest	nongold
63	a material is a kind of resource	nongold
64	to discover means to find	nongold
65	if something contains something , then something is able to provide something	nongold
66	made up of means contains; made of	nongold
67	if something is made of something; a material then that something contains that something; that material	nongold
68	woodpeckers live in forests	nongold
69	a renewable resource is a kind of naturally replaced resource	nongold
70	area; space is a kind of resource	nongold
71	contain is similar to store	nongold
72	some animals live in forests	nongold
73	a redwood tree is a kind of tree	nongold
74	a wooden log is made of wood	nongold
75	to provide means to supply	nongold
76	wood burns	nongold
77	contains means located in	nongold
78	to contain something means to have that something	nongold
79	if something is a part of something else then that something else contains that something	nongold
80	a plant is a kind of organism	nongold
81	wood is a strong material	nongold
82	to contain means to have inside	nongold
83	timber companies cut down trees	nongold
84	search for means seek to find	nongold
85	renewable resources are often available for many years	nongold
86	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
87	trees are a source of paper	nongold
88	a leaf is a part of a tree	nongold
89	the Earth contains many ecosystems	nongold
90	an object; material; substance comes from that object or material's source	nongold
91	to be used for something means to be required by that something	nongold
92	an animal; living thing requires nutrients for survival	nongold
93	to produce means to provide	nongold
94	if something is a raw material in a process then that something is required for that process	nongold
95	wood chips are made of wood	nongold
96	fossil fuels are a nonrenewable resource	nongold
97	wood is a thermal; thermal energy insulator	nongold
98	a fossil fuel is a kind of natural resource	nongold
99	wood is an thermal; thermal energy insulator	nongold
