Question	People are developing electric cars that would replace gasoline-burning cars. One major advantage of the electric car is that it	question
Answer	causes less pollution.	answer
0	advantage has a positive impact on something	nongold
1	burning gasoline; oil is a source of air pollution	gold
2	pollution has a negative impact on the environment; air quality; water quality; society	gold
3	fossil fuels burning causes pollution	nongold
4	an electric car uses less gasoline than a regular car	nongold
5	replacing something causes that something to decrease	nongold
6	electricity causes less pollution than gasoline	gold
7	a disadvantage is  a negative impact	nongold
8	humans cause pollution	nongold
9	decreasing something negative has a positive impact on a thing	nongold
10	less means a reduced amount	nongold
11	fire causes burning	nongold
12	using a car causes pollution	nongold
13	burning a living thing usually causes harm to that living thing	nongold
14	less is similar to decrease	nongold
15	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
16	harming something has a  negative impact on; effect on that something	nongold
17	less is the opposite of more	nongold
18	an electric car contains an electric motor	nongold
19	an increase is the opposite of a decrease	nongold
20	decreasing something positive has a negative impact on a thing	nongold
21	a car is a kind of automobile	nongold
22	gasoline is a kind of fuel	nongold
23	an automobile is a kind of vehicle	nongold
24	a car is a kind of vehicle	gold
25	as the amount of a source of something decreases , the amount of that something will decrease	nongold
26	burning gasoline is a source of  heat energy	nongold
27	replacement means something that is replaced	nongold
28	negative impact is the opposite of positive impact	gold
29	as the cause of something decreases , that something will decrease	nongold
30	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
31	to reduce means to decrease	nongold
32	as the use of something decreases , the use of the source of that something will decrease	nongold
33	person is synonymous with human	nongold
34	something harmful can cause harm	nongold
35	a positive impact is  a benefit	nongold
36	increase means more	nongold
37	many vehicles emit pollution into the air	gold
38	low is similar to decrease	nongold
39	using a gasoline engine requires burning  gasoline	nongold
40	to impact means to affect	nongold
41	solar energy rarely causes pollution	nongold
42	as mileage per galon of gasoline increases , the amount of gasoline used will decrease	nongold
43	fewer means lower; less in number	nongold
44	more burning causes fire to be hotter	nongold
45	fuel efficient means uses less fuel	nongold
46	replace means change from one thing into  another	nongold
47	automobiles; industrialization are a source of carbon dioxide	nongold
48	to lower means to decrease	nongold
49	lower means less	nongold
50	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
51	fire causes harm to trees; to forests; to living things	nongold
52	impact means effect	nongold
53	operating an automobile usually requires fossil fuels	nongold
54	vehicles usually require gasoline to operate	gold
55	pollution is a kind of environmental problem	nongold
56	as use of public transportation increases , the use of automobiles decreases	nongold
57	an electric car is a kind of invention	nongold
58	little is similar to decrease	nongold
59	a flame are a part of a fire	nongold
60	a car is a kind of object	nongold
61	to be a source of something means to cause that something	nongold
62	helping something has a  positive impact on that something	gold
63	using gasoline is a source of carbon dioxide	nongold
64	a person is a kind of animal	nongold
65	too much is similar to increase	nongold
66	to cause means to have an effect	nongold
67	human waste often causes harm to an environment	nongold
68	to combust means to catch fire	nongold
69	oil is a source of gasoline	nongold
70	high is similar to increase	nongold
71	burning is a kind of action	nongold
72	solution is similar to a positive impact	nongold
73	a fire requires  oxygen to burn	nongold
74	a factor impacts something	nongold
75	if something causes an increase in something else then that something produces that something else	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	fire destroys plants in an environment	nongold
78	combustion means fire converts chemical energy into light energy and heat energy	nongold
79	air pollution; rain can cause the pH of soil to decrease	nongold
80	a burner is a kind of object; surface	nongold
81	a negative impact is a kind of consequence; risk	nongold
82	light pollution is made of light	nongold
83	if a living thing requires something then that something has a positive impact on that living thing	nongold
84	if something is required for a process then that something positively impacts that process	nongold
85	deplete is similar to decrease	nongold
86	adverse effect means negative impact	nongold
87	a source of something increases the amount of that something	nongold
88	a vehicle is a kind of object	nongold
89	pollutants have a negative impact on the environment; air quality	nongold
90	waste has a  negative impact on the environment	nongold
91	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
92	developing means making	nongold
93	causing is a kind of affecting	nongold
94	gas-efficient engines use less gas	nongold
95	an adaptation is an advantage	nongold
96	a decrease is a kind of change	nongold
97	controlling the amount of pollution is similar to reducing the amount of pollution	nongold
98	gasoline is a source of chemical energy	nongold
99	gasoline is a kind of chemical power source	nongold
