Question	The ratio of an object's mass to its volume is its	question
Answer	density.	answer
0	density is a measure of mass of an object over volume; divided by volume	gold
1	a ratio is a measure of one measure over another measure; divided by another measure	gold
2	a ratio is a measure of  one value divided by another value	nongold
3	size; amount of space means volume	nongold
4	mass; weight is a property of matter; objects; materials	nongold
5	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
6	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
7	mass is a property of objects; matter	nongold
8	objects are made of materials; substances; matter	nongold
9	mass is similar to size	nongold
10	Matter in the liquid phase has definite volume	nongold
11	volume is a property of matter	nongold
12	particles in objects are a kind of matter	nongold
13	weight is a property of objects; matter	nongold
14	mass is a measure of the amount of matter in an object	nongold
15	if an object has a small volume and large mass , then the object will  have a high density	nongold
16	Matter in the solid phase has definite volume	nongold
17	matter; materials; substances are made of atoms; particles	nongold
18	as the mass of an object increases , the density of that object will increase	nongold
19	quantity means amount	nongold
20	material means substance	nongold
21	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
22	a container contains objects; material; substances	nongold
23	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
24	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
25	a living thing is a kind of object	nongold
26	as amount; size of something increases , the intensive properties of that something will not change	nongold
27	materials are made of matter	nongold
28	the volume of an object can be used to describe  the size of that object	nongold
29	can be means able to be	nongold
30	level is similar to amount; quantity	nongold
31	as the volume of an object decreases , the density of that object will increase	nongold
32	to add means to increase	nongold
33	weight is a measure of the force of the gravity on the mass of an object	nongold
34	high is similar to increase	nongold
35	form means kind	nongold
36	dense means high in density	nongold
37	substances are made of matter	nongold
38	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
39	variable means able to change	nongold
40	an animal is a kind of living thing	nongold
41	a container is a kind of object	nongold
42	constant means not changing	nongold
43	higher means greater; above in value; amount; number	nongold
44	Matter in the gas phase has variable volume	nongold
45	a weight is a kind of object	nongold
46	small is the opposite of large	nongold
47	definite is the opposite of variable	nongold
48	length is a part of size	nongold
49	greatest means largest; highest; most amount of something	nongold
50	structure is a property of an object; a material; a substance	nongold
51	a liquid is a kind of substance	nongold
52	an increase is a kind of change	nongold
53	a particle is a kind of object	nongold
54	larger means greater; higher; more; increase in size	nongold
55	an increase is the opposite of a decrease	nongold
56	low is the opposite of high	nongold
57	an part of an object is smaller than the entire object	nongold
58	if two substances have the same volume , then the  substance with less density will have less mass	nongold
59	mass; weight is an extensive property	nongold
60	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
61	density is an intensive property	nongold
62	an object is made of its parts	nongold
63	a decrease is a kind of change	nongold
64	lowest means least in value; amount; number	nongold
65	as the amount; size of something increases , the extensive properties of that something will increase	nongold
66	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
67	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
68	approximately means about	nongold
69	low means down	nongold
70	a  solution  is a kind of object	nongold
71	liquid is a kind of state of matter	nongold
72	same means identical; equal in value; amount; number; quantity	nongold
73	composed of means made of	nongold
74	increasing is a kind of order	nongold
75	a gram  is a kind of unit for measuring mass	nongold
76	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
77	affected means changed	nongold
78	composition is a property of an object; matter	nongold
79	a surface is a part of a material	nongold
80	not is similar to the opposite of	nongold
81	length is a measure of distance from one end of an object to the other end of that object	nongold
82	expand is a kind of change in volume	nongold
83	an object has properties	nongold
84	contents means the substance in a container	nongold
85	a surface is a part of an object	nongold
86	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
87	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
88	milliliters is a kind of unit for measuring volume of liquids	nongold
89	density is a kind of physical property	nongold
90	distance is a property of space and includes ordered values of close; far	nongold
91	a type is synonymous with a kind	nongold
92	extreme means very high in value	nongold
93	greater means higher; more in value	nongold
94	gases are usually low in density	nongold
95	unit is similar to part	nongold
96	a component means a part of	nongold
97	if a substance has volume , then the substance takes up space	nongold
98	state means form	nongold
99	less is similar to decrease	nongold
