Question	A scientist combines oxygen and hydrogen to form water. This combination illustrates that water is	question
Answer	a compound.	answer
0	water is made of hydrogen and oxygen	nongold
1	combining; mixing two substances chemically causes chemical reactions	nongold
2	water is a kind of compound	gold
3	to be a combination of means to be made of	nongold
4	oxygen  is a kind of element	gold
5	a compound is made of two or more elements that have been chemically combined	gold
6	water is a kind of substance	nongold
7	to add means to combine	nongold
8	a scientist is a kind of human	nongold
9	hydrogen is a kind of element	gold
10	water is a kind of liquid at room temperature	nongold
11	to be made of something means to be formed of that something	gold
12	a compound is a kind of substance	nongold
13	compound is a kind of chemical	nongold
14	a compound can be chemically separated into the elements that it is made of	nongold
15	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
16	if a substance is made of one element , then the substance is called an element	nongold
17	a chemical compound is a kind of compound	nongold
18	water contains dissolved oxygen	nongold
19	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
20	pair is a kind of combination	nongold
21	all elements are a kind of pure substance	nongold
22	a liquid is a kind of substance	nongold
23	nitrogen is a kind of element	nongold
24	substances are made of elements	nongold
25	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
26	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
27	an element is a kind of  substance	nongold
28	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
29	oxygen is a kind of gas at room temperature	nongold
30	if something is dissolved , then that something is the solute	nongold
31	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
32	water is a kind of matter	nongold
33	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
34	chemical reactions cause new substances; different substances to form	nongold
35	forming is similar to converting	nongold
36	chlorine is a kind of element	nongold
37	can be means able to be	nongold
38	An example of a chemical property is the elements a compound is made of	nongold
39	plus means to combine	nongold
40	to fuse means to combine	nongold
41	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
42	a molecule is made of atoms chemically combined; bonded	nongold
43	state means form	nongold
44	a solute can be dissolved in a solvent when they are combined	nongold
45	to change into means to form	nongold
46	when two substances together form a compound then those substances cannot be physically separated	nongold
47	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
48	a body of water contains water	nongold
49	products are formed; are produced; are created	nongold
50	hydrogen is a kind of gas at room temperature	nongold
51	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	form means kind	nongold
54	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
55	made up of means contains; made of	nongold
56	a solid is a kind of substance	nongold
57	an mixture is formed by two or more substances combined together physically	nongold
58	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
59	an  element is a kind of atom	nongold
60	a pure substance is made of only one kind of atom; molecule	nongold
61	to make means to form	nongold
62	chemical compounds contain chemical bonds between atoms; between elements	nongold
63	nitrogen is a kind of gas	nongold
64	composed of means made of	nongold
65	a physicist is a kind of scientist	nongold
66	both means two	nongold
67	the chemistry of something is similar to what that something is made of	nongold
68	made of is similar to contains	nongold
69	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
70	a compound is a kind of material	nongold
71	a chemical property is the opposite of a physical property	nongold
72	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
73	a nonmetal is a kind of element	nongold
74	substances have chemical properties	nongold
75	sodium chloride dissolves in water when they are combined	nongold
76	if something is made of something else , then that something else will be the component of that something	nongold
77	chlorine is a kind of green, poisonous gas	nongold
78	to convert means to change	nongold
79	an element is a kind of material	nongold
80	hydrogen chloride is made of hydrogen and chlorine	nongold
81	scientists make observations	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	hydrogen contains chemical energy	nongold
84	mixture means solids combined together that maintain their physical properties	nongold
85	oxygen is a part of many organic molecules	nongold
86	material means substance	nongold
87	the melting point of oxygen is -361.8F; -218.8C; 54.4K	nongold
88	to be made of means to consist of	nongold
89	a physical property is a kind of property	nongold
90	liquid is a kind of state of matter	nongold
91	an animal; bacterium requires oxygen for survival; to breathe	nongold
92	water is a kind of object	nongold
93	if something is made of something else then that something can be broken down into that something else	nongold
94	not is similar to the opposite of	nongold
95	carbon monoxide is a kind of gas	nongold
96	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
97	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
98	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
99	to be formed by is similar to being produced by	nongold
