Question	In order for a glider to fly, its weight must be opposed by	question
Answer	lift.	answer
0	flying an object requires lift to oppose the object's weight	gold
1	a glider is a kind of object	gold
2	a weight is a kind of object	nongold
3	weight means the force of gravity acting on an object	nongold
4	Weight is  the  force of gravity acting on an object	nongold
5	An example of exerting force on an object is lifting an object	nongold
6	flying is a kind of motion through air; space	nongold
7	mass; weight is a property of matter; objects; materials	nongold
8	weight is a property of objects; matter	nongold
9	an airplane is a kind of vehicle	nongold
10	motion; movement means moving; to move	nongold
11	gravity is a kind of force	nongold
12	a living thing is a kind of object	nongold
13	weight is a measure of the force of the gravity on the mass of an object	nongold
14	low means down	nongold
15	a surface is a part of a material	nongold
16	an animal is a kind of living thing	nongold
17	flying is a kind of locomotion	nongold
18	a surface is a part of an object	nongold
19	lowering is a kind of motion	nongold
20	must have means require	gold
21	light means low  in weight	nongold
22	low is the opposite of high	nongold
23	if an object is made of a material then that object has the properties of that material	nongold
24	material means substance	nongold
25	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
26	objects are made of materials; substances; matter	nongold
27	strength is a property of an object; a material	nongold
28	counter means reduce; stop; resist	nongold
29	an increase is the opposite of a decrease	nongold
30	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
31	to lift means to move up	nongold
32	force causes the speed of an object to increase; to decrease	nongold
33	a type is synonymous with a kind	nongold
34	a bird is a kind of living thing	nongold
35	producing thrust causes something; an animal; an object to move	nongold
36	strong means high in strength	nongold
37	a bird is a kind of animal	nongold
38	extreme means very high in value	nongold
39	heavy means a large amount of weight	nongold
40	lighter means lower; less in weight	nongold
41	flight is similar to a movement in the air made by an airplane	nongold
42	as the force of gravity increases , the weight of objects will increase	nongold
43	raising is a kind of motion	nongold
44	vibration is a kind of motion	nongold
45	high is similar to increase	nongold
46	wings are a part of a bird	nongold
47	weak means low in strength	nongold
48	as the force  of gravity changes , the weight of the object will change	nongold
49	a pull is a kind of force	nongold
50	pulling is a kind of motion	nongold
51	mass is a property of objects; matter	nongold
52	as the mass of an object increases , the force of gravity on that object will increase	nongold
53	structure is a property of an object; a material; a substance	nongold
54	mechanical force is a kind of mechanical energy	nongold
55	a lever is used for lifting;moving heavy objects	nongold
56	resistances are a property of living things	nongold
57	motion is when moves an object; something to a direction	nongold
58	an arm is a kind of limb	nongold
59	gravity accelerates an object while that object falls by pulling on it	nongold
60	a motion is a kind of event; action	nongold
61	to add means to increase	nongold
62	an part of an object is smaller than the entire object	nongold
63	form means kind	nongold
64	low is similar to decrease	nongold
65	length is a part of size	nongold
66	to lower means to decrease	nongold
67	a roll is a kind of movement	nongold
68	definite is the opposite of variable	nongold
69	weight is a kind of property	nongold
70	a landform is a kind of object	nongold
71	height is a property of the size of an object	nongold
72	to hover means to stay in place in the air	nongold
73	a surface is a kind of object	nongold
74	downward means down	nongold
75	an animal is a kind of organism	nongold
76	jumping off is a kind of  moving down	nongold
77	as the force  of gravity decreases , the weight of the object will decrease	nongold
78	an organism is a living thing	nongold
79	height is a kind of position	nongold
80	a machine is a kind of object	nongold
81	to slow; to slow down decreases speed	nongold
82	down feathers are a kind of material	nongold
83	setting is a kind of motion	nongold
84	as the mass of an object increases ,  the weight of that object will increase	nongold
85	height is a measure of length from the top of an object to the bottom of an object	nongold
86	high means great in altitude	nongold
87	an object is an item	nongold
88	can be means able to be	nongold
89	a structure of something is synonymous with a part of that something	nongold
90	an object is made of its parts	nongold
91	speed is a measure of how fast an object is moving	nongold
92	affected means changed	nongold
93	a human is a kind of animal	nongold
94	to reduce means to decrease	nongold
95	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
96	unbalanced is the opposite of balanced	nongold
97	high means a lot of something	nongold
98	an object has properties	nongold
99	density is a measure of mass of an object over volume; divided by volume	nongold
