Question	Which of the following describes an object that must have a net negative charge?	question
Answer	It contains more electrons than protons.	answer
0	if an object has a negative net charge then that object contains more electrons than protons	gold
1	an electron has a negative charge	nongold
2	an ion has a net positive; net negative charge	nongold
3	an atom is made of protons; neutrons; electrons	nongold
4	to contain something means to have that something	nongold
5	must have means require	nongold
6	a proton is a part of an atom; an element	nongold
7	made up of means contains; made of	nongold
8	made of is similar to contains	nongold
9	an ion with negative charge is formed by atom  gaining electrons	nongold
10	an ion with positive charge is formed by atom  losing electrons	nongold
11	an electron is a kind of charged particle	nongold
12	if something is a part of something else then that something else contains that something	nongold
13	if something is made of something; a material then that something contains that something; that material	nongold
14	protons are a kind of subatomic particle	nongold
15	to be found in means to be contained in	nongold
16	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
17	if a neutral atom loses an electron then an atom with a negative charge will be formed	nongold
18	objects contain chemical energy	nongold
19	protons are found in the nucleus of an atom	nongold
20	to contain means to have inside	nongold
21	if something absorbs something else then that something will contain that something else	nongold
22	proton is a kind of subatomic particles	nongold
23	if something is a source of something else then that something usually contains that something else	nongold
24	oxygen ions usually have a negative 2 charges	nongold
25	less is similar to decrease	nongold
26	an element is identified by its number of protons	nongold
27	less is the opposite of more	nongold
28	a particle is a kind of object	nongold
29	an atom is the smallest particle; unit that has the properties of an element	nongold
30	contain is similar to store	nongold
31	charged particles are a kind of high-energy particles	nongold
32	contains means located in	nongold
33	a pure substance is made of only one kind of atom; molecule	nongold
34	less means a reduced amount	nongold
35	an atom is a kind of object	nongold
36	atomic number means proton number	nongold
37	matter; materials; substances are made of atoms; particles	nongold
38	to be made of means to consist of	nongold
39	the nucleus of an atom is usually made of both protons and neutrons	nongold
40	a molecule is a kind of object	nongold
41	particles in objects are a kind of matter	nongold
42	to be made of something means to be formed of that something	nongold
43	objects are made of materials; substances; matter	nongold
44	negatively charged particles are involved in chemical reactions	nongold
45	to be filled with means to contain	nongold
46	a molecule is a kind of particle	nongold
47	an  element is a kind of atom	nongold
48	all elements are a kind of pure substance	nongold
49	if something does not contain something else then that something lacks that something else	nongold
50	including means containing	nongold
51	substances are made of elements	nongold
52	hydrogen contains chemical energy	nongold
53	composed of means made of	nongold
54	best means most positive	nongold
55	alkaline earth metal elements have two valence electrons	nongold
56	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
57	a chemical property is the opposite of a physical property	nongold
58	atom cannot be divided into smaller substances	nongold
59	composition is a property of an object; matter	nongold
60	if an object is made of a material then that object has the properties of that material	nongold
61	if an event occurs by adding something then that event requires that something	nongold
62	can be means able to be	nongold
63	protons and neutrons are formed during nuclear fusion	nongold
64	atoms are made of particles	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	an element is a kind of  substance	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	a photon is a kind of  particles	nongold
69	a nonmetal is a kind of element	nongold
70	an element is made of one kind of atoms	nongold
71	reactive is the opposite of unreactive	nongold
72	a living thing is a kind of object	nongold
73	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
74	an oxygen ion is formed by gaining 2 electrons	nongold
75	a physical property is a kind of property	nongold
76	an object has properties	nongold
77	to carry something means to contain something	nongold
78	increase means more	nongold
79	substances are made of matter	nongold
80	electron configuration is a property of elements	nongold
81	the alkali metals have one valence electron	nongold
82	not is similar to the opposite of	nongold
83	negative impact is the opposite of positive impact	nongold
84	a molecule is the smallest particle; unit that has the properties of a compound	nongold
85	if an event is required for a process then that event must occur before that process can occur	nongold
86	nonmetal means nonmetals	nongold
87	valence electron means the electrons on the outer electron shell	nongold
88	an event is a kind of action	nongold
89	hydrogen is a kind of element	nongold
90	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
91	substances are made of molecules	nongold
92	the properties of something are used for describing that something	nongold
93	an object is made of its parts	nongold
94	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
95	classifying is when one sorts something by kind; type	nongold
96	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
97	to lack means to not have	nongold
98	if a substance is made of one element , then the substance is called an element	nongold
99	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
