Question	Where is an igneous rock such as pumice most likely formed?	question
Answer	near a volcano	answer
0	pumice is a kind of igneous rock	gold
1	igneous is a kind of rock	nongold
2	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	gold
3	near means close	nongold
4	a volcano is a source of magma; lava	gold
5	a volcano is a kind of landform	nongold
6	near means local	nongold
7	to be made of something means to be formed of that something	nongold
8	a volcano is a kind of geological event	nongold
9	to cause the formation of means to form	nongold
10	near; close is the opposite of far; away	nongold
11	place is synonymous with location	nongold
12	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
13	lava is a kind of matter	nongold
14	a rock is a kind of object	nongold
15	volcanoes are often found under oceans	nongold
16	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
17	lava is found above the ground	nongold
18	a landform is a kind of place	nongold
19	a landform is a kind of place	nongold
20	to form means to create	nongold
21	igneous intrusion is a kind of geologic process	nongold
22	granite is a kind of igneous rock	nongold
23	a volcanic eruption is a kind of change	nongold
24	a volcanic eruption is a kind of quick process	nongold
25	the location of an object can be used to describe that object	nongold
26	located means situated	nongold
27	if something required by something else is in a place then that something else may be in that place	nongold
28	to be formed by is similar to being produced by	nongold
29	to make means to form	nongold
30	often is similar to likely	nongold
31	answering questions requires information	nongold
32	far means great in distance	nongold
33	magma is a kind of hot rock	nongold
34	to change into means to form	nongold
35	magma is found below the ground	nongold
36	at the top of a place means at the highest point of the place	nongold
37	place means area	nongold
38	furthest; farthest means greatest; most; highest in distance	nongold
39	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
40	new land can be formed by volcanoes erupting by lava cooling	nongold
41	different classes of rocks are formed by different methods	nongold
42	metamorphosed rock is a kind of rock	nongold
43	form means kind	nongold
44	an environment is a kind of place	nongold
45	to be formed means to be originated	nongold
46	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
47	composed of means made of	nongold
48	breaking down is a kind of forming	nongold
49	far is the opposite of close	nongold
50	state means form	nongold
51	if something is located in some place , then the presence of that something can be found in that location	nongold
52	volcanoes are most common along tectonic plate boundaries	nongold
53	close means low in distance	nongold
54	metamorphic rock is a kind of rock	nongold
55	class is a measure of how a rock is formed	nongold
56	a mountain is a kind of landform	nongold
57	if something is made of something else then the formation of that something requires that something else	nongold
58	area is similar to location	nongold
59	place; location is synonymous with position	nongold
60	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
61	mountain top is a kind of location	nongold
62	events occur at a specific place; at a specific time; with a specific frequency	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	largest amount means most	nongold
65	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
66	a landform is a kind of object	nongold
67	to be believed to be is similar to maybe	nongold
68	if lava is on Earth's surface then that lava will cool	nongold
69	extreme means very high in value	nongold
70	an object is made of its parts	nongold
71	closer means lower; less; a decrease in distance	nongold
72	an earthquake is a kind of natural; geological event	nongold
73	metamorphic is a kind of rock	nongold
74	to generate means to form	nongold
75	to cause an event means to make that event more likely	nongold
76	a hill is a kind of place	nongold
77	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
78	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
79	the movement of tectonic plates causes volcanic eruptions	nongold
80	rock is a kind of material	nongold
81	an event is a kind of action	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	forming something is a kind of change	nongold
84	a rock is usually a solid	nongold
85	low means low in elevation; height; altitude	nongold
86	made up of means contains; made of	nongold
87	a state is a kind of place	nongold
88	can be means able to be	nongold
89	affected means changed	nongold
90	a mountain is made of rocks; soil	nongold
91	being around something means surrounding  that something	nongold
92	to increase is similar to to create	nongold
93	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
94	the formation of rock is a kind of process	nongold
95	to cause an event is similar to being involved in that event	nongold
96	where something  comes from is a source of that something	nongold
97	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
98	distant means far away	nongold
99	a planet is a kind of location	nongold
