Question	Visible light passes through glass. Other types of electromagnetic radiation are able to pass through other materials in a similar way. Which of the following are used in medical technology because they can pass through some parts of the human body?	question
Answer	x-rays	answer
0	x-rays are used in medical technology	gold
1	x-rays can pass through some parts of the body	gold
2	an x ray is a kind of electromagnetic energy	nongold
3	x-ray is a kind of ionizing radiation	nongold
4	to pass through means to move through	nongold
5	visible light is a kind of  light	nongold
6	light rays means light	nongold
7	to pass means to travel	nongold
8	light is a kind of electromagnetic radiation	nongold
9	a type is synonymous with a kind	nongold
10	passage is passing	nongold
11	glass is a kind of material	nongold
12	a human is a kind of animal	nongold
13	a body part is a kind of object	nongold
14	media; medium means the material something travel through	nongold
15	sunlight is made of ultraviolet, infrared, and visible light	nongold
16	to pass means to transfer	nongold
17	visible light is a part of the electromagnetic spectrum	nongold
18	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
19	light is made of photons	nongold
20	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
21	can be means able to be	nongold
22	waves can travel through matter	nongold
23	glass is a kind of object	nongold
24	electromagnetic energy travels as electromagnetic waves	nongold
25	sunlight is a kind of light	nongold
26	to cross means to pass	nongold
27	light is a kind of wave	nongold
28	glass; objects made of glass cause refraction of light	nongold
29	electromagnetic radiation means electromagnetic energy	nongold
30	human is a kind of organism	nongold
31	glass is a kind of solid at room temperature	nongold
32	glass is a kind of medium	nongold
33	the body is a part of an organism	nongold
34	to be used for something means to be required by that something	nongold
35	to pass means to occur	nongold
36	x-rays transfer energy	nongold
37	visible means able to be seen	nongold
38	sunlight contains ultraviolet light	nongold
39	if an object is made of a material then that object has the properties of that material	nongold
40	material means substance	nongold
41	person is synonymous with human	nongold
42	eyes can sense;detect light energy for seeing	nongold
43	objects are made of materials; substances; matter	nongold
44	if an object is made of something then the parts of that object are made of that something	nongold
45	if two things perform the same function then those two things are similar	nongold
46	electromagnetic wave is a kind of  wave	nongold
47	visible light is able to be seen without using equipment	nongold
48	human eyes can only see light in the range of visible light	nongold
49	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
50	ionizing radiation is a kind of electromagnetic wave	nongold
51	to run through means to transfer	nongold
52	glass is a kind of open container	nongold
53	emit means send out	nongold
54	passing through is similar to entering	nongold
55	a surface is a part of a material	nongold
56	materials are made of matter	nongold
57	to undergo is similar to to pass through	nongold
58	seeing is used for sensing visual things	nongold
59	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
60	light means light energy	nongold
61	refraction is when light passes from one medium to another medium	nongold
62	a wave is a kind of object	nongold
63	eyes are a part of a human for seeing	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	an animal is a kind of living thing	nongold
66	radiation is when electromagnetic waves transfers heat and light energy	nongold
67	observable means visible	nongold
68	technology is used for application of science	nongold
69	visible  light is the smallest range within the electromagnetic spectrum	nongold
70	if two things are made from the same objects; material then those two things are similar	nongold
71	a photon is a kind of  particles	nongold
72	some lenses are made of glass	nongold
73	wavelength is a property of wave	nongold
74	speed is  a measure of how fast the wave passes the medium	nongold
75	an object is made of its parts	nongold
76	glass is always nonmagnetic	nongold
77	radiation is when heat is transferred through waves; particles	nongold
78	a surface is a part of an object	nongold
79	a glass contains water	nongold
80	the ability to do means be able to do	nongold
81	gas is a kind of material	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	if something is made of something; a material then that something contains that something; that material	nongold
84	high is similar to increase	nongold
85	eyes are used for seeing by animals by sensing light	nongold
86	a device is a kind of object	nongold
87	electromagnetic energy is a kind of energy	nongold
88	an animal is a kind of organism	nongold
89	the function of something is what that something  is used to do	nongold
90	substances are made of matter	nongold
91	intense means high in intensity	nongold
92	medicine is used for curing people when they are sick	nongold
93	clear glass is transparent	nongold
94	events occur at a specific place; at a specific time; with a specific frequency	nongold
95	a living thing is a kind of object	nongold
96	emit means produce	nongold
97	UV mean ultraviolet	nongold
98	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
99	ultraviolet light is a kind of electromagnetic energy	nongold
