Question	Heat from deep in Earth's interior is transferred to its crust by which of the following?	question
Answer	convection in the mantle	answer
0	convection in the mantle transfers heat  from deep in the interior of Earth to the crust	gold
1	the mantle is located just below Earth's crust	gold
2	the mantle is located between the crust and the outer core	nongold
3	the mantle is a layer of the Earth	gold
4	the crust is a layer of the Earth	nongold
5	Earth's mantle has properties of both liquids and solids	nongold
6	the crust of the Earth is similar to the surface of the Earth	nongold
7	extreme heat and pressure is present in Earth's crust	nongold
8	heat means the transfer of thermal energy	nongold
9	convection is a kind of process	nongold
10	the mantle is the thickest; largest layer of the Earth	nongold
11	transfer is a kind of change	nongold
12	temperature is a measure of heat energy	nongold
13	convert is similar to transfer	nongold
14	heat means heat energy	nongold
15	to flow is similar to to transfer	nongold
16	transfer is a kind of process	nongold
17	heating means adding heat	nongold
18	to conduct is similar to to transfer	nongold
19	convection is when the heated part of gas rises	nongold
20	transferring is moving from one place to another place	nongold
21	transferring is similar to adding	nongold
22	if something transfers something else then that something is a source of something else	nongold
23	crust is similar to surface	nongold
24	convection is when a liquid is heated by hotter material rising to the top of the liquid	nongold
25	where something  comes from is a source of that something	nongold
26	continental crust is less dense than mantle	nongold
27	heat energy is synonymous with thermal energy	nongold
28	to add means to increase	nongold
29	to pass means to transfer	nongold
30	solar energy is a kind of heat energy	nongold
31	if something comes from something else then that something else is a source of that something	nongold
32	to transfer means to bring; to get something to	nongold
33	Earth is a kind of planet	nongold
34	an object; material; substance comes from that object or material's source	nongold
35	radiation is when heat is transferred through waves; particles	nongold
36	transferring is similar to giving	nongold
37	a component means a part of	nongold
38	pouring into is a kind of transfer	nongold
39	adding heat means increasing temperature	nongold
40	to transfer is similar to transport	nongold
41	convection causes uneven heating	nongold
42	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	to be formed by is similar to being produced by	nongold
45	an increase is a kind of change	nongold
46	can be means able to be	nongold
47	gas is a kind of substance	nongold
48	a component of something means a part of that something	nongold
49	composed of means made of	nongold
50	form means kind	nongold
51	an ocean is a kind of body of water	nongold
52	vapor is synonymous with gas	nongold
53	to convert means to change	nongold
54	to disperse means to separate	nongold
55	heat is a kind of energy	nongold
56	to send means to transfer	nongold
57	if something is transported to something else then that something else receives that something	nongold
58	high is similar to increase	nongold
59	absorbing energy causes objects; materials; substances to heat	nongold
60	a process is a kind of event	nongold
61	to give off means to be the source of	nongold
62	heat means temperature increases	nongold
63	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
64	geothermal energy is formed by magma heating Earth's crust	nongold
65	affected means changed	nongold
66	hot means high in heat energy; temperature	nongold
67	a change is a kind of event	nongold
68	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
69	warm means medium heat energy; temperature	nongold
70	change is a kind of process	nongold
71	An example of heat transfer by convection is  heat rises in a chimney	nongold
72	gas is a kind of material	nongold
73	a hot; warm something is a source of heat	nongold
74	a motion is a kind of event; action	nongold
75	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
76	to be made of something means to be formed of that something	nongold
77	a type is synonymous with a kind	nongold
78	gaseous means of gas	nongold
79	water is a kind of matter	nongold
80	variable means able to change	nongold
81	to contain means to have inside	nongold
82	lithosphere is a  layer of the Earth	nongold
83	to turn means to change	nongold
84	something that happens is a kind of event	nongold
85	extreme means very high in value	nongold
86	intense means extreme	nongold
87	water is a kind of liquid at room temperature	nongold
88	gas is a kind of state of matter	nongold
89	to change means to cause a change	nongold
90	gas is a kind of object	nongold
91	An example of heat transfer from atmosphere to lithosphere is a hurricane moving from ocean to land	nongold
92	sediment is a kind of matter	nongold
93	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
94	approximately means about	nongold
95	emit means produce	nongold
96	to give is similar to to cause	nongold
97	made up of means contains; made of	nongold
98	if something enters something else then that something is in that something else	nongold
99	a decrease is a kind of change	nongold
