Question	Which of the following substances can be separated into several elements?	question
Answer	air	answer
0	an element is made of one kind of atoms	nongold
1	an  element is a kind of atom	nongold
2	air is a kind of matter	nongold
3	an element is a kind of  substance	nongold
4	if a substance is made of one element , then the substance is called an element	nongold
5	matter; materials; substances are made of atoms; particles	nongold
6	substances are made of elements	nongold
7	atmosphere means  air	gold
8	atom cannot be divided into smaller substances	nongold
9	all elements are a kind of pure substance	nongold
10	oxygen  is a kind of element	nongold
11	an atom is the smallest particle; unit that has the properties of an element	nongold
12	carbon is a kind of element	nongold
13	hydrogen is a kind of element	nongold
14	the air is a kind of substance	gold
15	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
16	air is a kind of gas	nongold
17	a compound can be chemically separated into the elements that it is made of	nongold
18	an atom is a kind of object	nongold
19	substances are made of matter	nongold
20	nitrogen is a kind of element	nongold
21	if something is made of something else then that something can be broken down into that something else	nongold
22	the basic unit of matter is atom	nongold
23	a  gas is a kind of  element	nongold
24	decomposing is similar to separating	nongold
25	a nonmetal is a kind of element	nongold
26	when two substances together form a compound then those substances cannot be physically separated	nongold
27	to disperse means to separate	nongold
28	atoms are made of particles	nongold
29	particles in objects are a kind of matter	nongold
30	an element is a kind of material	nongold
31	objects are made of materials; substances; matter	nongold
32	a pure substance is made of only one kind of atom; molecule	nongold
33	gas is a kind of state of matter	nongold
34	separate is similar to break down	nongold
35	the atmosphere contains gases; liquids; solids	nongold
36	material means substance	nongold
37	elements in noble gases family are gases at room temperature	nongold
38	can be means able to be	nongold
39	an atom is made of protons; neutrons; electrons	nongold
40	gas is a kind of substance	gold
41	to split means to break down	nongold
42	to split means to divide	nongold
43	state means form	nongold
44	to group means to separate	nongold
45	if two substances together form a mixture then those substances can be separated from one another by physical changes	gold
46	solid is a kind of state of matter	nongold
47	a metal is a kind of element	nongold
48	to decompose means to separate	nongold
49	gas is a kind of nonmetal	nongold
50	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
51	answering questions requires information	nongold
52	separating is similar to breaking	nongold
53	sulfur is a kind of element	nongold
54	the structure  of an atom can be used for identifying the element	nongold
55	to be made of something means to be formed of that something	nongold
56	Earth has air	nongold
57	state of matter means physical state	nongold
58	a mixture of solids can be easily separated	nongold
59	nitrogen is a kind of gas	gold
60	classifying is when one sorts something by kind; type	nongold
61	chemical compounds contain chemical bonds between atoms; between elements	nongold
62	the air is a kind of mixture	gold
63	physical state means state of matter	nongold
64	all the other means the rest of	nongold
65	nonmetal means nonmetals	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	if something is insoluble in something , then they will remain separated	nongold
68	a component means a part of	nongold
69	interatomic means existing or acting between atoms	nongold
70	liquid is a kind of state of matter	nongold
71	heat means heat energy	nongold
72	a component of something means a part of that something	nongold
73	oxygen gas is made of only  oxygen element	nongold
74	made up of means contains; made of	nongold
75	classifying means grouping objects; materials by their properties	nongold
76	gaseous means of gas	nongold
77	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
78	atmospheric means of the atmosphere	nongold
79	atomic number is a property of elements	nongold
80	an object is made of its parts	nongold
81	composed of means made of	nongold
82	unit is similar to part	nongold
83	to tell the difference between things means to classify those things	nongold
84	a living thing is a kind of object	nongold
85	form means kind	nongold
86	state of matter is a kind of physical property	nongold
87	made of is similar to contains	nongold
88	sodium is a kind of element	nongold
89	vapor is synonymous with gas	nongold
90	a compound is made of two or more elements that have been chemically combined	nongold
91	air is a kind of nonliving thing	nongold
92	air is a kind of medium for light	nongold
93	a proton is a part of an atom; an element	nongold
94	gas is a kind of material	nongold
95	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
96	gas is a kind of object	nongold
97	both means two	nongold
98	a solid is a kind of substance	nongold
99	An example of a chemical property is the elements a compound is made of	nongold
