Question	Some schools have programs to recycle paper products such as student papers, newspapers, and cardboard boxes. Which of these statements describes a positive effect of recycling paper products?	question
Answer	Fewer trees need to be cut.	answer
0	recycling has a  positive impact on the environment	nongold
1	recycling means reusing	nongold
2	fewer means lower; less in number	nongold
3	to depend on; to rely on; to need means to require	nongold
4	cardboard boxes are made of cardboard	nongold
5	cardboard is recyclable	nongold
6	recycling is similar to reusing	nongold
7	recycling reduces the resources needed to make something	gold
8	less means a reduced amount	nongold
9	less is similar to decrease	nongold
10	cardboard is a kind of material	nongold
11	good means positive	nongold
12	recyclable means a material can be recycled	nongold
13	waste must be removed	nongold
14	less is the opposite of more	nongold
15	requiring something means needing that something	nongold
16	recycling reduces; decreases the amount of waste sent to landfills	nongold
17	to recycle means return	nongold
18	a tree can be replaced by planting a new tree each time one is cut down	nongold
19	paper is recyclable	nongold
20	replacing is similar to recycling	nongold
21	recycling is a kind of action	nongold
22	cardboard is biodegradable	nongold
23	a newspaper is made of paper	nongold
24	a tree is a kind of living thing	nongold
25	if an amount of objects decreases then those objects are fewer in number	gold
26	recycling means using over again	nongold
27	creating paper requires cutting down trees	gold
28	planting trees is the opposite of cutting down trees	nongold
29	a tree contains wood	nongold
30	if a tree is cut down then that tree will die	nongold
31	cardboard is inexpensive	nongold
32	negative impact is the opposite of positive impact	gold
33	helping something has a  positive impact on that something	nongold
34	logging is when humans cut down trees; forests for wood	nongold
35	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
36	trees are a source of paper	nongold
37	if something is required for a process then that something positively impacts that process	nongold
38	creating wood-free paper does not require cutting down trees	nongold
39	a tree is a kind of plant	nongold
40	recycling is a kind of method of disposal	nongold
41	decreasing something positive has a negative impact on a thing	nongold
42	waste has a  negative impact on the environment	nongold
43	decreasing something negative has a positive impact on a thing	nongold
44	an increase is the opposite of a decrease	nongold
45	if something causes a process then that something is required for that process	nongold
46	impact means effect	gold
47	trash is synonymous with waste	nongold
48	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	gold
49	requiring is similar to needing help	nongold
50	all living things eliminate waste	nongold
51	clearing a forest means humans cutting down the trees	nongold
52	humans discarding waste in an environment causes harm to that environment	nongold
53	a leaf is a part of a tree	nongold
54	if a resource is limited in supply then that resource should be recycled	nongold
55	human waste often causes harm to an environment	nongold
56	roots are a part of a plant; tree	nongold
57	a positive impact is  a benefit	nongold
58	best means most positive	nongold
59	paper is a kind of material	nongold
60	harming something has a  negative impact on; effect on that something	nongold
61	An example of recycling is using an object to make a new object	nongold
62	a branch is a part of a tree	nongold
63	to change means to have an effect	nongold
64	people can plant trees	nongold
65	to cause means to have an effect	nongold
66	a student is a kind of human	nongold
67	removing a forest means cutting down the trees in that forest	nongold
68	a box is a kind of object	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	to be used for something means to be required by that something	nongold
71	garbage means waste	nongold
72	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
73	processes sometimes produce waste products	nongold
74	a forest contains  lots of plants; trees	nongold
75	to be good for means to have a positive impact on	nongold
76	tree roots reduce soil erosion	nongold
77	bark is a part of a tree	nongold
78	little is similar to decrease	nongold
79	greatest means largest; highest; most amount of something	nongold
80	fewest means lowest; least in number	nongold
81	cutting down a forest means cutting down the trees in that forest	nongold
82	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
83	building usually requires cutting down trees	nongold
84	if a living thing requires something then that something has a positive impact on that living thing	nongold
85	deforested area means an area where trees have been cut down	nongold
86	to be required means to be necessary	nongold
87	resources becoming available has a positive impact on the things that need those resources	nongold
88	a plant is a kind of living thing	nongold
89	a paper is a kind of object	nongold
90	paper is not durable	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	using less resources usually causes money to be saved	nongold
93	planting trees has a  positive impact on an ecosystem	nongold
94	planting trees is sometimes a human activity	nongold
95	fire causes harm to trees; to forests; to living things	nongold
96	adverse effect means negative impact	nongold
97	loss is similar to removal	nongold
98	a redwood tree is a kind of tree	nongold
99	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
