Question	Students measure the time for toy cars of different masses to roll down a hill. Which of the following units should the students use to measure time?	question
Answer	seconds	answer
0	seconds are used to measure time	gold
1	seconds are a kind of unit for measuring time	gold
2	minutes are a kind of unit for measuring time	nongold
3	rolling is a kind of motion	nongold
4	a toy car is a kind of object	nongold
5	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
6	a car is a kind of automobile	nongold
7	a car is a kind of vehicle	nongold
8	an automobile is a kind of vehicle	nongold
9	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
10	a meter is a kind of unit for measuring distance; measuring length	nongold
11	a hill is a kind of incline	nongold
12	a student is a kind of human	nongold
13	rolling down is similar to falling	nongold
14	a living thing is a kind of object	nongold
15	a car is a kind of object	nongold
16	a vehicle is a kind of object	nongold
17	a roll is a kind of movement	nongold
18	speed is a measure of how fast an object is moving	nongold
19	a unit for measuring time is a kind of time interval	nongold
20	distance moved; distance travelled is a measure of how far an object moves	nongold
21	a vehicle is a kind of tool for travel; transport	nongold
22	rolling over is a kind of action	nongold
23	downward means down	nongold
24	mass is a measure of the amount of matter in an object	nongold
25	wheels are a part of a car	nongold
26	a human is a kind of animal	nongold
27	low means down	nongold
28	mass; weight is a property of matter; objects; materials	nongold
29	a measure of time is a length of time	nongold
30	a hill is a kind of place	nongold
31	a car moves on a road	nongold
32	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
33	an animal is a kind of living thing	nongold
34	mass is a property of objects; matter	nongold
35	up means upward	nongold
36	how long something takes is a kind of measurement of time	nongold
37	a vehicle is used for transportation	nongold
38	a motion is a kind of event; action	nongold
39	speed is a property of an object and includes values of slow; fast	nongold
40	motion; movement means moving; to move	nongold
41	as an object is moving down , the speed of the object  will increase	nongold
42	objects are made of materials; substances; matter	nongold
43	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
44	meters;centimeters;kilometers are used to describe distance; describe length	nongold
45	hours are a kind of unit for measuring time	nongold
46	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
47	rate is similar to speed	nongold
48	a centimeter is a kind of unit of measurement	nongold
49	unit is similar to part	nongold
50	an part of an object is smaller than the entire object	nongold
51	rising is a kind of motion	nongold
52	particles in objects are a kind of matter	nongold
53	motion is when moves an object; something to a direction	nongold
54	an event is a kind of action	nongold
55	m/s means meters per second	nongold
56	falling means moving downward	nongold
57	instantaneously means short in time	nongold
58	to travel up means to rise	nongold
59	high is similar to increase	nongold
60	round objects roll	nongold
61	a vehicle is used for travel	nongold
62	answering questions requires information	nongold
63	if a  car is being driven , then the car will be moving	nongold
64	length of time means period of time	nongold
65	faster means an increase; higher in speed	nongold
66	a ratio is a measure of one measure over another measure; divided by another measure	nongold
67	stop; stopped means zero; 0; no speed	nongold
68	length is a measure of distance from one end of an object to the other end of that object	nongold
69	to slow; to slow down decreases speed	nongold
70	speed up means increase	nongold
71	lowering is a kind of motion	nongold
72	high speed means fast	nongold
73	a centimeter is used for measuring short lengths; short distances	nongold
74	a velocity is a measure of a speed in a direction	nongold
75	quantity means amount	nongold
76	property is similar to measurement	nongold
77	a type is synonymous with a kind	nongold
78	down is a kind of direction	nongold
79	form means kind	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
82	an engine is a part of an automobile	nongold
83	a component of something means a part of that something	nongold
84	a gram  is a kind of unit for measuring mass	nongold
85	mass is similar to size	nongold
86	a car engine is a part of a car	nongold
87	mass is a kind of physical property	nongold
88	period is similar to amount of time	nongold
89	an animal is a kind of organism	nongold
90	an object is made of its parts	nongold
91	a component means a part of	nongold
92	variable means able to change	nongold
93	slowest means lowest in  speed	nongold
94	can be means able to be	nongold
95	moving is similar to travelling	nongold
96	material means substance	nongold
97	an ounce is a kind of unit for measuring mass	nongold
98	increase means more	nongold
99	a machine is a kind of object	nongold
