Question	Which event would most likely cause a rapid extinction of organisms?	question
Answer	a large asteroid impact	answer
0	an asteroid impact would cause a rapid extinction of organisms	gold
1	an asteroid impact is a kind of event	gold
2	an asteroid is a kind of celestial object	nongold
3	an organism is a living thing	nongold
4	an animal is a kind of organism	nongold
5	an event is a kind of action	nongold
6	impact means effect	nongold
7	if a population decreases to zero then that organism is extinct	nongold
8	to cause means to result in	nongold
9	an animal is a kind of living thing	nongold
10	an asteroid is made of rock and metal	nongold
11	a process is a kind of event	nongold
12	to impact means to affect	nongold
13	die out means become extinct	nongold
14	something that happens is a kind of event	nongold
15	death means to die	nongold
16	extinction has a negative  impact on an ecosystem	nongold
17	quickly means in a short period of time	nongold
18	to happen means to occur	nongold
19	if an organism dies then the population of that organism will decrease	nongold
20	an extinction happened at the end of Permian	nongold
21	life means living things	nongold
22	if there is a loss of something then that something decreases	nongold
23	an organism becoming extinct causes a change in the organism's food web	nongold
24	increase means more	nongold
25	loss means reduction	nongold
26	faster means an increase; higher in speed	nongold
27	organisms are a part of an environment	nongold
28	remains mean parts of a dead organism	nongold
29	events occur at a specific place; at a specific time; with a specific frequency	nongold
30	to cause an event means to make that event more likely	nongold
31	high is similar to increase	nongold
32	a change is a kind of event	nongold
33	massive is similar to large	nongold
34	something being destroyed means that something no longer exists	nongold
35	a motion is a kind of event; action	nongold
36	a living thing is a kind of object	nongold
37	to cause an event is similar to being involved in that event	nongold
38	rapidly means quickly	nongold
39	if an event is required for a process then that event must occur before that process can occur	nongold
40	event is similar to occurrence	nongold
41	change is a kind of impact	nongold
42	faster means increased rate	nongold
43	to be a source of something means to cause that something	nongold
44	to lower means to decrease	nongold
45	loss is a kind of change	nongold
46	often is similar to likely	nongold
47	Earth is a kind of planet	nongold
48	to produce means to result in	nongold
49	to cause means to have an effect	nongold
50	answering questions requires information	nongold
51	an increase is a kind of change	nongold
52	an increase is the opposite of a decrease	nongold
53	to give is similar to to cause	nongold
54	nonliving; non-living; die is the opposite of living; alive; live	nongold
55	survive means live	nongold
56	survive means live	nongold
57	organisms mean life	nongold
58	if something causes a process then that something is required for that process	nongold
59	fast means quickly	nongold
60	a disruption  of an ecosystem can cause an extinction	nongold
61	greatest means largest; highest; most amount of something	nongold
62	to reduce means to decrease	nongold
63	to keep a process or event happening is similar to causing that process or event to happen	nongold
64	a decrease is a kind of change	nongold
65	remains is similar to dead organisms	nongold
66	a part of a process means a stage in a process	nongold
67	creating is similar to causing	nongold
68	an ecosystem contains a large community of; large numbers of living organisms	nongold
69	as the cause of something decreases , that something will decrease	nongold
70	due to means caused by	nongold
71	producing is similar to causing	nongold
72	to slow; to slow down decreases speed	nongold
73	a component of something means a part of that something	nongold
74	a human is a kind of animal	nongold
75	fast is the opposite of slow	nongold
76	a type is synonymous with a kind	nongold
77	to be formed by is similar to being produced by	nongold
78	less is similar to decrease	nongold
79	a component means a part of	nongold
80	destruction means loss	nongold
81	to change means to cause a change	nongold
82	a process usually requires all of the stages in that process	nongold
83	dying is the opposite of living; surviving	nongold
84	if something is required for a process then that something positively impacts that process	nongold
85	to increase is similar to to create	nongold
86	Mars is a kind of planet	nongold
87	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
88	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
89	to change means to have an effect	nongold
90	gradual means slow; over time	nongold
91	causing means influencing	nongold
92	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
93	to lead to means to cause	nongold
94	if something causes an increase in something else then that something produces that something else	nongold
95	low is similar to decrease	nongold
96	setting is a kind of motion	nongold
97	to cause something means to contribute to that something happening	nongold
98	most means over 50% of something	nongold
99	a source of something increases the amount of that something	nongold
