Question	Which of the following is the farthest from Earth?	question
Answer	the Andromeda galaxy	answer
0	the Andromeda galaxy is 2.5 million light years closer	gold
1	furthest; farthest means greatest; most; highest in distance	gold
2	a galaxy is a kind of celestial body; celestial object	nongold
3	distant means far away	nongold
4	a galaxy is a kind of celestial body	nongold
5	Earth is a kind of planet	nongold
6	far means great in distance	nongold
7	Earth is located in the Milky Way Galaxy	nongold
8	galaxies are located  millions of light years from Earth	nongold
9	the four planets farthest from the sun are made of gas	nongold
10	distant means great in distance	nongold
11	a galaxy contains dust; stars; planets	nongold
12	a galaxy is made of stars	nongold
13	a galaxy is a kind of very large system of stars	nongold
14	a galaxy is made of a group of objects in space	nongold
15	Earth is the planet that is third closest to the  Sun	nongold
16	near; close is the opposite of far; away	nongold
17	a star is a kind of celestial object; celestial body	nongold
18	galaxies are usually thousands of light years in diameter	nongold
19	far is the opposite of close	nongold
20	distance is a property of space and includes ordered values of close; far	nongold
21	a galaxy is a kind of structure	nongold
22	the Sun is the  star that is closest to Earth	nongold
23	a planet is a kind of celestial object; body	nongold
24	Neptune is the furthest planet from the sun in the solar system	nongold
25	a galaxy is held together by gravity	nongold
26	Earth is a planet that is closer to the  Sun than Jupiter	nongold
27	a spiral galaxy is a kind of galaxy	nongold
28	a elliptical galaxy is a kind of galaxy	nongold
29	the Sun is located near the edge of the Milky Way Galaxy	nongold
30	an irregular galaxy is a kind of galaxy	nongold
31	a typical galaxy contains billions of stars	nongold
32	the stars in the night sky are very far away from the Earth	nongold
33	galaxies can be classified  by shape	nongold
34	astronomy is the study of celestial (objects, bodies)	nongold
35	electrons are found farthest from the center of the atom	nongold
36	galaxies often contain hundreds of billions of stars	nongold
37	a planet is a kind of location	nongold
38	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
39	as distance from a source of something increases , that something will decrease	nongold
40	away is a kind of direction	nongold
41	a halo is a part of a galaxy	nongold
42	greatest means largest; highest; most amount of something	nongold
43	outermost is similar to distant	nongold
44	a planet is a kind of place	nongold
45	shortest means least; smallest in length	nongold
46	astronomical body means celestial body	nongold
47	apart means away	nongold
48	a cluster of stars is made of stars	nongold
49	Earth is made of rock	nongold
50	the Milky Way galaxy appears as a glowing band across the night sky	nongold
51	a nebula is a kind of celestial body	nongold
52	quasars are located in galaxies	nongold
53	longest means greatest in length	nongold
54	astronomical unit is a measure of distance between Earth and the Sun	nongold
55	a type is synonymous with a kind	nongold
56	towards means closer to something	nongold
57	approximately means about	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	as distance from an object decreases , the the pull of gravity on that object increases	nongold
60	answering questions requires information	nongold
61	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	gold
62	each is simiar to one	nongold
63	the Sun is a kind of star	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	closer means lower; less; a decrease in distance	nongold
66	a nebula is made of hydrogen gas and dust	nongold
67	the sun is average in size for a star in our galaxy	nongold
68	close means low in distance	nongold
69	main-sequences stars are a kind of star	nongold
70	a half of Earth is a hemisphere of Earth	nongold
71	shortest means the least amount of time	nongold
72	to create means to make	nongold
73	a landform is a kind of place	nongold
74	a landform is a kind of place	nongold
75	toward is the opposite of away	nongold
76	a quasar is a kind of distant celestial object; celestial body	nongold
77	miles are a kind of unit for measuring distance	nongold
78	stars are located light years apart from each other	nongold
79	classifying is when one sorts something by kind; type	nongold
80	an increase is a kind of change	nongold
81	high is similar to increase	nongold
82	the sun is average in temperature  for a star in our galaxy	nongold
83	near means close	nongold
84	composed of means made of	nongold
85	the Milky Way is a kind of spiral galaxy	nongold
86	to produce means to create	nongold
87	as the distance from an object increases , the force of gravity on that object will decrease	nongold
88	to form means to create	nongold
89	made up of means contains; made of	nongold
90	an event is a kind of action	nongold
91	proximity means distance	nongold
92	Mars is a kind of planet	nongold
93	the sun is a kind of yellow dwarf	nongold
94	can be means able to be	nongold
95	the moon is the celestial object that is closest to the  Earth	nongold
96	latitude is a property of a location; place on Earth	nongold
97	contains means located in	nongold
98	Jupiter is a kind of planet	nongold
99	to make means to form	nongold
