Question	A scientist studies the remains of two extinct animals to learn more about how they lived. She determines that one animal was a carnivore and the other was an herbivore. Which of the following did the scientist most likely compare to make this conclusion?	question
Answer	the skull of the animals	answer
0	the skull of an animal can be used to determine if that animal was a carnivore or an herbivore	gold
1	carnivores; omnivores; herbivores are a kind of animal	nongold
2	to conclude means to make a conclusion	nongold
3	many animals are herbivores	nongold
4	a mammal is a kind of animal	nongold
5	remains mean parts of a dead organism	nongold
6	an animal is a kind of living thing	nongold
7	a dinosaur is a kind of extinct animal	nongold
8	comparing requires observing that something	nongold
9	An example of a fossil is the bones of an extinct animal	nongold
10	a living thing is a kind of object	nongold
11	comparing skeletons of an animal that lived long ago and skeletons of the same species of animal that lived recently can be used to show the evolution of that species	nongold
12	an animal is a kind of organism	nongold
13	an organism is a living thing	nongold
14	a reptile is a kind of animal	nongold
15	if two species of animal have a similar bone structure then those two species probably evolved from a common ancestor in recent geological history	nongold
16	a dinosaur is a kind of reptile	nongold
17	anatomy studies the body structure of organisms	nongold
18	fossil means preserved remains of ancient organisms	nongold
19	comparing requires measuring	nongold
20	the head is a part of an animal	nongold
21	a bone is a part of some animals	nongold
22	remains is similar to dead organisms	nongold
23	bones can be fossilized	nongold
24	both means two	nongold
25	a structure of something is synonymous with a part of that something	nongold
26	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
27	classifying requires comparing	nongold
28	a scientist is a kind of human	nongold
29	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
30	determine is similar to cause	nongold
31	an animal; living thing requires nutrients for survival	nongold
32	studying fossils is used to learn about organisms from long ago	nongold
33	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
34	preserved means from the past; from long ago	nongold
35	carnivores; omnivores are predators	nongold
36	concluding is a kind of action	nongold
37	a bone is a part of a body	nongold
38	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
39	an invertebrate organism does not have an internal skeleton	nongold
40	making a valid conclusion in an investigation requires a testable hypothesis	nongold
41	life means living things	nongold
42	learning about something sometimes requires observing that something	nongold
43	studying  something usually requires seeing that something	nongold
44	a hypothesis is a kind of scientific term	nongold
45	scientists make observations	nongold
46	the properties of something are used for describing that something	nongold
47	structure is a property of an object; a material; a substance	nongold
48	a reptile is a kind of vertebrate	nongold
49	predators; carnivores; omnivores eat other animals	nongold
50	a plant; living thing requires food for survival	nongold
51	predators eat prey	nongold
52	according to is similar to be determined by	nongold
53	dead means not alive	nongold
54	an object is made of its parts	nongold
55	the skeleton is a part of the skeletal system	nongold
56	determining often requires measuring; observing	nongold
57	nonliving; non-living; die is the opposite of living; alive; live	nongold
58	an animal is a member of an animal species	nongold
59	live means to be alive	nongold
60	a part of a living thing is a natural structure	nongold
61	hypothesis means scientific guess about the cause and effect of an event	nongold
62	a body part is a kind of object	nongold
63	if a living thing requires something then that something has a positive impact on that living thing	nongold
64	if an object is made of something then the parts of that object are made of that something	nongold
65	a predator eats other animals for food	nongold
66	killing means changing a living thing from alive to dead by harming	nongold
67	a type is synonymous with a kind	nongold
68	a human is a kind of mammal	nongold
69	the skeletal system gives structure to the body in animals	nongold
70	prey  is a kind of animal	nongold
71	classifying is when one sorts something by kind; type	nongold
72	a landform is a kind of object	nongold
73	herbivore means first-level consumer	nongold
74	if a living thing dies then that living thing is dead	nongold
75	an amphibian is a kind of animal	nongold
76	a structure is a kind of feature	nongold
77	can be means able to be	nongold
78	an event is a kind of action	nongold
79	form means kind	nongold
80	skeletal system is made of bones	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	killing means harming something causing death	nongold
83	the properties of something can be used to identify; used to describe that something	nongold
84	a tooth is a kind of bone	nongold
85	organisms mean life	nongold
86	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
87	if a species existed for a relatively short time then that species is now extinct	nongold
88	investigating the life cycle of a living thing requires that living thing to be alive	nongold
89	an part of an object is smaller than the entire object	nongold
90	the parts of something make up that something	nongold
91	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
92	all the other means the rest of	nongold
93	to be believed to be is similar to maybe	nongold
94	a reptile is cold-blooded	nongold
95	herbivores only eat plants	nongold
96	to cause an event means to make that event more likely	nongold
97	often is similar to likely	nongold
98	survive means live	nongold
99	survive means live	nongold
