Question	What is the composition of Saturn's rings?	question
Answer	chunks of ice and rock	answer
0	Saturn's rings are made of ice and rock	gold
1	Saturn is a kind of planet	nongold
2	composition means the (materials, substances) of which something is composed	gold
3	composition is a property of an object; matter	nongold
4	a ring is a kind of object	nongold
5	composed of means made of	nongold
6	ice is a kind of object	nongold
7	to be made of something means to be formed of that something	nongold
8	Saturn is the planet that is sixth closest to the Sun	nongold
9	ice is a kind of solid	nongold
10	made up of means contains; made of	nongold
11	objects are made of materials; substances; matter	nongold
12	a rock is a kind of object	nongold
13	an object is made of its parts	nongold
14	rock is a kind of material	gold
15	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
16	materials are made of matter	nongold
17	material composition is a kind of chemical property	nongold
18	the parts of something make up that something	nongold
19	a piece of something is a kind of object	nongold
20	to cause the formation of means to form	nongold
21	Mars contains ice	nongold
22	a kettle is formed when chunks of ice left by glaciers melt	nongold
23	chemical composition is a kind of property	nongold
24	ice is a kind of food	nongold
25	rock means stone	nongold
26	substances are made of matter	nongold
27	a structure of something is synonymous with a part of that something	nongold
28	a whole is formed by its parts	nongold
29	a circle is a kind of shape	nongold
30	state means form	nongold
31	freezing causes a solid to form	nongold
32	ice is a kind of water phase	nongold
33	to make means to form	nongold
34	a rock is usually a solid	nongold
35	to be made of means to consist of	nongold
36	to change into means to form	nongold
37	made of is similar to contains	nongold
38	to form means to create	nongold
39	matter; materials; substances are made of atoms; particles	nongold
40	Earth contains water; ice; (steam, water vapor)	nongold
41	ice crystals means  ice	nongold
42	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
45	water is a kind of matter	nongold
46	a solid is a kind of substance	nongold
47	if an object is made of something then the parts of that object are made of that something	nongold
48	frozen means solid	nongold
49	to be formed by is similar to being produced by	nongold
50	all elements are a kind of pure substance	nongold
51	water is a kind of substance	gold
52	answering questions requires information	nongold
53	water is a kind of object	nongold
54	a piece is a part of a whole	nongold
55	material means substance	nongold
56	sometimes rocks are formed by quartz; feldspar mixed together	nongold
57	temperature is a measure of heat energy	nongold
58	liquid is a kind of state of matter	nongold
59	water is a kind of liquid at room temperature	nongold
60	composition is a kind of information	nongold
61	a liquid is a kind of substance	nongold
62	icy means made of ice	nongold
63	an element is a kind of material	nongold
64	metal is a kind of material	nongold
65	Earth is made of rock	nongold
66	lava is a kind of matter	nongold
67	phase means state	nongold
68	solid is a kind of state of matter	nongold
69	structure is a property of an object; a material; a substance	nongold
70	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
71	an ice cube is a kind of object	nongold
72	class is a measure of how a rock is formed	nongold
73	different classes of rocks are formed by different methods	nongold
74	particles in objects are a kind of matter	nongold
75	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
76	a mineral is a kind of object	nongold
77	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
78	formation of a state of matter is a kind of process	nongold
79	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
80	if two objects are composed of similar materials then those objects may have come from the same source	nongold
81	ice cube is made of ice	nongold
82	substances are made of elements	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	sediment is a kind of matter	nongold
85	ice wedging is a kind of mechanical weathering	nongold
86	an ice cube is a kind of solid	nongold
87	if something is made of something; a material then that something contains that something; that material	nongold
88	to split means to break down	nongold
89	form means kind	nongold
90	can be means able to be	nongold
91	affected means changed	nongold
92	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
93	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
94	snow is a kind of ice	nongold
95	products are formed; are produced; are created	nongold
96	heat means heat energy	nongold
97	an element is a kind of  substance	nongold
98	greatest means largest; highest; most amount of something	nongold
99	classifying means grouping objects; materials by their properties	nongold
