Question	Which statement identifies an energy source as renewable?	question
Answer	Wind, because it is always available.	answer
0	wind is a renewable; inexhaustible resource	gold
1	renewable resources are often available for many years	gold
2	wind is a source of energy	nongold
3	an energy source is a kind of resource	gold
4	solar energy is a renewable; inexhaustible resource	nongold
5	a renewable resource is a kind of natural resource	nongold
6	renewable is the opposite of nonrenewable	nongold
7	inexhaustible means always available	nongold
8	fossil fuels are a kind of energy resource	nongold
9	the properties of something can be used to identify; used to describe that something	nongold
10	identifying is similar to determining	nongold
11	a renewable resource is a kind of naturally replaced resource	nongold
12	the amount of something is similar to the availability of something	nongold
13	fossil fuels are a nonrenewable resource	nongold
14	to depend on; to rely on; to need means to require	nongold
15	something's function can be used to describe; identify that something	nongold
16	natural gas is a nonrenewable resource	nongold
17	to provide something means to be the source of that something	nongold
18	to identify means to discover	nongold
19	a source of something emits; produces; generates; provides that something	nongold
20	to be used for something means to be required by that something	nongold
21	an inexhaustible resource is a kind of renewable resource	nongold
22	resources sometimes are used for energy	nongold
23	if something requires something else then that something requires a source of that something else	nongold
24	a fossil fuel is a kind of natural resource	nongold
25	oil is a nonrenewable resource	nongold
26	a renewable resource can be renewed	nongold
27	oil is a source of energy	nongold
28	a renewable resource can be replaced	nongold
29	oil is a kind of energy resource	nongold
30	an event is a kind of action	nongold
31	if something is required then that something must be provided	nongold
32	tidal energy is a renewable resource	nongold
33	identifying sometimes requires examining	nongold
34	to power means to provide energy for	nongold
35	a nonrenewable resource is limited in supply	nongold
36	fossil fuels have high potential energy	nongold
37	a process is a kind of event	nongold
38	solar energy is an inexhaustible resource	nongold
39	fuel is a kind of energy source	nongold
40	the composition of something can be used to identify that something	nongold
41	natural gas is a kind of fossil fuel	nongold
42	resources becoming available has a positive impact on the things that need those resources	nongold
43	100% probability means always	nongold
44	renewable resources can be used over again	nongold
45	solar power means solar energy	nongold
46	emit means produce	nongold
47	as the use of a resource decreases , the length of time that resource will be available increases	nongold
48	a producer is a source of energy for consumers	nongold
49	producing renewable electric energy requires renewable resources	nongold
50	provide is similar to give; make	nongold
51	if something is a raw material in a process then that something is required for that process	nongold
52	affected means changed	nongold
53	answering questions requires information	nongold
54	high is similar to increase	nongold
55	fuel is a source of energy	nongold
56	potential energy is a kind of energy	nongold
57	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
58	if something comes from something else then that something else is a source of that something	nongold
59	alternative fuel is usually a renewable resource	nongold
60	if something is powered by something else then that something requires a source of that something else	nongold
61	a natural resource is a kind of environmental factor	nongold
62	requiring something means needing that something	nongold
63	must have means require	nongold
64	greatest means largest; highest; most amount of something	nongold
65	if something causes a process then that something is required for that process	nongold
66	an object; material; substance comes from that object or material's source	nongold
67	solar energy is a kind of energy	nongold
68	can be means able to be	nongold
69	oil is a kind of fossil fuel	nongold
70	if something gains something from something else then that something else is a source of that something	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	to produce means to provide	nongold
73	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
74	wave energy is a renewable resource	nongold
75	annual means once per year	nongold
76	an ocean is a kind of body of water	nongold
77	if something transfers something else then that something is a source of something else	nongold
78	if a resource is protected then that resource will be available	nongold
79	if something releases something else then that something is the source of that something else	nongold
80	geothermal energy is a renewable resource	nongold
81	largest amount means most	nongold
82	hydropower is a kind of alternative energy resource	nongold
83	potential energy means stored energy	nongold
84	a process usually requires all of the stages in that process	nongold
85	to provide means to supply	nongold
86	to add means to increase	nongold
87	a supply of something is a source of that something	nongold
88	if something is a raw material then that something comes directly from a source	nongold
89	sunlight is a kind of solar energy	nongold
90	a part of a process means a stage in a process	nongold
91	to last longer means to be available longer	nongold
92	a change is a kind of event	nongold
93	events occur at a specific place; at a specific time; with a specific frequency	nongold
94	the structure  of an atom can be used for identifying the element	nongold
95	amount is similar to number	nongold
96	windy means high wind speeds	nongold
97	according to is similar to be determined by	nongold
98	definite is the opposite of variable	nongold
99	if something generates energy for something else then that something powers that something else	nongold
