Question	What carries oxygen throughout the body?	question
Answer	red blood cells	answer
0	red blood cells carry oxygen throughout the body	gold
1	to carry means to transport	nongold
2	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
3	carrier means the ones that carry	nongold
4	to carry something means to contain something	nongold
5	cells are a part of the body	nongold
6	throughout means over	nongold
7	red is a kind of color	nongold
8	distributing is similar to carrying	nongold
9	the body is a part of an organism	nongold
10	to carry means to move something	nongold
11	arteries; veins transport nutrients; water; minerals throughout the body	nongold
12	carrying something means moving that something	nongold
13	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
14	oxygenated means having oxygen	nongold
15	an animal; bacterium requires oxygen for survival; to breathe	nongold
16	a body cell means a somatic cell	nongold
17	bringing oxygen to the body is a kind of function	nongold
18	the body of an animal contains arteries; veins	nongold
19	a cell is very small	nongold
20	a human cell is a kind of cell	nongold
21	circulation the circulatory system transports blood throughout the body	nongold
22	take in oxygen means get oxygen into the blood	nongold
23	oxygen is a kind of gas at room temperature	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	an animal cell is a kind of cell	nongold
26	transporting is a kind of function	nongold
27	carrying is similar to conducting	nongold
28	a body system is a part of the body; an animal	nongold
29	to transmit means to carry to another place	nongold
30	mast cells are a kind of white blood cell	nongold
31	to transfer is similar to transport	nongold
32	the respiratory system takes in oxygen from the air	nongold
33	to bring means to transport	nongold
34	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
35	a component means a part of	nongold
36	a component of something means a part of that something	nongold
37	a living thing is made of cells	nongold
38	answering questions requires information	nongold
39	swallowing  is when the esophagus carries; transports food from the mouth to the stomach	nongold
40	if something transfers something else then that something is a source of something else	nongold
41	a human is a kind of animal	nongold
42	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
43	the respiratory system is a kind of human; organ; body system	nongold
44	to emit means to release	nongold
45	if something is transported to something else then that something else receives that something	nongold
46	cells require oxygen for fuel	nongold
47	an organism is a living thing	nongold
48	to provide something means to be the source of that something	nongold
49	an animal is a kind of organism	nongold
50	an animal is a kind of living thing	nongold
51	emit means produce	nongold
52	veins carry blood from the body to the heart	nongold
53	to give off means to be the source of	nongold
54	O2 means oxygen	nongold
55	the brain is a part of the body	nongold
56	the blood vessels are a part of the body	nongold
57	internal organs are a part of the body	nongold
58	high is similar to increase	nongold
59	blood absorbs oxygen in the lungs	nongold
60	to be formed by is similar to being produced by	nongold
61	affected means changed	nongold
62	organ system means body system	nongold
63	the absorption of oxygen through the blood occurs in the lungs	nongold
64	if something releases something else then that something is the source of that something else	nongold
65	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
66	a type is synonymous with a kind	nongold
67	convert is similar to transfer	nongold
68	the cell membrane is a part of a cell	nongold
69	unit is similar to part	nongold
70	can be means able to be	nongold
71	to add means to increase	nongold
72	a source of something supplies that something	nongold
73	a supply of something is a source of that something	nongold
74	the function of something is what that something  is used to do	nongold
75	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
76	to produce means to provide	nongold
77	a cell is a kind of object	nongold
78	if something gains something from something else then that something else is a source of that something	nongold
79	to flow is similar to to transfer	nongold
80	organs are made of different types of  cellular tissues	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	to turn means to change	nongold
83	life means living things	nongold
84	where something  comes from is a source of that something	nongold
85	the endocrine system carries messages from the body to the brain	nongold
86	converting is similar to producing	nongold
87	to provide means to supply	nongold
88	live means to be alive	nongold
89	if something is passed down to something else then that something else receives that something	nongold
90	if something is a part of something else then that something else contains that something	nongold
91	to conduct is similar to to transfer	nongold
92	the parent cell is the original cell	nongold
93	form means kind	nongold
94	to give is similar to to cause	nongold
95	if something causes a process then that something is required for that process	nongold
96	composed of means made of	nongold
97	to contain means to have inside	nongold
98	to slow; to slow down decreases speed	nongold
99	the cell cycle is when a cell forms new cells	nongold
