Question	Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate?	question
Answer	heat	answer
0	a puddle is a kind of body of water	gold
1	sidewalk means pavement	nongold
2	heating means adding heat	nongold
3	heat means heat energy	gold
4	the sidewalk is a kind of object	nongold
5	rapidly means quickly	nongold
6	absorbing sunlight causes objects to heat	nongold
7	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
8	quickly means in a short period of time	nongold
9	temperature is a measure of heat energy	gold
10	heat means temperature increases	gold
11	water is a kind of liquid at room temperature	gold
12	adding heat means increasing temperature	nongold
13	a sidewalk is located outside	nongold
14	absorbing energy causes objects; materials; substances to heat	gold
15	water is an thermal; thermal energy conductor	nongold
16	evaporation causes amount of water to decrease	nongold
17	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
18	fast means quickly	nongold
19	to add means to increase	gold
20	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
21	to be a source of something means to cause that something	nongold
22	water is a kind of substance	nongold
23	evaporating is a kind of phase change	nongold
24	to reduce means to decrease	nongold
25	a liquid is a kind of substance	nongold
26	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
27	a source of something increases the amount of that something	nongold
28	boiling is when liquids are heated above their boiling point	nongold
29	to lower means to decrease	nongold
30	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
31	if something emits something else then that something increases the amount of that something else	nongold
32	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
33	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
34	solar energy is a kind of heat energy	nongold
35	if heat is added to a substance then that substance absorbs that heat	gold
36	a solid is a kind of substance	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	heat energy  can be used to heat up  an object	nongold
39	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
40	conductivity is a property of a material; substance	nongold
41	a source of heat can be used to heat something	nongold
42	a source of heat can be used to heat something	nongold
43	heat means the transfer of thermal energy	nongold
44	to receive sunlight means to absorb sunlight	nongold
45	when a cooler object touches a warmer object , thermal conduction occurs	nongold
46	to change means to cause a change	nongold
47	to give off means to be the source of	nongold
48	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
49	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
50	heat energy is synonymous with thermal energy	nongold
51	an increase is a kind of change	nongold
52	gas is a kind of substance	nongold
53	increase means more	nongold
54	a surface is a part of an object	nongold
55	objects are made of materials; substances; matter	nongold
56	high is similar to increase	nongold
57	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
58	an increase is the opposite of a decrease	nongold
59	a human is a kind of animal	nongold
60	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
61	affected means changed	nongold
62	the sun causes water to evaporate more quickly by adding heat	nongold
63	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
64	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
65	metal is a thermal; thermal energy conductor	nongold
66	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
67	absorbance is when a wave absorbs at; stops at a surface	nongold
68	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
69	if something transfers something else then that something is a source of something else	nongold
70	if something is places over a heat source then that something is exposed to that heat source	nongold
71	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
72	gas is a kind of object	nongold
73	an object; material; substance comes from that object or material's source	nongold
74	receiving sunlight  is synonymous with absorbing sunlight	nongold
75	a decrease is a kind of change	nongold
76	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
77	a thermal conductor is made of materials that conduct thermal energy	nongold
78	moisture means liquid; liquid water	nongold
79	if a tree is located near a sidewalk then the roots of that tree might crack the sidewalk	nongold
80	if one surface; one substance; one object touches something then one is exposed to that something	nongold
81	warm; becoming warm means heat is added	nongold
82	extreme means very high in value	nongold
83	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
84	gas is a kind of state of matter	nongold
85	a vehicle is a kind of object	nongold
86	if someone walks on a surface then that someone touches that surface	nongold
87	person is synonymous with human	nongold
88	air is usually a thermal; thermal energy insulator	nongold
89	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
90	a motion is a kind of event; action	nongold
91	heat is a kind of energy	nongold
92	water is a kind of object	nongold
93	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
94	thermal conduction is when heat flows from warmer object to cooler object	nongold
95	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
96	often is similar to likely	nongold
97	motion; movement means moving; to move	nongold
98	sunlight is a kind of solar energy	nongold
99	a body of water contains water	nongold
