Question	What type of chemical reaction occurs when the body breaks down fats and sugars that supply it with energy?	question
Answer	exothermic	answer
0	breaking down fat and sugar is a kind of  chemical reaction	gold
1	breaking down fat and sugar is a kind of exothermic reaction	gold
2	an endothermic reaction converts heat energy into chemical energy	nongold
3	an organism breaks down fat to release energy	gold
4	an exothermic process releases heat energy; light energy	gold
5	an exothermic reaction increases the amount of heat	nongold
6	an organism breaks down sugar to release energy	gold
7	an organism breaking down sugar is a source of carbon dioxide; water	nongold
8	food is a kind of chemical energy	nongold
9	to digest means to break down food	nongold
10	nutrients are a source of energy for living things	nongold
11	an endothermic reaction absorbs heat energy from its surroundings	nongold
12	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
13	digestion is when stomach acid breaks down food	nongold
14	sugar is a kind of food	nongold
15	chemical energy is a kind of energy	nongold
16	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	nongold
17	a type is synonymous with a kind	nongold
18	a chemical reaction is a kind of process	nongold
19	the breaking down of food into simple substances occurs in the digestive system	nongold
20	combustion is a kind of exothermic reaction	nongold
21	to provide means to supply	nongold
22	a reaction is a kind of process	nongold
23	melting is a kind of endothermic reaction	nongold
24	the digestive system breaks down food into nutrients for  the body	nongold
25	a supply of something is a source of that something	nongold
26	transferring is similar to supplying	nongold
27	to happen means to occur	nongold
28	heat is a kind of energy	nongold
29	chemical reactions cause chemical change	nongold
30	metabolism is the sum of all chemical reactions in an animal's body	nongold
31	a source of something supplies that something	nongold
32	exergonic chemical reactions only release energy	nongold
33	a hot pack reaction is a kind of exothermic reaction	nongold
34	carbohydrates are made of sugars	nongold
35	to split means to break down	nongold
36	sugar is a kind of pure substance	nongold
37	sugar is a kind of solid	nongold
38	nuclear reaction is a kind of exothermic reaction	nongold
39	break down means change from a whole into pieces	nongold
40	breaking down is a kind of forming	nongold
41	a source of something emits; produces; generates; provides that something	nongold
42	glucose is a kind of substance	nongold
43	cold pack reaction is a kind of endothermic reaction	nongold
44	to break down means to break into smaller pieces	nongold
45	most chemical reactions release or absorb heat energy	nongold
46	food is a source of energy for animals; plants	nongold
47	separate is similar to break down	nongold
48	a food contains nutrients for living things	nongold
49	nutrients are a kind of substance	nongold
50	respiration releases energy	nongold
51	break apart means break down	nongold
52	food is a kind of substance	nongold
53	a producer is a source of sugar; food energy in an ecosystem	nongold
54	food contains carbohydrates	nongold
55	freezing is a kind of  exothermic process	nongold
56	chemical change is a kind of chemical reaction	nongold
57	combining; mixing two substances chemically causes chemical reactions	nongold
58	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
59	cooking causes a chemical reaction	nongold
60	nutrients are a kind of matter	nongold
61	break down is the opposite of put together	nongold
62	something that happens is a kind of event	nongold
63	breaking down is a kind of function	nongold
64	the body is a part of an organism	gold
65	dissolving is similar to breaking down	nongold
66	cellular energy is a kind of chemical energy	nongold
67	to add means to increase	nongold
68	take apart means break down	nongold
69	energy transformation means one kind of energy changes into another kind of energy	nongold
70	chemical energy is a kind of potential energy	nongold
71	sugar is a kind of  simple carbohydrate	nongold
72	high is similar to increase	nongold
73	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
74	combustion is a kind of exergonic reaction	nongold
75	hydrogen contains chemical energy	nongold
76	an animal is a kind of living thing	nongold
77	to slow; to slow down decreases speed	nongold
78	decomposition is when a decomposer breaks down dead organisms	nongold
79	crumble means break down	nongold
80	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
81	methane reacting with oxygen is a kind of exothermic reaction	nongold
82	if something causes a process then that something is required for that process	nongold
83	living things require respiration to use energy	nongold
84	carbohydrates store chemical energy	nongold
85	if something causes an increase in something else then that something produces that something else	nongold
86	chemical reaction means chemical bonds change	nongold
87	sugary means high in sugar	nongold
88	heat means heat energy	nongold
89	sugar is made of carbon, hydrogen, oxygen	nongold
90	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
91	if an event occurs by adding something then that event requires that something	nongold
92	resources sometimes are used for energy	nongold
93	if something breaks , then that something cannot be used	nongold
94	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
95	photosynthesis is a kind of chemical reaction	nongold
96	meat is made of amino acids	nongold
97	sugar dissolves in water when they are combined	nongold
98	deplete is similar to decrease	nongold
99	chemical reactions cause new substances; different substances to form	nongold
