Question	A device that converts light energy into electricity used in many handheld calculators is a	question
Answer	photovoltaic cell.	answer
0	photovoltaic cells can be used in handheld calculator	gold
1	photovoltaic cells convert light energy into electricity	gold
2	a calculator is used for adding; subtracting; multiplying; dividing	nongold
3	a calculator is a kind of tool	nongold
4	solar cell is similar to photovoltaic cell	nongold
5	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
6	electricity means electrical energy	nongold
7	electricity is used as an energy source by electrical devices	nongold
8	solar cells convert solar energy into electrical energy	nongold
9	electrical energy is a kind of energy	nongold
10	a machine is a kind of  device	nongold
11	light is a kind of energy	nongold
12	light is a kind of energy	nongold
13	a cell is a kind of object	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	light means light energy	nongold
16	a cell is very small	nongold
17	a device is a kind of object	nongold
18	electric devices require electrical energy to function	nongold
19	convert is similar to transfer	nongold
20	to turn means to convert	nongold
21	a machine is a kind of object	nongold
22	to convert means to change	nongold
23	converting is similar to producing	nongold
24	electrical devices are used for industrial purposes; household purposes by humans	nongold
25	to be used for something means to be required by that something	nongold
26	can be means able to be	nongold
27	emit means produce	nongold
28	an electrical device requires electricity to turn on	nongold
29	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
30	solar energy is a kind of light	nongold
31	sunlight is a kind of light	nongold
32	to transform means to convert	nongold
33	form means kind	nongold
34	light is a kind of wave	nongold
35	device means tool	nongold
36	energy conversion is similar to energy transformation	nongold
37	conversion is a kind of process	nongold
38	converting is similar to generating	nongold
39	converting is a kind of function	nongold
40	the function of something is what that something  is used to do	nongold
41	light is made of photons	nongold
42	a tool is a kind of object	nongold
43	solar energy is a source of electricity	nongold
44	heat is a kind of energy	nongold
45	to provide something means to be the source of that something	nongold
46	to produce means to provide	nongold
47	to be formed by is similar to being produced by	nongold
48	electricity sometimes is used for heating buildings; substances	nongold
49	energy transformation means one kind of energy changes into another kind of energy	nongold
50	if something transfers something else then that something is a source of something else	nongold
51	affected means changed	nongold
52	variable means able to change	nongold
53	a generator is a kind of  device	nongold
54	a type is synonymous with a kind	nongold
55	make means produce	nongold
56	generate means produce	nongold
57	to give off means to be the source of	nongold
58	solar energy is a kind of energy	nongold
59	forming is similar to converting	nongold
60	to power means to provide energy for	nongold
61	answering questions requires information	nongold
62	if something is powered by something else then that something requires a source of that something else	nongold
63	to conduct is similar to to transfer	nongold
64	if something generates energy for something else then that something powers that something else	nongold
65	if an object is made of a material then that object has the properties of that material	nongold
66	sunlight is a kind of solar energy	nongold
67	a kind of something is an example of that something	nongold
68	conductivity is a property of a material; substance	nongold
69	an object has properties	nongold
70	objects are made of materials; substances; matter	nongold
71	a heating element converts electrical energy; electricity into heat energy for heating	nongold
72	UV light is a kind of light	nongold
73	a device requires energy to operate	nongold
74	a human cell is a kind of cell	nongold
75	electricity is made of moving charges; moving charged particles	nongold
76	composed of means made of	nongold
77	conductivity is a measure of how easily electricity travels through a material	nongold
78	to add means to increase	nongold
79	to slow; to slow down decreases speed	nongold
80	a circuit is a kind of electrical component	nongold
81	to be made of something means to be formed of that something	nongold
82	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
83	a battery-operated device is a kind of electrical device	nongold
84	provide is similar to give; make	nongold
85	material means substance	nongold
86	high is similar to increase	nongold
87	closing an electric circuit causes an electrical device to function	nongold
88	to turn means to change	nongold
89	to change means to have an effect	nongold
90	solar energy is a kind of heat energy	nongold
91	instrument means device	nongold
92	an electromagnet is a kind of device	nongold
93	system means a set of objects	nongold
94	to serve as means to be used as	nongold
95	a complete electrical circuit is a source of  electrical energy	nongold
96	greatest means largest; highest; most amount of something	nongold
97	if something causes a process then that something is required for that process	nongold
98	a solar panel converts sunlight; solar energy into electrical energy; electricity	nongold
99	as a system; a device grows old , that system; device will use more energy	nongold
