Question	The gravitational force of the Sun affects the planets in our solar system. Which of these is influenced the most by this force?	question
Answer	orbital path	answer
0	influence means effect	nongold
1	to impact means to affect	nongold
2	orbit means orbital path	gold
3	influence means impact	nongold
4	impact means effect	nongold
5	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
6	affected means changed	nongold
7	planets in the solar system orbit the Sun	nongold
8	cause is similar to influence	gold
9	to act on means to affect	nongold
10	to be affected by something is similar to depending on something	nongold
11	the Sun is a kind of star	gold
12	causing is a kind of affecting	nongold
13	to cause means to have an effect	nongold
14	a planet is a kind of celestial object; body	nongold
15	gravity causes orbits	gold
16	gravity is a kind of force	nongold
17	to change means to have an effect	nongold
18	causing means influencing	nongold
19	Earth is a kind of planet	nongold
20	if something affects a part of something else then that something affects that something else	nongold
21	if something is made by something else then that something is affected by that something else	nongold
22	change is a kind of impact	nongold
23	planets orbit stars	gold
24	the solar system contains eight planets	nongold
25	the solar system is a kind of system	nongold
26	revolving  around something means orbiting that something	nongold
27	distorting is a kind of affecting	nongold
28	path is a kind of pathway	nongold
29	the sun is the strongest source of gravity in the solar system	nongold
30	increase means more	nongold
31	a pull is a kind of force	nongold
32	to depend on; to rely on; to need means to require	nongold
33	an orbit is a kind of regular path	nongold
34	Neptune is a kind of planet in the solar system	nongold
35	force requires energy	nongold
36	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
37	a planet completes one orbit around its star over a period of one planetary year	nongold
38	a factor impacts something	nongold
39	a star is a kind of celestial object; celestial body	nongold
40	high is similar to increase	nongold
41	orbiting is a kind of action	nongold
42	moons orbit planets	nongold
43	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
44	having an impact on something means altering that something	nongold
45	an increase is a kind of change	nongold
46	gravitational fore is a kind of non-contact force	nongold
47	planets have cleared their orbits	nongold
48	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
49	a source of something increases the amount of that something	nongold
50	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
51	the Earth revolves around the sun	nongold
52	most means over 50% of something	nongold
53	a force is a kind of push or pull on an object	nongold
54	an increase is the opposite of a decrease	nongold
55	gravity pulls objects towards planets	nongold
56	if something causes something else then that something else depends on that something	nongold
57	an event is a kind of action	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	the effects of something is a property of that something	nongold
60	due to means caused by	nongold
61	to be a source of something means to cause that something	nongold
62	something being independent of something means that thing is not affected by that something	nongold
63	variable means able to change	nongold
64	a motion is a kind of event; action	nongold
65	Mars is a kind of planet	nongold
66	a decrease is a kind of change	nongold
67	orbit is a kind of characteristic	nongold
68	force causes the speed of an object to increase; to decrease	nongold
69	a component of something means a part of that something	nongold
70	revolving is a kind of motion	nongold
71	additional force is similar to outside force	nongold
72	system means a set of objects	nongold
73	a component means a part of	nongold
74	to cause means to result in	nongold
75	pulling is a kind of motion	nongold
76	the mass of a planet causes the pull of gravity on that planet	nongold
77	a process is a kind of event	nongold
78	if something is required for a process then that something positively impacts that process	nongold
79	our Sun is located at the center of our solar system	nongold
80	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
81	intense means extreme	nongold
82	less is similar to decrease	nongold
83	if something requires something else then that something requires a source of that something else	nongold
84	a type is synonymous with a kind	nongold
85	extreme means very high in value	nongold
86	greatest means largest; highest; most amount of something	nongold
87	if something causes an increase in something else then that something produces that something else	nongold
88	mostly means being the most	nongold
89	the sun setting is a kind of event	nongold
90	to cause is similar to bring	nongold
91	can be means able to be	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	if something has no impact on something else then that something else stays the same	nongold
94	to give is similar to to cause	nongold
95	all planets orbit the sun in the same direction	nongold
96	both means two	nongold
97	usually means most of the time	nongold
98	all the other means the rest of	nongold
99	to cause an event is similar to being involved in that event	nongold
