Question	The weight of an object can change even when the mass stays the same. Which statement correctly identifies a relationship between mass and weight?	question
Answer	Gravity affects the weight of an object but not its mass.	answer
0	weight is a measure of the force of the gravity on the mass of an object	gold
1	a weight is a kind of object	nongold
2	to impact means to affect	nongold
3	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
4	mass; weight is a property of matter; objects; materials	nongold
5	weight means the force of gravity acting on an object	nongold
6	as the force  of gravity changes , the weight of the object will change	gold
7	weight is a property of objects; matter	nongold
8	Weight is  the  force of gravity acting on an object	nongold
9	as the force  of gravity changes , the mass of the object will stay the same	gold
10	if something affects a part of something else then that something affects that something else	nongold
11	affected means changed	gold
12	as the mass of an object increases ,  the weight of that object will increase	nongold
13	if two or more things are in a relationship then those things impact each other	nongold
14	mass is a property of objects; matter	nongold
15	to remain means to stay the same	nongold
16	as the force of gravity increases , the weight of objects will increase	nongold
17	stay the same means not changing	gold
18	gravity is a kind of force	nongold
19	the mass of an object causes the gravitational force exerted by that object	nongold
20	causing is a kind of affecting	nongold
21	mass is a measure of the amount of matter in an object	nongold
22	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
23	as the force  of gravity decreases , the weight of the object will decrease	nongold
24	if something has no impact on something else then that something else stays the same	nongold
25	as the mass of an object increases , the force of gravity on that object will increase	nongold
26	weight is a kind of property	nongold
27	an increase is a kind of change	nongold
28	a decrease is a kind of change	nongold
29	as the mass of an object decreases , the weight of that object will decrease	nongold
30	mass is a kind of physical property	nongold
31	heavy means a large amount of weight	nongold
32	as state of matter changes , mass will not change	nongold
33	to change means to cause a change	nongold
34	change is a kind of impact	nongold
35	to change means to become different	nongold
36	different is the opposite of the same	nongold
37	a factor impacts something	nongold
38	if something changes , then that something is not the same	nongold
39	to remain means to not change	nongold
40	an increase is the opposite of a decrease	nongold
41	a relationship occurs when two or more things interact with one another	nongold
42	objects are made of materials; substances; matter	nongold
43	an part of an object is smaller than the entire object	nongold
44	density is a measure of mass of an object over volume; divided by volume	nongold
45	same means identical; equal in value; amount; number; quantity	nongold
46	high is similar to increase	nongold
47	to change means to have an effect	nongold
48	a human is a kind of animal	nongold
49	variable means able to change	nongold
50	to remain means to stay where it is	nongold
51	changed is the opposite of unchanged	nongold
52	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
53	to lower means to decrease	nongold
54	to act on means to affect	nongold
55	can be means able to be	nongold
56	the  property of something is the same for the things of same kind	nongold
57	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
58	if something is made by something else then that something is affected by that something else	nongold
59	not is similar to the opposite of	nongold
60	the properties of something can be used to identify; used to describe that something	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	causing means influencing	nongold
63	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
64	an animal is a kind of living thing	nongold
65	the effects of something is a property of that something	nongold
66	increase means more	nongold
67	identifying is similar to determining	nongold
68	if the component of something changed , then the whole thing will change	nongold
69	an object is made of its parts	nongold
70	impact means effect	nongold
71	as the heat  of an object increases , the mass of the object will stay the same	nongold
72	to reduce means to decrease	nongold
73	definite is the opposite of variable	nongold
74	a living thing is a kind of object	nongold
75	mass; weight are the same on Earth	nongold
76	action can cause change	nongold
77	an object has properties	nongold
78	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
79	adding something is a kind of change	nongold
80	solid is a kind of state of matter	nongold
81	a particle is a kind of object	nongold
82	movement is a kind of change	nongold
83	opposite is a kind of different	nongold
84	to cause means to have an effect	nongold
85	to be a source of something means to cause that something	nongold
86	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
87	if something undergoes a physical change then the physical properties of that something will change	nongold
88	to be affected by something is similar to depending on something	nongold
89	to add means to increase	nongold
90	an event is a kind of action	nongold
91	a change is a kind of event	nongold
92	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
93	extreme means very high in value	nongold
94	the properties of something are used for describing that something	nongold
95	if something is made of something else , then that something else will be the component of that something	nongold
96	particles in objects are a kind of matter	nongold
97	constant means not changing	nongold
98	unchanged means not changed	nongold
99	gravity accelerates an object while that object falls by pulling on it	nongold
