Question	Which of these is only found outside the solar system?	question
Answer	nebulae	answer
0	nebulae are located outside the solar system	gold
1	a nebula is a kind of celestial body	nongold
2	a nebula is made of hydrogen gas and dust	nongold
3	to be found in means to be contained in	nongold
4	a galaxy contains dust; stars; planets	nongold
5	astronomy is the study of celestial (objects, bodies)	nongold
6	a star is a kind of celestial object; celestial body	nongold
7	moons; comets; planets are part of the solar system	nongold
8	the solar system contains eight planets	nongold
9	the solar system is a kind of system	nongold
10	a galaxy is a kind of very large system of stars	nongold
11	the Sun is a kind of star	nongold
12	if something is a part of something then that something can be found in that something	nongold
13	a galaxy is made of stars	nongold
14	planets in the solar system orbit the Sun	nongold
15	astronomy is a kind of branch of science	nongold
16	a planet is a kind of celestial object; body	nongold
17	found in means existing in	nongold
18	a galaxy is a kind of celestial body; celestial object	nongold
19	the solar system contains the moon	nongold
20	Neptune is a kind of planet in the solar system	nongold
21	contains means located in	nongold
22	stars can be classified by temperature; color; chemical composition; brightness	nongold
23	planets are found in space	nongold
24	a star is formed by collapsing clouds of gas and dust	nongold
25	the sun is a kind of yellow dwarf	nongold
26	system means a set of objects	nongold
27	to contain means to have inside	nongold
28	celestial bodies; celestial objects are found in space	nongold
29	composed of means made of	nongold
30	a galaxy is a kind of celestial body	nongold
31	a type is synonymous with a kind	nongold
32	if something is a part of something else then that something else contains that something	nongold
33	revolving  around something means orbiting that something	nongold
34	Neptune has the longest solar year; planetary year in the solar system	nongold
35	made up of means contains; made of	nongold
36	when an nebula collapses , particles condense	nongold
37	stellar means related to stars	nongold
38	made of is similar to contains	nongold
39	a planet is a kind of location	nongold
40	to discover means to find	nongold
41	a galaxy is a kind of structure	nongold
42	a star produces light and heat	nongold
43	galaxies often contain hundreds of billions of stars	nongold
44	yellow dwarf is a kind of small star	nongold
45	a star is made of gases	nongold
46	Proxima Centauri is a kind of star	nongold
47	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
48	a cluster of stars is made of stars	nongold
49	dust is a kind of material	nongold
50	Uranus is a kind of planet	nongold
51	gas is a kind of object	nongold
52	can be means able to be	nongold
53	a star is very hot in temperature	nongold
54	if there is none of a thing then that thing does not exist	nongold
55	a galaxy is made of a group of objects in space	nongold
56	a yellow dwarf is a kind of main-sequence star	nongold
57	a star's type is determined by the star's mass	nongold
58	to contain something means to have that something	nongold
59	stars change type during their life cycles	nongold
60	Earth is a kind of planet	nongold
61	to detect means to find	nongold
62	a moon is a kind of celestial object; body	nongold
63	a white dwarf is a kind of star	nongold
64	answering questions requires information	nongold
65	galaxies are located  millions of light years from Earth	nongold
66	a typical galaxy contains billions of stars	nongold
67	quasars are located in galaxies	nongold
68	main-sequences stars are a kind of star	nongold
69	events occur at a specific place; at a specific time; with a specific frequency	nongold
70	to be made of something means to be formed of that something	nongold
71	if something is a source of something else then that something usually contains that something else	nongold
72	if something is made of something; a material then that something contains that something; that material	nongold
73	astronomical body means celestial body	nongold
74	solar energy is a kind of heat energy	nongold
75	a halo contains mostly old stars	nongold
76	planets orbit stars	nongold
77	a body system is a kind of object	nongold
78	how many means what number	nongold
79	a star is usually larger than a planet	nongold
80	if something is located in some place , then the presence of that something can be found in that location	nongold
81	an object is made of its parts	nongold
82	classifying is when one sorts something by kind; type	nongold
83	a halo is a part of a galaxy	nongold
84	a star is a source of light; light energy through nuclear reactions	nongold
85	astronomical unit is a measure of distance between Earth and the Sun	nongold
86	our Sun is located at the center of our solar system	nongold
87	Mars is a kind of planet	nongold
88	Neptune is the furthest planet from the sun in the solar system	nongold
89	finding something requires sensing that something	nongold
90	both means two	nongold
91	a planet is a kind of place	nongold
92	solar energy is a kind of light	nongold
93	stars are some of the hottest objects	nongold
94	stars are located light years apart from each other	nongold
95	emit means send out	nongold
96	stars generally have the same chemical composition	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	solar energy is a kind of energy	nongold
99	gravity causes nebulas to collapse	nongold
