Question	What determines how long the Moon takes to complete one cycle of phases?	question
Answer	the period of revolution of the Moon around Earth	answer
0	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
1	the moon revolving around; orbiting the Earth causes the phases of the moon	gold
2	a revolution of the moon around the Earth takes 1; one month	nongold
3	Earth's revolution is a kind of cycle	nongold
4	lunar phase is synonymous with moon phase	nongold
5	how long something takes is a kind of measurement of time	gold
6	a full moon is a kind of phase of the moon	nongold
7	the moon orbits the Earth	nongold
8	a moon is a kind of celestial object; body	nongold
9	a phase of the moon is a kind of state	nongold
10	type of moon; kind of moon means moon phase	nongold
11	a revolution occurs when something revolves around something else	nongold
12	a new moon is a kind of phase of the moon	nongold
13	the first quarter phase of the moon occurs after the new moon	nongold
14	phase means state	nongold
15	revolve once means to complete a revolution	nongold
16	the Moon completes a lunar cycle over a period of 29 days	nongold
17	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
18	revolving  around something means orbiting that something	nongold
19	Earth is a kind of planet	nongold
20	a moon phase is a kind of natural event	nongold
21	a first quarter is a kind of phase of the moon	nongold
22	the moon orbiting the Earth occurs approximately 13 times per year	nongold
23	a waning gibbous is a kind of phase of the moon	nongold
24	a moon phase occurs 28 days after the last time it occurred	nongold
25	long means great in length	nongold
26	the Moon is Earth's moon	nongold
27	revolving is a kind of motion	nongold
28	a last quarter is a kind of phase of the moon	nongold
29	each of the moon's phases occurs once per month	nongold
30	the Earth revolves around the sun	nongold
31	a cycle is a kind of process	nongold
32	a waning crescent is a kind of phase of the moon	nongold
33	determine is similar to cause	gold
34	the moon rotates on its axis	nongold
35	cycles of day and night occur once per day	nongold
36	the moon orbiting the Earth occurs once per month	nongold
37	length of time means period of time	nongold
38	determining often requires measuring; observing	nongold
39	a process usually requires all of the stages in that process	nongold
40	setting is a kind of motion	nongold
41	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
42	a waxing gibbous is a kind of phase of the moon	nongold
43	a rotation of the moon takes 1; one month	nongold
44	revolving is a kind of action	nongold
45	a part of a process means a stage in a process	nongold
46	a full moon occurs after a waxing gibbous moon	nongold
47	a step in a process means a stage in a process	nongold
48	moons are large; solid; spherical	nongold
49	a cycle happens; occurs repeatedly	nongold
50	a waxing crescent is a kind of phase of the moon	nongold
51	high is similar to increase	nongold
52	events occur at a specific place; at a specific time; with a specific frequency	nongold
53	a process is a kind of event	nongold
54	an event is a kind of action	nongold
55	a motion is a kind of event; action	nongold
56	the Earth rotates on its axis	nongold
57	days are a kind of unit for measuring time	nongold
58	a planet is a kind of celestial object; body	nongold
59	increase means more	nongold
60	Venus has moon-like phases	nongold
61	the day time is part of one day	nongold
62	Celestial bodies move in orbits in space around other celestial bodies	nongold
63	a different moon phase occurs once per week	nongold
64	period is similar to amount of time	gold
65	an increase is a kind of change	nongold
66	the night time is part of one day	nongold
67	hours are a kind of unit for measuring time	nongold
68	movements of celestial bodies are a kind of event	nongold
69	answering questions requires information	nongold
70	a planet completes one orbit around its star over a period of one planetary year	nongold
71	all the time means at day and at night	nongold
72	according to is similar to be determined by	nongold
73	once means one time	nongold
74	a measure of time is a length of time	nongold
75	a new moon occurs 14 days after a full moon	nongold
76	month is a kind of period of time	nongold
77	a component means a part of	nongold
78	something that happens is a kind of event	nongold
79	once per means every	nongold
80	a component of something means a part of that something	nongold
81	a change is a kind of event	nongold
82	to add means to increase	nongold
83	turning is a kind of motion	nongold
84	if something causes something else then that something else depends on that something	nongold
85	the Moon is closer to the Earth than the Sun	nongold
86	the moon rising occurs once per day	nongold
87	years are a kind of unit for measuring time	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	the new moon is when the lighted half of the moon faces the Sun	nongold
90	determining is similar to controlling	nongold
91	variable means able to change	nongold
92	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
93	can be means able to be	nongold
94	a source of something increases the amount of that something	nongold
95	to happen means to occur	nongold
96	a type is synonymous with a kind	nongold
97	the new moon is when the dark half of the moon faces the Earth	nongold
98	if something causes a process then that something is required for that process	nongold
99	rising is a kind of motion	nongold
