Question	Which of these tools would be best to use when observing insects in a field?	question
Answer	hand lens	answer
0	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
1	an insect is a kind of animal	nongold
2	a field is a kind of environment	nongold
3	a magnifying glass is a kind of tool for observing small things	gold
4	optical tools are used for observing materials up close; in greater detail	nongold
5	a hand is a kind of object	nongold
6	instrument means tool	nongold
7	magnifying glass is used to see  small things by making objects appear bigger	gold
8	binoculars are a kind of instrument for observing distant objects	nongold
9	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
10	binoculars are used for observing distant objects	nongold
11	viewing means observing light	nongold
12	An insect is a pollinating animal	nongold
13	lenses are a kind of object	nongold
14	an instrument is a piece of equipment	nongold
15	an eyeglass lens is a kind of object	nongold
16	a microscope is a kind of tool for observing small things	nongold
17	inspect; observe means examine	nongold
18	observe means see	gold
19	a field is a kind of habitat	nongold
20	measuring is a kind of observing	nongold
21	seeing is used for sensing visual things	nongold
22	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	nongold
23	capturing an animal can be used for studying that animal	nongold
24	recording an observation sometimes requires measuring	nongold
25	a tool is a kind of object	nongold
26	an organism is a living thing	nongold
27	An example of observing things is taking a picture	nongold
28	a lens is a part of a telescope	nongold
29	a camera is a kind of tool for recording images	nongold
30	studying  something usually requires seeing that something	nongold
31	an insect is a kind of prey	nongold
32	an insect usually has a small size	gold
33	an animal is a kind of living thing	nongold
34	studying is similar to observing	nongold
35	eyes are used for seeing by animals by sensing light	nongold
36	look at means observe	nongold
37	looking is similar to observing	nongold
38	a living thing is a kind of object	nongold
39	detecting is similar to observing	nongold
40	an eyeglass lens is often made of glass	nongold
41	instrument means device	nongold
42	determining often requires measuring; observing	nongold
43	a camera is used for recording images	nongold
44	a surface is a part of an object	nongold
45	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
46	a hand is a part of the body	nongold
47	to view means to see	nongold
48	if something is visible , then that something can be observed	nongold
49	sight means to see	nongold
50	eyes are usually part of an animal for seeing	nongold
51	a human hand is large enough to be visible	nongold
52	to see means to look	nongold
53	to serve as means to be used as	nongold
54	an animal is a kind of organism	nongold
55	eyes are a part of a human for seeing	nongold
56	if an object reflects light toward the eye then that object can be seen	nongold
57	getting information sometimes requires observing; observation	nongold
58	to be used for something means to be required by that something	nongold
59	an insect has three body parts	nongold
60	an part of an object is smaller than the entire object	nongold
61	an animal is a member of an animal species	nongold
62	device means tool	nongold
63	a device is a kind of object	nongold
64	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
65	an environment means an area	nongold
66	an optical telescope requires visible light for human to use	nongold
67	visible means able to be seen	nongold
68	the senses are used for making observations	nongold
69	useful means able to be used	nongold
70	to observe means to gather information	nongold
71	image means visual depiction of an object	nongold
72	to get a better look at means to see better	nongold
73	lenses are a part of eyeglasses	nongold
74	to look like means to have the visual properties of	nongold
75	the eyes are part of the head used for seeing	nongold
76	to show means to display	nongold
77	can be means able to be	nongold
78	answering questions requires information	nongold
79	best means most positive	nongold
80	useful means good to use	nongold
81	sight means vision	nongold
82	a surface is a part of a material	nongold
83	to help; to benefit means to be of use	nongold
84	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
85	lab equipment is often used for measuring; observing	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	eyes can sense;detect light energy for seeing	nongold
88	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
89	identifying sometimes requires examining	nongold
90	to watch means to look at	nongold
91	a type is synonymous with a kind	nongold
92	observations; data are a part of the results of an experiment	nongold
93	the function of something is what that something  is used to do	nongold
94	something's function can be used to describe; identify that something	nongold
95	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	nongold
96	some lenses are made of glass	nongold
97	examining sometimes requires measuring	nongold
98	refractions of light can be used to help a person see	nongold
99	a bird is a kind of living thing	nongold
