Question	Which tool would be best to use for counting the number of legs on an ant?	question
Answer	hand lens	answer
0	an ant is a kind of insect	gold
1	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
2	an insect has six legs	gold
3	legs are usually a part of an animal	gold
4	counting something usually requires seeing that something	gold
5	an insect is a kind of animal	gold
6	a hand is a kind of object	nongold
7	a magnifying glass is a kind of tool for observing small things	gold
8	instrument means tool	nongold
9	how many means what number	nongold
10	magnifying glass is used to see  small things by making objects appear bigger	gold
11	one is a kind of number	nongold
12	limbs are part of an animal	nongold
13	amount is similar to number	nongold
14	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
15	a tool is a kind of object	nongold
16	a hand is a part of the body	nongold
17	an animal is a kind of living thing	gold
18	a living thing is a kind of object	gold
19	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
20	an insect usually has a small size	gold
21	four is a kind of number	nongold
22	an instrument is a piece of equipment	nongold
23	an insect has three body parts	nongold
24	lenses are a kind of object	nongold
25	optical tools are used for observing materials up close; in greater detail	nongold
26	a mammal is a kind of animal	nongold
27	an organism is a living thing	nongold
28	an animal is a kind of organism	nongold
29	an insect is a kind of prey	nongold
30	lowest means least in value; amount; number	nongold
31	the number of parts of something is a property of that something	nongold
32	an part of an object is smaller than the entire object	gold
33	length is a measure of distance from one end of an object to the other end of that object	nongold
34	fewer means lower; less in number	nongold
35	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	nongold
36	many means high in number	nongold
37	a surface is a part of an object	nongold
38	length is a part of size	nongold
39	a landform is a kind of object	nongold
40	motion; movement means moving; to move	nongold
41	a surface is a part of a material	nongold
42	a microscope is a kind of tool for observing small things	nongold
43	the body is a part of an organism	nongold
44	a predator is a kind of animal	nongold
45	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
46	device means tool	nongold
47	an animal is a member of an animal species	nongold
48	greatest means largest; highest; most amount of something	nongold
49	predators eat prey	nongold
50	prey  is a kind of animal	nongold
51	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
52	the number of body parts of an organism is an inherited characteristic	nongold
53	if an object is made of a material then that object has the properties of that material	nongold
54	eyes are usually part of an animal for seeing	nongold
55	instrument means device	nongold
56	killing a living thing decreases the number; population size of that living thing	nongold
57	An insect is a pollinating animal	nongold
58	eyes are used for seeing by animals by sensing light	nongold
59	quantity means amount	nongold
60	to be used for something means to be required by that something	nongold
61	locomotion means movement	nongold
62	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
63	higher means greater; above in value; amount; number	nongold
64	eyes are a part of a human for seeing	nongold
65	a lens is a part of a telescope	nongold
66	an eyeglass lens is a kind of object	nongold
67	to serve as means to be used as	nongold
68	an amphibian is a kind of animal	nongold
69	binoculars are a kind of instrument for observing distant objects	nongold
70	image means visual depiction of an object	nongold
71	meters;centimeters;kilometers are used to describe distance; describe length	nongold
72	a human is a kind of animal	nongold
73	An example of observing things is taking a picture	nongold
74	a human is a kind of mammal	nongold
75	being  on something; placed in something; placed over something means touching  that something	nongold
76	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
77	measuring sometimes requires  recording; learning an amount	nongold
78	can be means able to be	nongold
79	determining often requires measuring; observing	nongold
80	a reptile is a kind of animal	nongold
81	viewing means observing light	nongold
82	a camera is a kind of tool for recording images	nongold
83	An example of a custom-made product is an artificial leg	nongold
84	a human hand is large enough to be visible	nongold
85	binoculars are used for observing distant objects	nongold
86	answering questions requires information	nongold
87	a type is synonymous with a kind	nongold
88	a device is a kind of object	nongold
89	level is similar to amount; quantity	nongold
90	killing means changing a living thing from alive to dead by harming	nongold
91	a machine is a kind of object	nongold
92	walking is a kind of motion	nongold
93	population is a measure of the number of a species in an environment	nongold
94	material means substance	nongold
95	prey is a kind of food for predators	nongold
96	seconds are used to measure time	nongold
97	a bird is a kind of living thing	nongold
98	a machine is a kind of  device	nongold
99	length is a property of the shape of an object	nongold
