Question	Photosynthesis is the process that converts carbon dioxide and water into	question
Answer	sugar and oxygen.	answer
0	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
1	sugar is made of carbon, hydrogen, oxygen	nongold
2	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
3	photosynthesis is a source of oxygen	nongold
4	photosynthesis is a kind of chemical  process	gold
5	carbohydrates are made of sugars	gold
6	water is made of hydrogen and oxygen	nongold
7	sugar is a kind of food	nongold
8	a producer is a source of sugar; food energy in an ecosystem	nongold
9	plants are a source of oxygen through photosynthesis	nongold
10	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
11	sugar is a kind of  simple carbohydrate	nongold
12	sugar is a kind of pure substance	nongold
13	photosynthesizing means performing photosynthesis	nongold
14	the photosynthetic life performs photosynthesis	nongold
15	a  plant requires sunlight for photosynthesis	nongold
16	sugar dissolves in water when they are combined	nongold
17	In the solution sugar water , the solute is sugar	nongold
18	conversion is a kind of process	nongold
19	converting is similar to producing	nongold
20	an organism breaking down sugar is a source of carbon dioxide; water	nongold
21	green plants are a kind of producer	nongold
22	photosynthesis stores; captures energy	nongold
23	photosynthesis is a kind of chemical reaction	nongold
24	sugar is a kind of solid	nongold
25	a producer is a kind of living thing	nongold
26	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
27	synthesize means to make	nongold
28	products are formed; are produced; are created	nongold
29	sugary means high in sugar	nongold
30	a leaf performs photosynthesis; gas exchange	nongold
31	forming is similar to converting	nongold
32	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
33	In the food chain process a  green plant has the role of  producer	nongold
34	producing is a kind of process	nongold
35	a leaf absorbs sunlight to perform photosynthesis	nongold
36	to be formed by is similar to being produced by	nongold
37	sunlight means solar energy	nongold
38	emit means produce	nongold
39	food contains carbohydrates	nongold
40	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
41	plant cells can perform photosynthesis	nongold
42	a producer produces its own food	nongold
43	if something is a raw material in a process then that something is required for that process	nongold
44	water is a kind of compound	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	saturation of oxygen means oxidized	nongold
47	decomposition is a stage in the carbon cycle process	nongold
48	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
49	sunlight is a kind of solar energy	nongold
50	synthesis means to make	nongold
51	both means two	nongold
52	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
53	a carbohydrate is a kind of compound	nongold
54	water is a kind of substance	nongold
55	a plant requires photosynthesis to grow; survive	nongold
56	sunlight produces heat	nongold
57	evaporation is a kind of process	nongold
58	if something causes a process then that something is required for that process	nongold
59	to convert means to change	nongold
60	producer is a kind of role in the food chain process; in an ecosystem	nongold
61	a part of a process means a stage in a process	nongold
62	an organism breaks down sugar to release energy	nongold
63	make means produce	nongold
64	In the photosynthesis process oxygen has the role of  waste product	nongold
65	all elements are a kind of pure substance	nongold
66	a food contains nutrients for living things	nongold
67	water contains dissolved oxygen	nongold
68	if something transfers something else then that something is a source of something else	nongold
69	In the solution sugar water , the solvent is water	nongold
70	to be made of something means to be formed of that something	nongold
71	decomposition is a kind of process	nongold
72	to decompose means to separate	nongold
73	to add means to combine	nongold
74	generate means produce	nongold
75	sweet is a kind of flavor	nongold
76	table sugar is a kind of sugar	nongold
77	to transform means to convert	nongold
78	sugars are transported from the leaves to the roots of a plant	nongold
79	food is a kind of substance	nongold
80	carbohydrates are made of glucose molecules bonding together	nongold
81	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
82	made up of means contains; made of	nongold
83	carbon is a kind of element	nongold
84	if something is a raw material then that something comes directly from a source	nongold
85	a process is a kind of event	nongold
86	pasteurization is a kind of process	nongold
87	if something is dissolved , then that something is the solute	nongold
88	combining; mixing two substances chemically causes chemical reactions	nongold
89	oxygen  is a kind of element	nongold
90	if something is required for a process then that something positively impacts that process	nongold
91	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
92	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
93	a step in a process means a stage in a process	nongold
94	sugar causes food to taste sweet	nongold
95	a decomposer is a kind of living thing	nongold
96	solar energy is a kind of heat energy	nongold
97	if something generates energy for something else then that something powers that something else	nongold
98	a plant is a kind of living thing	nongold
99	organisms are made of carbon	nongold
