Question	When liquid water freezes, it forms ice. What is the physical state of an ice cube?	question
Answer	solid	answer
0	an ice cube is a kind of solid	nongold
1	freezing means cold temperatures	nongold
2	ice cube is made of ice	gold
3	ice is a kind of solid	nongold
4	freezing causes a solid to form	nongold
5	a cube is a kind of object	nongold
6	frozen means solid	nongold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
8	an ice cube is a kind of object	nongold
9	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
10	physical state means state of matter	gold
11	phase means state	nongold
12	state of matter means physical state	nongold
13	freezing is a kind of phase change	nongold
14	solid is a kind of state of matter	gold
15	state means form	nongold
16	ice is cold in temperature	nongold
17	liquid is a kind of state of matter	nongold
18	water is a kind of liquid at room temperature	nongold
19	ice is colder than water in temperature	nongold
20	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
21	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
22	liquid water cooling causes that liquid water to freeze	nongold
23	temperature is a measure of heat energy	nongold
24	snow is a kind of ice	nongold
25	a solid is a kind of substance	nongold
26	water is a kind of matter	gold
27	ice is a kind of object	nongold
28	a phase change is a kind of physical change	nongold
29	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
30	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
31	water is a kind of substance	nongold
32	melting is a kind of phase change	nongold
33	ice crystals means  ice	nongold
34	state of matter at room temperature is a kind of physical property	nongold
35	form means kind	nongold
36	a liquid is a kind of substance	nongold
37	state of matter is a kind of physical property	nongold
38	ice is a kind of water phase	nongold
39	to be made of something means to be formed of that something	nongold
40	particles in objects are a kind of matter	nongold
41	cold means low in temperature	nongold
42	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
43	when water freezes , that water expands	nongold
44	cooling means temperature decreases	nongold
45	material means substance	nongold
46	a container contains objects; material; substances	nongold
47	substances are made of matter	nongold
48	gas is a kind of state of matter	nongold
49	a particle is a kind of object	nongold
50	to make means to form	nongold
51	cycles of freezing and thawing water cause ice wedging	nongold
52	temperature changing can cause phase changes	nongold
53	heat means heat energy	nongold
54	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
55	answering questions requires information	nongold
56	frost is a kind of solid water	nongold
57	something in a cold place becomes cold	nongold
58	water is a kind of object	nongold
59	ice is a kind of food	nongold
60	if something undergoes a physical change then the physical properties of that something will change	nongold
61	a container is a kind of object	nongold
62	heating means adding heat	nongold
63	to change into means to form	gold
64	colder; cooler means lower in temperature	nongold
65	evaporating is a kind of phase change	nongold
66	matter; materials; substances are made of atoms; particles	nongold
67	heat energy can change the state of matter	nongold
68	objects are made of materials; substances; matter	nongold
69	a state is a kind of place	nongold
70	composed of means made of	nongold
71	to lower means to decrease	nongold
72	become cold means get cold	nongold
73	forming something is a kind of change	nongold
74	cool means cold	nongold
75	icy means made of ice	nongold
76	ice wedging is a kind of mechanical weathering	nongold
77	formation of a state of matter is a kind of process	nongold
78	heat means temperature increases	nongold
79	water is a kind of polar substance	nongold
80	a living thing is a kind of object	nongold
81	snow is cold	nongold
82	a component means a part of	nongold
83	to add means to increase	nongold
84	a component of something means a part of that something	nongold
85	melting is when solids are heated above their melting point	nongold
86	to form means to create	nongold
87	particles in a solid are closer together than particles in a liquid	nongold
88	moisture means liquid; liquid water	nongold
89	water expanding when it freezes is a physical property of water	nongold
90	condition means the state of the property	nongold
91	an event is a kind of action	nongold
92	cooler means colder	nongold
93	cold is a kind of weather	nongold
94	melting is a kind of process	nongold
95	particles in a liquid flows past each other	nongold
96	ice cream is a kind of solid	nongold
97	variable means able to change	nongold
98	temperature is a kind of condition	nongold
99	to turn means to change	nongold
