Question	The organisms that convert solar energy and raw materials into food are	question
Answer	producers.	answer
0	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
1	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
2	a producer is a kind of living thing	gold
3	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	gold
4	producer is a kind of role in the food chain process; in an ecosystem	nongold
5	sunlight is a kind of solar energy	nongold
6	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
7	a producer produces its own food	nongold
8	solar energy is a kind of energy	nongold
9	sunlight means solar energy	nongold
10	solar energy is a kind of heat energy	nongold
11	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
12	converting is similar to producing	nongold
13	a consumer is a kind of organism	nongold
14	solar energy is a renewable; inexhaustible resource	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	solar energy is an inexhaustible resource	nongold
17	producing is a kind of process	nongold
18	an animal is a kind of consumer	nongold
19	a producer is a source of energy for consumers	nongold
20	In the food chain process a  green plant has the role of  producer	nongold
21	solar power means solar energy	nongold
22	providing something means making;delivering something	nongold
23	if something is a raw material in a process then that something is required for that process	nongold
24	the sun is the source of solar energy called sunlight	nongold
25	an animal is a kind of organism	nongold
26	make means produce	nongold
27	an organism is a living thing	gold
28	producers pass materials they use through the food chain	nongold
29	to produce means to provide	nongold
30	sunlight produces heat	nongold
31	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
32	green plants are a kind of producer	nongold
33	conversion is a kind of process	nongold
34	a food contains nutrients for living things	nongold
35	a consumer can not produce its own food	nongold
36	emit means produce	nongold
37	energy conversion is similar to energy transformation	nongold
38	an animal is a kind of living thing	nongold
39	food is a source of energy for animals; plants	nongold
40	food is a kind of resource	nongold
41	solar energy is a kind of light	nongold
42	to be used for something means to be required by that something	nongold
43	products are formed; are produced; are created	nongold
44	a plant is a kind of organism	nongold
45	a plant; living thing requires food for survival	nongold
46	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
47	an animal needs to eat food for nutrients	nongold
48	if something causes a process then that something is required for that process	nongold
49	heat means heat energy	nongold
50	heat is a kind of energy	nongold
51	if something is a raw material then that something comes directly from a source	nongold
52	resources sometimes are used for energy	nongold
53	consumers eat other organisms	nongold
54	to eat means to consume food	nongold
55	producing is similar to causing	nongold
56	organisms mean life	nongold
57	solar radiation means solar energy	nongold
58	production is similar to making	nongold
59	a producer is a source of sugar; food energy in an ecosystem	nongold
60	a product is a kind of object	nongold
61	to turn means to convert	nongold
62	to provide something means to be the source of that something	nongold
63	a  plant requires sunlight for photosynthesis	nongold
64	if something is given off of something , then something is the product of something	nongold
65	solar cells convert solar energy into electrical energy	nongold
66	to contribute is similar to produce	nongold
67	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
68	a role in the ecosystem is a role in the food chain process	nongold
69	heat energy is synonymous with thermal energy	nongold
70	the sun is a source of light; light energy called sunlight	nongold
71	organisms are a part of an environment	nongold
72	to be formed by is similar to being produced by	nongold
73	food is a kind of object	nongold
74	an animal; living thing requires nutrients for survival	nongold
75	temperature is a measure of heat energy	nongold
76	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
77	producing is a kind of function	nongold
78	generate means produce	nongold
79	food is a kind of substance	nongold
80	a material is a kind of resource	nongold
81	food is a kind of chemical energy	nongold
82	the sun is a source of radiation; heat called sunlight	nongold
83	the sun is the source of energy for life on Earth	nongold
84	to convert means to change	nongold
85	an energy source is a kind of resource	nongold
86	a part of a process means a stage in a process	nongold
87	In the food chain process some types of plankton have the role of producer	nongold
88	processes sometimes produce waste products	nongold
89	to produce means to create	nongold
90	organisms are made of carbon	nongold
91	living things eat their food source	nongold
92	an object; material; substance comes from that object or material's source	nongold
93	convert is similar to transfer	nongold
94	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
95	if something transfers something else then that something is a source of something else	nongold
96	sunlight is a kind of light	nongold
97	to depend on; to rely on; to need means to require	nongold
98	food is what an animal eats	nongold
99	development is similar to production	nongold
