Question	Which adaptive feature most helps a baby jaguar survive the first few weeks of life?	question
Answer	being born during spring months	answer
0	an adaptation is an adaptive feature	gold
1	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
2	feature is synonymous with characteristic	nongold
3	spring is a kind of season	nongold
4	helping something has a  positive impact on that something	nongold
5	spring follows winter	nongold
6	spring has warm temperatures; weather	gold
7	an adaptation is a kind of characteristic	nongold
8	month is a kind of period of time	nongold
9	summer follows spring	nongold
10	an animal; living thing requires nutrients for survival	nongold
11	a jaguar is a kind of big cat	gold
12	spring increases the amount of available food in an environment	gold
13	helping means to assist in a change	nongold
14	life means living things	nongold
15	a structure is a kind of feature	nongold
16	to help; to benefit means to be of use	nongold
17	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	gold
18	an animal is a kind of living thing	nongold
19	to be used  for something means to help to do that something	nongold
20	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
21	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
22	if a living thing requires something then that something has a positive impact on that living thing	nongold
23	adaptation is when an organism develops a trait over time for survival	nongold
24	adaptations are used for survival	nongold
25	a baby is a kind of young animal	nongold
26	an animal is a kind of organism	nongold
27	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
28	a land feature is a kind of physical characteristic	nongold
29	a spring is a kind of object	nongold
30	survival means to survive	nongold
31	a plant; living thing requires food for survival	nongold
32	a living thing is a kind of object	nongold
33	survive means live	nongold
34	survive means live	nongold
35	baby is similar to immature	nongold
36	mammals birth; give birth to live young	nongold
37	Autumn is a kind of season	nongold
38	summer is a kind of season	nongold
39	an organism is a living thing	nongold
40	every summer  is a kind of period of time	nongold
41	a child is a kind of young human	nongold
42	requiring is similar to needing help	nongold
43	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	gold
44	a human is a kind of animal	nongold
45	trait is synonymous with characteristic	nongold
46	to help means to aid	nongold
47	newborn means just born	nongold
48	winter is a kind of season	nongold
49	different seasons occur during different times of the year	nongold
50	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
51	months are a kind of unit for measuring time	nongold
52	adapting is when a living thing responds to a change in an environment	nongold
53	to enable is to help	nongold
54	high is similar to increase	nongold
55	fall follows summer	nongold
56	answering questions requires information	nongold
57	a property of something is a feature of that something	nongold
58	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
59	an inherited characteristic is a kind of characteristic	nongold
60	fall is a kind of season	nongold
61	children; young is synonymous with offspring	nongold
62	increase means more	nongold
63	an adaptation is a kind of change	nongold
64	June is a kind of month	nongold
65	newborn is similar to baby	nongold
66	to depend on; to rely on; to need means to require	nongold
67	death means to die	nongold
68	fall means autumn	nongold
69	baby animals become adult animals	nongold
70	a human is a kind of mammal	nongold
71	winter follows fall	nongold
72	annual means once per year	nongold
73	a baby is the offspring of a parent	nongold
74	a baby is the offspring of a parent	nongold
75	winter is the opposite of summer	nongold
76	a body of water is a kind of land feature	nongold
77	the increase of something required by an organism has a positive impact on that organism's survival	nongold
78	characteristic means property	nongold
79	an increase is the opposite of a decrease	nongold
80	a learned characteristic is a kind of acquired characteristic	nongold
81	if members of a species are born; survive then the population of that species increases	nongold
82	best means most positive	nongold
83	monthly means once per month	nongold
84	help means advantage	nongold
85	nonliving; non-living; die is the opposite of living; alive; live	nongold
86	a hatchling is a kind of newborn; baby; young bird	nongold
87	August is a kind of month	nongold
88	a mammal is a kind of animal	nongold
89	winter has cold temperatures;weather	nongold
90	dying is the opposite of living; surviving	nongold
91	to lower means to decrease	nongold
92	young means immature	nongold
93	changes in an environment cause animals; plants to adapt to survive	nongold
94	ability is a kind of characteristic	nongold
95	good means positive	nongold
96	landform means surface feature; physical feature; land feature	nongold
97	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
98	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
99	trait means property	nongold
