Question	What do ice, a rock, and a piece of aluminum have in common?	question
Answer	They are all solids.	answer
0	aluminum is a kind of metal	gold
1	ice is a kind of solid	gold
2	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
3	aluminum is a kind of matter	nongold
4	ice is a kind of object	nongold
5	in common is similar to the same	nongold
6	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
7	a metal is usually a solid at room temperature	gold
8	aluminum is a kind of element	nongold
9	rock is a kind of material	nongold
10	a piece of something is a kind of object	nongold
11	solid is a kind of state of matter	nongold
12	a rock is a kind of object	nongold
13	metal is a kind of material	nongold
14	water is a kind of liquid at room temperature	nongold
15	a solid is a kind of substance	nongold
16	a rock is usually a solid	gold
17	rocks sometimes contain aluminum	nongold
18	objects are made of materials; substances; matter	nongold
19	metal is a kind of substance	nongold
20	liquid is a kind of state of matter	nongold
21	freezing causes a solid to form	nongold
22	a liquid is a kind of substance	nongold
23	all elements are a kind of pure substance	nongold
24	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
25	steel is a kind of metal	nongold
26	if an object is made of a material then that object has the properties of that material	nongold
27	if two objects are similar , then the two objects share properties	nongold
28	water is a kind of matter	nongold
29	material means substance	nongold
30	water is a kind of substance	nongold
31	water is a kind of object	nongold
32	materials are made of matter	nongold
33	a metal is a kind of element	nongold
34	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
35	temperature is a measure of heat energy	nongold
36	an element is a kind of material	nongold
37	frozen means solid	nongold
38	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
39	substances are made of matter	nongold
40	ice is cold in temperature	nongold
41	state of matter is a kind of physical property	nongold
42	heat means heat energy	nongold
43	substances are made of elements	nongold
44	state of matter means physical state	nongold
45	if two things are made from the same objects; material then those two things are similar	nongold
46	plastic is a kind of material made by humans	nongold
47	state of matter at room temperature is a kind of physical property	nongold
48	physical state means state of matter	nongold
49	icy means made of ice	nongold
50	metals are made of metal	nongold
51	melting is when solids are heated above their melting point	nongold
52	a physical property is a kind of property	nongold
53	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
54	an element is a kind of  substance	nongold
55	to be made of something means to be formed of that something	nongold
56	similar means in common	nongold
57	classifying means grouping objects; materials by their properties	nongold
58	heat energy can change the state of matter	nongold
59	freezing is a kind of phase change	nongold
60	ice is colder than water in temperature	nongold
61	different materials usually have different properties	nongold
62	the  property of something is the same for the things of same kind	nongold
63	freezing means cold temperatures	nongold
64	plastic is high in strength	nongold
65	different is the opposite of the same	nongold
66	both means two	nongold
67	if something changes , then that something is not the same	nongold
68	aluminum is recyclable	nongold
69	conductivity is a property of a material; substance	nongold
70	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
71	if two objects are apart from each other then matter is between those two objects	nongold
72	rock means stone	nongold
73	an object is made of its parts	nongold
74	identical is the opposite of different	nongold
75	heating means adding heat	nongold
76	if something is insoluble in something , then they will remain separated	nongold
77	ice is a kind of food	nongold
78	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
79	melting point means temperature at which a solid melts; above which a solid melts	nongold
80	composed of means made of	nongold
81	conductivity is a kind of physical property	nongold
82	if a substance is made of one element , then the substance is called an element	nongold
83	snow is a kind of ice	nongold
84	a piece is a part of a whole	nongold
85	rocks often contain large amounts of metal	nongold
86	to be made of means to consist of	nongold
87	all the other means the rest of	nongold
88	to add means to increase	nongold
89	if something requires something else then that something else may be common in that something	nongold
90	a living thing is a kind of object	nongold
91	apart is the opposite of together	nongold
92	state means form	nongold
93	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
94	cool means cold	nongold
95	a phase change is a kind of physical change	nongold
96	same means identical; equal in value; amount; number; quantity	nongold
97	made up of means contains; made of	nongold
98	a chemical property is the opposite of a physical property	nongold
99	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
