Question	What is made when sugar is dissolved in water?	question
Answer	a solution	answer
0	sugar water is a kind of solution	nongold
1	a solution is formed by one substance being dissolved in another substance	nongold
2	a solution is made of one substance dissolved in another substance	gold
3	In the solution sugar water , the solvent is water	nongold
4	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
5	In the solution sugar water , the solute is sugar	nongold
6	a solvent is a part of a solution	nongold
7	solution is a kind of liquid	nongold
8	sugar is a kind of pure substance	gold
9	water is a kind of substance	gold
10	a solution is a kind of mixture	nongold
11	if something is used to dissolve substances , then that something is the solvent	nongold
12	sugar is a kind of solid	nongold
13	sugar dissolves in water when they are combined	gold
14	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
15	glucose is a kind of substance	nongold
16	sugar is a kind of food	nongold
17	a liquid is a kind of substance	nongold
18	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
19	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
20	water is a kind of liquid at room temperature	nongold
21	a solute can be dissolved in a solvent when they are combined	nongold
22	a mixture is a kind of substance	nongold
23	if something is dissolved , then that something is the solute	nongold
24	ethanol is a kind of substance	nongold
25	carbohydrates are made of sugars	nongold
26	water is a kind of compound	nongold
27	juice is a kind of solution	nongold
28	sugar is made of carbon, hydrogen, oxygen	nongold
29	a  solute is a part of a solution	nongold
30	moisture means liquid; liquid water	nongold
31	make means produce	nongold
32	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
33	a  solution  is a kind of object	nongold
34	In the solution salt water , the solvent is water	nongold
35	table sugar is a kind of sugar	nongold
36	food is a kind of substance	nongold
37	In the solution salt water , the solute is salt	nongold
38	temperature is a measure of heat energy	nongold
39	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
40	provide is similar to give; make	nongold
41	An example of a solution is vinegar mixed with water	nongold
42	sugar is made of sugar crystals	nongold
43	a sugar cube is made of sugar	nongold
44	an mixture is formed by two or more substances combined together physically	nongold
45	salt water is a kind of solution	nongold
46	chocolate is a kind of solid usually	nongold
47	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
48	to cause means to make	nongold
49	substances are made of molecules	nongold
50	heat means heat energy	nongold
51	sugary means high in sugar	nongold
52	salt is soluble in water	nongold
53	an organism breaking down sugar is a source of carbon dioxide; water	nongold
54	combining; mixing two substances chemically causes chemical reactions	nongold
55	tea is a kind of solution of water and tea mix	nongold
56	a solid is a kind of substance	nongold
57	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
58	water is a kind of matter	nongold
59	answering questions requires information	nongold
60	when sugar dissolves in water , less sugar is visible	nongold
61	gas is a kind of substance	nongold
62	a beverage is a kind of liquid	nongold
63	substances have chemical properties	nongold
64	a beverage is a kind of food	nongold
65	chocolate  is a kind of food	nongold
66	dissolving a substance in water causes the water to taste like that substance	nongold
67	a carbonated beverage contains dissolved carbon dioxide	nongold
68	matter; materials; substances are made of atoms; particles	nongold
69	syrup is a kind of liquid	nongold
70	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
71	to be formed by is similar to being produced by	nongold
72	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
73	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
74	if something is made of something; a material then that something contains that something; that material	nongold
75	a container contains objects; material; substances	nongold
76	substances are made of matter	nongold
77	sugar is a kind of  simple carbohydrate	nongold
78	sodium chloride dissolves in water when they are combined	nongold
79	a compound is a kind of material	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	a compound is a kind of substance	nongold
82	baking soda is a kind of solid	nongold
83	give off is similar to make	nongold
84	a chemical compound is a kind of compound	nongold
85	soda water is a kind of carbonated beverage	nongold
86	material means substance	nongold
87	if something absorbs something else then that something will contain that something else	nongold
88	compound is a kind of chemical	nongold
89	salt is a kind of pure substance	nongold
90	salt is a kind of solid	nongold
91	deplete is similar to decrease	nongold
92	a pure substance is made of only one kind of atom; molecule	nongold
93	producing is similar to releasing	nongold
94	soda is a kind of carbonated beverage	nongold
95	made of is similar to contains	nongold
96	made up of means contains; made of	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	lemonade is made of water, lemon juice, and sugar	nongold
99	liquid is a kind of state of matter	nongold
