Question	Which is a nonrenewable resource?	question
Answer	oil	answer
0	oil is a nonrenewable resource	gold
1	fossil fuels are a nonrenewable resource	nongold
2	natural gas is a nonrenewable resource	nongold
3	renewable is the opposite of nonrenewable	nongold
4	oil is a kind of fossil fuel	nongold
5	a fossil fuel is a kind of natural resource	nongold
6	fossil fuels are a kind of energy resource	nongold
7	an inexhaustible resource is a kind of renewable resource	nongold
8	a nonrenewable resource is limited in supply	nongold
9	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	gold
10	oil is a kind of energy resource	nongold
11	natural gas is a kind of fossil fuel	nongold
12	a renewable resource is a kind of natural resource	nongold
13	a renewable resource is a kind of naturally replaced resource	nongold
14	petroleum is a kind of fossil fuel	nongold
15	a biofuel is a kind of alternative energy resource	nongold
16	oil is a kind of substance; matter	nongold
17	biogas means biofuel	nongold
18	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
19	fossil fuels have high potential energy	nongold
20	alternative fuel is usually a renewable resource	nongold
21	nonrenewable resources will eventually be depleted	nongold
22	coal is a nonrenewable resource	nongold
23	solar energy is a renewable; inexhaustible resource	nongold
24	if something is a raw material in a process then that something is required for that process	nongold
25	producing renewable electric energy requires renewable resources	nongold
26	coal is a kind of fossil fuel	nongold
27	to be used for something means to be required by that something	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	biofuel is a kind of fuel	nongold
30	fossil fuel contains chemical energy	nongold
31	renewable resources are replenished more quickly than they are used	nongold
32	if something is a raw material then that something comes directly from a source	nongold
33	metal is a nonrenewable resource	nongold
34	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
35	wind is a renewable; inexhaustible resource	nongold
36	oil is a source of energy	nongold
37	if something is powered by something else then that something requires a source of that something else	nongold
38	solar power means solar energy	nongold
39	answering questions requires information	nongold
40	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
41	renewable resources are often available for many years	nongold
42	to conserve means to not change	nongold
43	plastic is a nonrenewable resource	nongold
44	hydropower is a kind of alternative energy resource	nongold
45	to be formed by is similar to being produced by	nongold
46	an object; material; substance comes from that object or material's source	nongold
47	emit means produce	nongold
48	An example of conservation is not using fossil fuel	nongold
49	an energy source is a kind of resource	nongold
50	aluminum is a nonrenewable resource	nongold
51	biofuel is used to produce electricity by burning	nongold
52	make means produce	nongold
53	a renewable resource can be replaced	nongold
54	if something causes a process then that something is required for that process	nongold
55	a producer is a kind of living thing	nongold
56	a supply of something is a source of that something	nongold
57	renewable resources can be used over again	nongold
58	vegetable oil is a renewable resource	nongold
59	to produce means to provide	nongold
60	minerals are a nonrenewable resource	nongold
61	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
62	to depend on; to rely on; to need means to require	nongold
63	affected means changed	nongold
64	resources sometimes are used for energy	nongold
65	electricity means electrical energy	nongold
66	can be means able to be	nongold
67	a renewable resource can be renewed	nongold
68	greatest means largest; highest; most amount of something	nongold
69	provide is similar to give; make	nongold
70	plants are a kind of resource	nongold
71	to provide something means to be the source of that something	nongold
72	providing something means making;delivering something	nongold
73	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
74	converting is similar to producing	nongold
75	fuel supply is a kind of resource	nongold
76	vegetable oil is a kind of fuel	nongold
77	plants are a source of biofuel	nongold
78	the supply of an inexhaustible resource does not change over a long period of time	nongold
79	to add means to increase	nongold
80	if something transfers something else then that something is a source of something else	nongold
81	a producer is a source of energy for consumers	nongold
82	high is similar to increase	nongold
83	water is a renewable resource	nongold
84	oil is a kind of liquid	nongold
85	oil is a kind of liquid	nongold
86	making something requires resources	nongold
87	where something  comes from is a source of that something	nongold
88	a source of something supplies that something	nongold
89	a type is synonymous with a kind	nongold
90	producing is a kind of process	nongold
91	to create means to make	nongold
92	if something requires something else then that something requires a source of that something else	nongold
93	temperature is a measure of heat energy	nongold
94	high-quality means positive	nongold
95	products are formed; are produced; are created	nongold
96	person is synonymous with human	nongold
97	to produce means to create	nongold
98	form means kind	nongold
99	no longer means used to be	nongold
