Question	A student completes several tasks while making breakfast. During which task does the student make a solution?	question
Answer	adding sugar to tea	answer
0	tea is a kind of beverage	nongold
1	tea is a kind of solution of water and tea mix	gold
2	sugar is a kind of food	nongold
3	sugar is a kind of pure substance	gold
4	breakfast is a kind of food	nongold
5	solution is a kind of liquid	nongold
6	sugary means high in sugar	nongold
7	table sugar is a kind of sugar	nongold
8	In the solution sugar water , the solute is sugar	nongold
9	lunch is a kind of meal	nongold
10	a beverage is a kind of food	nongold
11	a dessert is a kind of food	nongold
12	a student is a kind of human	nongold
13	sugar water is a kind of solution	nongold
14	a beverage is a kind of liquid	nongold
15	a solution is made of one substance dissolved in another substance	nongold
16	sugar causes food to taste sweet	nongold
17	sugar is a kind of solid	nongold
18	to add means to increase	nongold
19	a human is a kind of animal	nongold
20	a solution is formed by one substance being dissolved in another substance	gold
21	a liquid is a kind of substance	nongold
22	solution is similar to a positive impact	nongold
23	tea is usually hot; warm	nongold
24	food is a kind of substance	nongold
25	sugar is a kind of  simple carbohydrate	nongold
26	sugar dissolves in water when they are combined	gold
27	humans drink beverages	nongold
28	heating means adding heat	nongold
29	person is synonymous with human	nongold
30	a  solution  is a kind of object	nongold
31	In the solution sugar water , the solvent is water	nongold
32	chocolate  is a kind of food	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	a  solute is a part of a solution	nongold
35	sweet is a kind of flavor	nongold
36	make means produce	nongold
37	carbohydrates are made of sugars	nongold
38	a producer is a source of sugar; food energy in an ecosystem	nongold
39	a person is a kind of animal	nongold
40	cooking food requires adding heat energy to the food	nongold
41	an animal is a kind of living thing	nongold
42	a sugar cube is made of sugar	nongold
43	baking is when a human makes food by adding heat	nongold
44	an animal is a kind of organism	nongold
45	adding heat means increasing temperature	nongold
46	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
47	the day time is part of one day	nongold
48	helping means something can be done; completed more easily; better	nongold
49	to eat means to consume food	nongold
50	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
51	food is what an animal eats	nongold
52	a problem has a negative impact on a thing	nongold
53	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
54	heat means heat energy	nongold
55	a carbonated beverage contains dissolved carbon dioxide	nongold
56	the afternoon is  a part of the day	nongold
57	when an animal eats or drinks something , that animal tastes that something	nongold
58	a living thing is a kind of object	nongold
59	hot means high in heat energy; temperature	nongold
60	to depend on; to rely on; to need means to require	nongold
61	if something performs a task then that task is that something's function	nongold
62	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
63	sugar is made of carbon, hydrogen, oxygen	nongold
64	water is a kind of liquid at room temperature	nongold
65	food is a kind of object	nongold
66	if a solution is formed , then the  components of the solution are similar throughout	nongold
67	an organism is a living thing	nongold
68	milk is a kind of liquid at room temperature	nongold
69	desserts usually have less  nutrients than other foods	nongold
70	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
71	temperature is a measure of heat energy	nongold
72	material means substance	nongold
73	water is a kind of substance	nongold
74	to input means to add	nongold
75	providing something means making;delivering something	nongold
76	juice is a kind of solution	nongold
77	afternoon is a part of day time	nongold
78	fruit juice is usually high in sugar	nongold
79	if heat is added to a substance then that substance absorbs that heat	nongold
80	helping something has a  positive impact on that something	nongold
81	soda is a kind of carbonated beverage	nongold
82	adding heat to something kills viruses; bacteria in that something	nongold
83	a solution is a kind of mixture	gold
84	milk is a kind of food	nongold
85	milk is a kind of food	nongold
86	a utensil is used for eating	nongold
87	high is similar to increase	nongold
88	an object; material; substance comes from that object or material's source	nongold
89	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
90	adding is a kind of activity	nongold
91	warm; becoming warm means heat is added	nongold
92	all elements are a kind of pure substance	nongold
93	incomplete is the opposite of complete	nongold
94	making something requires resources	nongold
95	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
96	to cause means to make	nongold
97	affected means changed	nongold
98	moisture means liquid; liquid water	nongold
99	an organism breaking down sugar is a source of carbon dioxide; water	nongold
