Question	Some plants, like redwood trees, may live for thousands of years. Some plants, like the black-eyed Susan wildflower, may only live a few weeks. What would these plants most likely have in common in order to survive?	question
Answer	a successful way to reproduce	answer
0	a black-eyed Susan wildflower is a kind of flower	gold
1	a plant; living thing requires food for survival	nongold
2	a wildflower is a kind of flower	nongold
3	a redwood tree is a kind of tree	gold
4	an animal; living thing requires nutrients for survival	nongold
5	a plant is a kind of living thing	gold
6	a plant is a kind of organism	nongold
7	a tree is a kind of living thing	nongold
8	a tree is a kind of plant	gold
9	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
10	an animal is a kind of living thing	nongold
11	if something requires something else then that something else may be common in that something	nongold
12	reproduction increases the number; population of a living thing	nongold
13	plant reproduction; seed production requires pollination	nongold
14	life means living things	nongold
15	an animal is a kind of organism	nongold
16	vegetation means plants	nongold
17	survive means live	nongold
18	survive means live	nongold
19	an organism is a living thing	nongold
20	survival means to survive	nongold
21	a flower is a part of a plant for attracting pollinators; producing seeds	gold
22	in common is similar to the same	nongold
23	a flower is a kind of plant	nongold
24	a plant requires photosynthesis to grow; survive	nongold
25	a plant; living thing requires nutrients to grow	nongold
26	reproduction ensures the continuation of a plant or animal species	nongold
27	if a living thing requires something then that something has a positive impact on that living thing	nongold
28	pollination requires pollinators; pollinating animals	nongold
29	living things can all reproduce	gold
30	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
31	for a tree the average life span is 100 years and the maximum life span is 5000 years	nongold
32	to reproduce means to have; to produce offspring	nongold
33	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
34	death means to die	nongold
35	nonliving; non-living; die is the opposite of living; alive; live	nongold
36	reproduction is a kind of process	nongold
37	a living thing is a kind of object	nongold
38	an increase is the opposite of a decrease	nongold
39	often is similar to likely	nongold
40	dying is the opposite of living; surviving	nongold
41	a plant is a member of a plant species	nongold
42	killing means changing a living thing from alive to dead by harming	nongold
43	a plants; living things require water for survival; to grow	nongold
44	pollination is a kind of process for plant reproduction	nongold
45	high is similar to increase	nongold
46	red flower is a dominant trait in snapdragon plant	nongold
47	a leaf performs photosynthesis; gas exchange	nongold
48	similar means in common	nongold
49	to a human a time period of 1000 years or more years is considered very long	nongold
50	green plants are a kind of producer	nongold
51	increase means more	nongold
52	species means a group of like organisms	nongold
53	a plant requires a habitat for survival	nongold
54	to depend on; to rely on; to need means to require	nongold
55	a forest contains  lots of plants; trees	nongold
56	if members of a species are born; survive then the population of that species increases	nongold
57	if a living thing dies then that living thing is dead	nongold
58	to try means to make an effort	nongold
59	a food contains nutrients for living things	nongold
60	continuation of a species means survival of that species	nongold
61	if something has a positive impact on the survival of an organism then that organism is likely going to survive	nongold
62	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
63	eating an animal; a plant means killing that animal; that plant	nongold
64	population increase means more survive	nongold
65	reproduction produces; produce offspring	nongold
66	a flower is a source of nectar	nongold
67	carnivores; omnivores; herbivores are a kind of animal	nongold
68	an animal is a member of an animal species	nongold
69	months are a kind of unit for measuring time	nongold
70	killing means harming something causing death	nongold
71	plants are a part of the environment	nongold
72	years are a kind of unit for measuring time	nongold
73	different organisms reproduce differently	nongold
74	live is similar to stay	nongold
75	red is a kind of color	nongold
76	may happen means having a chance of happening	nongold
77	trait is synonymous with characteristic	nongold
78	herbivores only eat plants	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	how long something takes is a kind of measurement of time	nongold
81	the increase of something required by an organism has a positive impact on that organism's survival	nongold
82	all living things have life cycles	nongold
83	crops are a kind of edible plant for eating	nongold
84	a tree is a kind of matter	nongold
85	to be used for something means to be required by that something	nongold
86	reproduction occurs during adulthood	nongold
87	a  plant requires sunlight for photosynthesis	nongold
88	an event is a kind of action	nongold
89	black is a kind of color	nongold
90	a sunflower is a kind of plant	nongold
91	an animal requires enough nutrients to maintain good health; survive	nongold
92	pollinator means pollinating animal	nongold
93	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
94	adaptation is when an organism develops a trait over time for survival	nongold
95	all living things grow	nongold
96	many means high in number	nongold
97	a human is a kind of animal	nongold
98	reproductive behavior is an inherited characteristic	nongold
99	most means over 50% of something	nongold
