Question	What supplies most of the energy that plants need to make food?	question
Answer	sunlight	answer
0	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
1	the sun is the source of solar energy called sunlight	nongold
2	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
3	a  plant requires sunlight for photosynthesis	gold
4	to provide means to supply	nongold
5	a source of something supplies that something	gold
6	to depend on; to rely on; to need means to require	gold
7	sunlight means solar energy	nongold
8	food is a source of energy for animals; plants	nongold
9	provide is similar to give; make	nongold
10	the sun is a source of light; light energy called sunlight	nongold
11	sunlight is a kind of solar energy	gold
12	the sun is the source of energy for life on Earth	nongold
13	make means produce	nongold
14	sunshine means sunlight	nongold
15	plants are a kind of resource	nongold
16	making something requires resources	nongold
17	a supply of something is a source of that something	nongold
18	most means over 50% of something	nongold
19	to provide something means to be the source of that something	nongold
20	solar energy is a kind of energy	gold
21	a source of something emits; produces; generates; provides that something	nongold
22	resources sometimes are used for energy	nongold
23	green plants are a kind of producer	nongold
24	food is a kind of resource	nongold
25	solar energy is a kind of heat energy	nongold
26	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
27	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
28	sunlight is a kind of light	nongold
29	solar energy is a kind of light	nongold
30	an energy source is a kind of resource	nongold
31	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
32	solar power means solar energy	nongold
33	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
34	a plant; living thing requires food for survival	nongold
35	the sun is a source of radiation; heat called sunlight	nongold
36	if something requires something else then that something requires a source of that something else	nongold
37	solar energy is an inexhaustible resource	nongold
38	a leaf is a part of a  green plant	nongold
39	to cause means to make	nongold
40	nutrients are a source of energy for living things	nongold
41	sunlight produces heat	nongold
42	requiring something means needing that something	nongold
43	vegetation means plants	nongold
44	if something is required then that something must be provided	nongold
45	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
46	heat is a kind of energy	nongold
47	In the food chain process a  green plant has the role of  producer	nongold
48	a food contains nutrients for living things	nongold
49	if something is a raw material in a process then that something is required for that process	nongold
50	a leaf is a kind of plant	nongold
51	largest amount means most	nongold
52	to create means to make	nongold
53	providing something means making;delivering something	nongold
54	a plant is a kind of living thing	nongold
55	living things require respiration to use energy	nongold
56	solar radiation means solar energy	nongold
57	a  plant requires sunlight to  grow	nongold
58	a tree is a kind of plant	nongold
59	a plant requires photosynthesis to grow; survive	nongold
60	needing something means depending on that something	nongold
61	to produce means to provide	nongold
62	solar energy is a renewable; inexhaustible resource	nongold
63	an animal; living thing requires nutrients for survival	nongold
64	a leaf performs photosynthesis; gas exchange	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
67	photosynthesis stores; captures energy	nongold
68	to be used for something means to be required by that something	nongold
69	living things all require energy for survival	nongold
70	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
71	the sunlight occurs during the day	nongold
72	synthesize means to make	nongold
73	a leaf absorbs sunlight to perform photosynthesis	nongold
74	to be in the sun means to be in the sunlight	nongold
75	nutrients are a kind of resource	nongold
76	being in the sun is synonymous with being in the sunlight	nongold
77	resources becoming available has a positive impact on the things that need those resources	nongold
78	a producer is a source of energy for consumers	nongold
79	light means light energy	nongold
80	an animal needs to eat food for nutrients	nongold
81	a leaf is a part of a tree	nongold
82	a stem is often a part of plant	nongold
83	living things eat their food source	nongold
84	a plant is a kind of organism	nongold
85	life means living things	nongold
86	a part of a process means a stage in a process	nongold
87	an organism is a living thing	nongold
88	the sun  is the source of energy for physical cycles on Earth	nongold
89	heat means heat energy	nongold
90	requiring is similar to needing help	nongold
91	a producer produces its own food	nongold
92	trees are a kind of resource	nongold
93	a plant; living thing requires nutrients to grow	nongold
94	a tree requires sunlight to grow	nongold
95	to power means to provide energy for	nongold
96	what something needs is a property of that something	nongold
97	the photosynthetic life performs photosynthesis	nongold
98	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
99	photosynthesis is a kind of chemical  process	nongold
