Question	Which part of a strawberry plant absorbs most of the water needed by the plant?	question
Answer	roots	answer
0	plants absorb nutrients; water; oxygen from soil into themselves through their roots	gold
1	roots are a vehicle for absorbing water and nutrients from soil into the plant	gold
2	to be used for something means to be required by that something	nongold
3	requiring something means needing that something	nongold
4	roots are a part of a plant; tree	gold
5	requiring is similar to needing help	nongold
6	most means over 50% of something	nongold
7	to be required means to be necessary	nongold
8	to depend on; to rely on; to need means to require	nongold
9	a plants; living things require water for survival; to grow	nongold
10	if something transfers energy to something else then that something else absorbs that energy	nongold
11	if something is required then that something must be provided	nongold
12	if something causes a process then that something is required for that process	nongold
13	a plant is a kind of living thing	nongold
14	a component of something means a part of that something	nongold
15	if something is a raw material in a process then that something is required for that process	nongold
16	if something requires something else then that something requires a source of that something else	nongold
17	if a living thing requires something then that something has a positive impact on that living thing	nongold
18	soil contains nutrients for plants	nongold
19	a component means a part of	nongold
20	a structure of something is synonymous with a part of that something	nongold
21	a stem is often a part of plant	nongold
22	absorbing something harmful has a negative impact on a thing	nongold
23	a root is a kind of object	nongold
24	roots anchor plants into the soil	nongold
25	a tree is a kind of plant	nongold
26	if something transfers something else then that something is a source of something else	nongold
27	mostly means being the most	nongold
28	a plant is a kind of organism	nongold
29	plant parts are made of plants	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	water is a part of an environment	nongold
32	vegetation means plants	nongold
33	animals; living things require water for survival	nongold
34	a plant requires soil for survival; to grow	nongold
35	fruit is a part of a plant; tree	nongold
36	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
37	helping something has a  positive impact on that something	nongold
38	a cell absorbs nutrients	nongold
39	a body of water contains water	nongold
40	usually means most of the time	nongold
41	water is a kind of natural resource	nongold
42	water is a kind of natural resource	nongold
43	needing something means depending on that something	nongold
44	seeds are a part of  berries	nongold
45	plants are the source of fruit	nongold
46	a supply of something is a source of that something	nongold
47	if something absorbs something else then that something will contain that something else	nongold
48	a plant requires water to grow	nongold
49	what something needs is a property of that something	nongold
50	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
51	absorbing energy causes objects; materials; substances to heat	nongold
52	a plant; living thing requires nutrients to grow	nongold
53	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
54	increase means more	nongold
55	a tree is a kind of living thing	nongold
56	green plants are a kind of producer	nongold
57	a stem is used to store water by some plants	nongold
58	water is a kind of substance	nongold
59	water is a kind of liquid at room temperature	nongold
60	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
61	a source of something supplies that something	nongold
62	a part of a living thing is a natural structure	nongold
63	absorption is a kind of process	nongold
64	a body of water is a source of water	nongold
65	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
66	a leaf is a part of a  green plant	nongold
67	plants are a part of the environment	nongold
68	absorption is a kind of event	nongold
69	if heat is added to a substance then that substance absorbs that heat	nongold
70	if something is required for a process then that something positively impacts that process	nongold
71	using a raw material sometimes requires absorbing that raw material	nongold
72	a plant requires photosynthesis to grow; survive	nongold
73	an organism is a living thing	nongold
74	if something required by something else is in a place then that something else may be in that place	nongold
75	to provide something means to be the source of that something	nongold
76	a part of a process means a stage in a process	nongold
77	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
78	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
79	receiving sunlight  is synonymous with absorbing sunlight	nongold
80	a berry is a kind of fruit	nongold
81	a leaf is a part of a tree	nongold
82	corn is a kind of plant	nongold
83	evaporation causes amount of water to decrease	nongold
84	to add means to increase	nongold
85	if something emits something else then that something increases the amount of that something else	nongold
86	a fruit is a kind of object	nongold
87	greatest means largest; highest; most amount of something	nongold
88	a decrease is a kind of change	nongold
89	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
90	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
91	to receive sunlight means to absorb sunlight	nongold
92	the increase of something required by an organism has a positive impact on that organism's survival	nongold
93	a shrub is a kind of plant	nongold
94	a living thing is a kind of object	nongold
95	water absorbs light energy	nongold
96	if something is a part of something else then that something else contains that something	nongold
97	an part of an object is smaller than the entire object	nongold
98	an increase is a kind of change	nongold
99	a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant	nongold
