Question	Carlos puts a new battery into a radio. What does the battery supply to the radio that makes it turn on?	question
Answer	electricity	answer
0	an electrical device requires electricity to turn on	gold
1	a  battery  is a kind of electrical power source	nongold
2	a battery is a source of electrical energy; electricity	gold
3	to turn means to convert	nongold
4	a radio is a kind of electrical device	gold
5	a radio converts electrical energy into vibrations; sound energy	nongold
6	electricity means electrical energy	gold
7	a supply of something is a source of that something	nongold
8	batteries can be used to power electrical devices	nongold
9	if an old battery no longer supplies electrical energy then that battery needs to be replaced	nongold
10	a source of something emits; produces; generates; provides that something	nongold
11	a source of something supplies that something	gold
12	a portable radio is a kind of radio	nongold
13	a battery-operated device is a kind of electrical device	nongold
14	a radio contains a speaker	nongold
15	battery-powered is similar to battery-operated	nongold
16	if something is powered by something else then that something requires a source of that something else	nongold
17	to run on means to use as an energy source	nongold
18	electricity is used as an energy source by electrical devices	nongold
19	make means produce	nongold
20	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
21	converting is similar to turning into	nongold
22	batteries convert chemical energy to electrical energy	nongold
23	electric devices require electrical energy to function	nongold
24	a radio is used for communication	nongold
25	to turn means to change	nongold
26	turning on is a kind of process	gold
27	to provide means to supply	nongold
28	a battery is a kind of object	nongold
29	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
30	the radio converts radio waves into mechanical waves in the speaker	nongold
31	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
32	storing energy in batteries means charging batteries	nongold
33	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
34	an object; material; substance comes from that object or material's source	nongold
35	electrical energy is a kind of energy	nongold
36	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
37	to give off means to be the source of	nongold
38	to power means to provide energy for	nongold
39	if something comes from something else then that something else is a source of that something	nongold
40	a human is a kind of animal	nongold
41	where something  comes from is a source of that something	nongold
42	an electric motor converts electrical energy into mechanical energy	nongold
43	a complete electrical circuit is a source of  electrical energy	nongold
44	an insulator is the opposite of a conductor	nongold
45	if something requires something else then that something requires a source of that something else	nongold
46	the function of something is what that something  is used to do	nongold
47	if something generates energy for something else then that something powers that something else	nongold
48	converting is similar to producing	nongold
49	generate means produce	nongold
50	transferring is similar to supplying	nongold
51	charging a battery is when energy is converted into potential energy in the battery to store the energy	nongold
52	a battery contains chemical energy	nongold
53	an electric motor is a kind of electrical device	nongold
54	person is synonymous with human	nongold
55	a radio is a kind of tool	nongold
56	converting is similar to generating	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	electrical current means electrical energy	nongold
59	an electric car contains an electric motor	nongold
60	give off is similar to make	nongold
61	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
62	to convert means to change	nongold
63	emit means produce	nongold
64	electricity is made of moving charges; moving charged particles	nongold
65	new means different from the former one	nongold
66	one can get something from a source	nongold
67	to depend on; to rely on; to need means to require	nongold
68	a machine is a kind of  device	nongold
69	operating electrical appliances requires electricity	nongold
70	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
71	to transform means to convert	nongold
72	to be used for something means to be required by that something	nongold
73	old is the opposite of new	nongold
74	to cause means to make	gold
75	an electric car is a kind of invention	nongold
76	can be means able to be	nongold
77	the radio receives radio waves	nongold
78	a device is a kind of object	nongold
79	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
80	closing an electric circuit causes an electrical device to function	nongold
81	an animal is a kind of living thing	nongold
82	electrical signals are made of electrical energy	nongold
83	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
84	electrical devices are used for industrial purposes; household purposes by humans	nongold
85	a car is a kind of vehicle	nongold
86	a circuit is a kind of electrical component	nongold
87	metal is an  electrical; electrical energy conductor	nongold
88	a machine is a kind of object	nongold
89	an animal is a kind of organism	nongold
90	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
91	a car is a kind of object	nongold
92	providing something means making;delivering something	nongold
93	creating a simple circuit requires a wire; battery	nongold
94	producing electricity sometimes requires burning oil	nongold
95	radio transmitter emits radio waves	nongold
96	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
97	device means tool	nongold
98	an insulator is a kind of material	nongold
99	current means electric current	nongold
