Question	Which is true about the Sun and Earth?	question
Answer	The Sun gives light and heat energy to Earth.	answer
0	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
1	Earth is a kind of planet	nongold
2	the sun is a source of light; light energy called sunlight	nongold
3	solar energy is a kind of light	nongold
4	transferring is similar to giving	gold
5	solar energy is a kind of heat energy	nongold
6	the Sun is a kind of star	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	a star is a kind of celestial object; celestial body	nongold
9	sunlight means solar energy	nongold
10	solar energy is a kind of energy	nongold
11	provide is similar to give; make	nongold
12	the sun is the source of solar energy called sunlight	nongold
13	sunlight is a kind of solar energy	nongold
14	sunlight produces heat	nongold
15	sunlight is a kind of light	nongold
16	a star produces light and heat	nongold
17	a planet is a kind of celestial object; body	nongold
18	the sun is a source of radiation; heat called sunlight	nongold
19	the sun  is the source of energy for physical cycles on Earth	nongold
20	to give is similar to to cause	nongold
21	light means light energy	nongold
22	to provide something means to be the source of that something	nongold
23	the sun is the source of energy for life on Earth	nongold
24	to be used for something means to be required by that something	nongold
25	light is a kind of energy	nongold
26	light is a kind of energy	nongold
27	heat is a kind of energy	nongold
28	heat means heat energy	nongold
29	requiring something means needing that something	nongold
30	if something transfers something else then that something is a source of something else	nongold
31	to receive sunlight means to absorb sunlight	nongold
32	receiving sunlight  is synonymous with absorbing sunlight	nongold
33	if something gains something from something else then that something else is a source of that something	nongold
34	a source of something supplies that something	nongold
35	temperature is a measure of heat energy	nongold
36	solar radiation means solar energy	nongold
37	the sun is a kind of yellow dwarf	nongold
38	requiring is similar to needing help	nongold
39	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
40	where something  comes from is a source of that something	nongold
41	if something causes a process then that something is required for that process	nongold
42	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
43	if something generates energy for something else then that something powers that something else	nongold
44	to give off means to be the source of	nongold
45	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
46	the Earth revolves around the sun	nongold
47	a process is a kind of event	nongold
48	what something needs is a property of that something	nongold
49	to produce means to provide	nongold
50	an increase is a kind of change	nongold
51	emit means produce	nongold
52	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
53	to depend on; to rely on; to need means to require	nongold
54	if something is a raw material in a process then that something is required for that process	nongold
55	approximately means about	nongold
56	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
57	if something comes from something else then that something else is a source of that something	nongold
58	absorbing sunlight causes objects to heat	nongold
59	if something requires something else then that something requires a source of that something else	nongold
60	make means produce	nongold
61	the Sun is the  star that is closest to Earth	nongold
62	converting is similar to producing	nongold
63	to produce means to create	nongold
64	to create means to make	nongold
65	if something emits something else then that something increases the amount of that something else	nongold
66	helping something has a  positive impact on that something	nongold
67	the sun is not a star in the night sky	nongold
68	creating means making	nongold
69	if something releases something else then that something is the source of that something else	nongold
70	if something transfers energy to something else then that something else absorbs that energy	nongold
71	to convert means to change	nongold
72	the solar system is a kind of system	nongold
73	a  plant requires sunlight for photosynthesis	nongold
74	the Sun transmits light to earth through space	nongold
75	being used for is similar to providing	nongold
76	food is a source of energy for animals; plants	nongold
77	an organism is a living thing	nongold
78	fire gives off light; heat; smoke	nongold
79	a hot; warm something is a source of heat	nongold
80	a component of something means a part of that something	nongold
81	an event is a kind of action	nongold
82	a source of something increases the amount of that something	nongold
83	to add means to increase	nongold
84	the sun is made of hydrogen and helium	nongold
85	to be a source of something means to cause that something	nongold
86	a component means a part of	nongold
87	to increase is similar to to create	nongold
88	a plant is a kind of organism	nongold
89	high is similar to increase	nongold
90	to cause means to make	nongold
91	adding something is a kind of change	nongold
92	solar power means solar energy	nongold
93	all elements are a kind of pure substance	nongold
94	heating means adding heat	nongold
95	to contribute is similar to produce	nongold
96	an animal is a kind of living thing	nongold
97	creating is similar to causing	nongold
98	the sun is the strongest source of gravity in the solar system	nongold
99	a moon is a kind of celestial object; body	nongold
