Question	A glacier sometimes leaves behind large chunks of ice. What is left in the ground when these chunks of ice melt?	question
Answer	a kettle	answer
0	a kettle is formed when chunks of ice left by glaciers melt	gold
1	a glacier is a kind of body of water	nongold
2	a kettle is a kind of small; deep pond	nongold
3	a glacier is made of ice	nongold
4	a glacier is made of a large buildup of ice; snow	nongold
5	ice is a kind of solid	nongold
6	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
8	the ground is part of the Earth	nongold
9	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
10	a mountain glacier is a kind of glacier	nongold
11	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
12	ground water is a kind of water	nongold
13	a glacier causes mechanical weathering	nongold
14	snow is a kind of ice	nongold
15	temperature is a measure of heat energy	nongold
16	water is a kind of substance	nongold
17	to break down means to break into smaller pieces	nongold
18	freezing causes a solid to form	nongold
19	leaving something undisturbed means not changing that something	nongold
20	ice is a kind of object	nongold
21	material means substance	nongold
22	the ground means Earth's surface	nongold
23	frozen means solid	nongold
24	snow is a kind of precipitation	nongold
25	heating means adding heat	nongold
26	left out of means moved from	nongold
27	a source of heat can be used to heat something	nongold
28	a source of heat can be used to heat something	nongold
29	to lower means to decrease	nongold
30	ice is colder than water in temperature	nongold
31	a glacier moves slowly	nongold
32	a solid is a kind of substance	nongold
33	heat means heat energy	nongold
34	disappeared is similar to gone	nongold
35	the ground is at the bottom of an area	nongold
36	a liquid is a kind of substance	nongold
37	melting is a kind of process	nongold
38	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
39	missing is similar to less	nongold
40	loss is similar to removal	nongold
41	water is a kind of liquid at room temperature	nongold
42	less is similar to decrease	nongold
43	volume has no impact on boiling; melting; freezing point	nongold
44	an increase is the opposite of a decrease	nongold
45	break down means change from a whole into pieces	nongold
46	a piece is a part of a whole	nongold
47	ice is cold in temperature	nongold
48	answering questions requires information	nongold
49	ice is a kind of food	nongold
50	to cause means to make	nongold
51	to be used for something means to be required by that something	nongold
52	precipitation is when water falls from the sky	nongold
53	high is similar to increase	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	leaving is a kind of movement	nongold
56	water is a kind of matter	nongold
57	loss means reduction	nongold
58	to add means to increase	nongold
59	to contain means to have inside	nongold
60	less means a reduced amount	nongold
61	a rock is a kind of object	nongold
62	an object; material; substance comes from that object or material's source	nongold
63	to lack means to not have	nongold
64	mass has no impact on boiling; melting; freezing point	nongold
65	a decrease is a kind of change	nongold
66	if something is made of something; a material then that something contains that something; that material	nongold
67	if something causes a process then that something is required for that process	nongold
68	greatest means largest; highest; most amount of something	nongold
69	an event is a kind of action	nongold
70	something being destroyed means that something no longer exists	nongold
71	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
72	solid is a kind of state of matter	nongold
73	to reduce means to decrease	nongold
74	objects are made of materials; substances; matter	nongold
75	no longer means used to be	nongold
76	rock is a kind of material	nongold
77	precipitation is a kind of  natural process	nongold
78	to depend on; to rely on; to need means to require	nongold
79	if an object is made of a material then that object has the properties of that material	nongold
80	melting is when solids are heated above their melting point	nongold
81	a process is a kind of event	nongold
82	made of is similar to contains	nongold
83	low is similar to decrease	nongold
84	something that contains water is similar to a body of water	nongold
85	to give off means to be the source of	nongold
86	incomplete is the opposite of complete	nongold
87	increase means more	nongold
88	a component means a part of	nongold
89	colder; cooler means lower in temperature	nongold
90	a part of a process means a stage in a process	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	an object is made of its parts	nongold
93	to conserve means to not change	nongold
94	substances are made of matter	nongold
95	the function of something is what that something  is used to do	nongold
96	make means produce	nongold
97	to split means to break down	nongold
98	made up of means contains; made of	nongold
99	an increase is a kind of change	nongold
