Question	What is a large buildup of moving ice and snow called?	question
Answer	glacier	answer
0	a glacier is made of a large buildup of ice; snow	gold
1	a glacier is a kind of body of water	nongold
2	a glacier is made of ice	nongold
3	snow is a kind of ice	nongold
4	a mountain glacier is a kind of glacier	nongold
5	buildup means increase	nongold
6	snow is a kind of precipitation	nongold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
8	freezing is a kind of phase change	nongold
9	ice is a kind of solid	nongold
10	a glacier causes mechanical weathering	nongold
11	ice is cold in temperature	nongold
12	ice is colder than water in temperature	nongold
13	ice wedging is a kind of mechanical weathering	nongold
14	freezing causes a solid to form	nongold
15	ice sheet; polar ice sheet is a kind of glacier	nongold
16	frozen means solid	nongold
17	movement is a kind of change	nongold
18	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
19	an increase is a kind of change	nongold
20	to add means to increase	nongold
21	increase means more	nongold
22	motion; movement means moving; to move	nongold
23	a glacier moves slowly	gold
24	flowing is a kind of motion	nongold
25	melting is a kind of phase change	nongold
26	a motion is a kind of event; action	nongold
27	an event is a kind of action	nongold
28	high is similar to increase	nongold
29	freezing means cold temperatures	nongold
30	ice is a kind of water phase	nongold
31	snow is cold	nongold
32	ice is a kind of object	nongold
33	a component means a part of	nongold
34	a component of something means a part of that something	nongold
35	a process is a kind of event	nongold
36	moving is similar to travelling	nongold
37	hail is a kind of precipitation; ice	nongold
38	to lower means to decrease	nongold
39	pulling is a kind of motion	nongold
40	temperature is a measure of heat energy	nongold
41	ice crystals means  ice	nongold
42	a part of a process means a stage in a process	nongold
43	cooler means colder	nongold
44	to wash away is a kind of movement by moving water	nongold
45	phase means state	nongold
46	change is a kind of process	nongold
47	to cause is similar to bring	nongold
48	solid is a kind of state of matter	nongold
49	cold is a kind of weather	nongold
50	answering questions requires information	nongold
51	weathering is a kind of process	nongold
52	something that happens is a kind of event	nongold
53	variable means able to change	nongold
54	rising is a kind of motion	nongold
55	motion is when moves an object; something to a direction	nongold
56	a phase change is a kind of physical change	nongold
57	spreading is a kind of motion	nongold
58	a decrease is a kind of change	nongold
59	ice is a kind of food	nongold
60	something in a cold place becomes cold	nongold
61	snowy means a large amount of snow	nongold
62	cycles of freezing and thawing water cause ice wedging	nongold
63	flowing is a kind of action	nongold
64	a change is a kind of event	nongold
65	an increase is the opposite of a decrease	nongold
66	a type is synonymous with a kind	nongold
67	to give off means to be the source of	nongold
68	cold means low in temperature	nongold
69	precipitation is a kind of weather	nongold
70	state means form	nongold
71	events occur at a specific place; at a specific time; with a specific frequency	nongold
72	shift means move	nongold
73	colder; cooler means lower in temperature	nongold
74	water is a kind of polar substance	nongold
75	formation of a state of matter is a kind of process	nongold
76	snow is a kind of object	nongold
77	to happen means to occur	nongold
78	water is a kind of liquid at room temperature	nongold
79	thawing is similar to melting	nongold
80	water is a kind of matter	nongold
81	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
82	liquid is a kind of state of matter	nongold
83	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
84	to change means to cause a change	nongold
85	melting is a kind of process	nongold
86	to split means to break down	nongold
87	intense means extreme	nongold
88	to give is similar to to cause	nongold
89	a source of something increases the amount of that something	nongold
90	Antarctic polar ice contains ice; glaciers	nongold
91	to cause an event is similar to being involved in that event	nongold
92	water is a kind of substance	nongold
93	precipitation is a kind of  natural process	nongold
94	form means kind	nongold
95	skidding is a kind of motion	nongold
96	temperature is a property of weather	nongold
97	to increase is similar to to create	nongold
98	icy means made of ice	nongold
99	to place in is similar to to move to	nongold
