Question	The invention of the telescope allowed which of the following to take place?	question
Answer	detailed observation of planets	answer
0	inventing a tool allows; enables that tool to be used	gold
1	detailed observation of celestial objects requires a telescope	gold
2	to enable means to allow	nongold
3	a planet is a kind of celestial object; body	gold
4	to enable is similar to cause	nongold
5	a vehicle for something allows; enables that something to occur	nongold
6	to be used for is similar to allowing	nongold
7	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
8	causing is similar to allowing	nongold
9	take place means happen	nongold
10	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
11	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
12	Earth is a kind of planet	nongold
13	an invention is a kind of tool	nongold
14	a planet is a kind of place	nongold
15	if something is required for something else then that something allows that something else	nongold
16	astronomy is the study of celestial (objects, bodies)	nongold
17	planets orbit stars	nongold
18	not allowed to means can not	nongold
19	planets in the solar system orbit the Sun	nongold
20	a planet is a kind of location	nongold
21	instrument means tool	gold
22	instrument means device	nongold
23	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	nongold
24	answering questions requires information	nongold
25	planets reflect the light of the sun	nongold
26	an event is a kind of action	nongold
27	allowing is a kind of controlling	nongold
28	the Sun is a kind of star	nongold
29	an instrument is a piece of equipment	nongold
30	moons orbit planets	nongold
31	astronomical body means celestial body	nongold
32	device means tool	nongold
33	planets are found in space	nongold
34	a tool is a kind of object	nongold
35	a process is a kind of event	nongold
36	Mars is a kind of planet	nongold
37	to make possible means to be required	nongold
38	place means space	nongold
39	measuring is a kind of observing	nongold
40	something that happens is a kind of event	nongold
41	a device is a kind of object	nongold
42	astronomy is a kind of branch of science	nongold
43	a motion is a kind of event; action	nongold
44	a living thing is a kind of object	nongold
45	events occur at a specific place; at a specific time; with a specific frequency	nongold
46	to be used for something means to be required by that something	nongold
47	a star is a kind of celestial object; celestial body	nongold
48	movements of celestial bodies are a kind of event	nongold
49	the sun setting is a kind of event	nongold
50	planets have cleared their orbits	nongold
51	to happen means to occur	nongold
52	setting is a kind of motion	nongold
53	measuring is used for describing an object	nongold
54	getting information sometimes requires observing; observation	nongold
55	the function of something is what that something  is used to do	nongold
56	to enable is to help	nongold
57	a part of a process means a stage in a process	nongold
58	can be means able to be	nongold
59	if an event is required for a process then that event must occur before that process can occur	nongold
60	place is synonymous with location	nongold
61	studying  something usually requires seeing that something	nongold
62	process is similar to method	nongold
63	an optical telescope is a kind of telescope	nongold
64	a type is synonymous with a kind	nongold
65	a step in a process means a stage in a process	nongold
66	both means two	nongold
67	high is similar to increase	nongold
68	optical tools are used for observing materials up close; in greater detail	nongold
69	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
70	scientists make observations	nongold
71	a component of something means a part of that something	nongold
72	developing means creating; inventing	nongold
73	a component means a part of	nongold
74	making discoveries requires observing	nongold
75	observe means see	nongold
76	work is a kind of place	nongold
77	Jupiter is a kind of planet	nongold
78	look at means observe	nongold
79	length of time means period of time	nongold
80	to cause an event is similar to being involved in that event	nongold
81	a process usually requires all of the stages in that process	nongold
82	an animal is a kind of living thing	nongold
83	a unit for measuring time is a kind of time interval	nongold
84	if something causes a process then that something is required for that process	nongold
85	a human is a kind of animal	nongold
86	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
87	to help; to benefit means to be of use	nongold
88	to depend on; to rely on; to need means to require	nongold
89	the solar system contains eight planets	nongold
90	something is used for that something's purpose	nongold
91	place means area	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	helping something has a  positive impact on that something	nongold
94	an object is made of its parts	nongold
95	orbiting is a kind of action	nongold
96	a scientist is a kind of human	nongold
97	information is used to describe something	nongold
98	a change is a kind of event	nongold
99	Mars is a kind of inner planet	nongold
