Question	When animals use energy, they produce	question
Answer	carbon dioxide	answer
0	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
1	a source of something emits; produces; generates; provides that something	nongold
2	generate means produce	nongold
3	a producer is a kind of living thing	nongold
4	make means produce	nongold
5	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
6	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
7	green plants are a kind of producer	nongold
8	carbon dioxide is a kind of greenhouse gas	nongold
9	to produce means to provide	nongold
10	producing is a kind of process	nongold
11	a producer is a source of energy for consumers	nongold
12	resources sometimes are used for energy	nongold
13	if something causes an increase in something else then that something produces that something else	nongold
14	a producer is a source of sugar; food energy in an ecosystem	nongold
15	emit means produce	nongold
16	an animal is a kind of living thing	gold
17	to be used for something means to be required by that something	nongold
18	to use means to utilize	nongold
19	animals are a renewable resource	nongold
20	converting is similar to producing	nongold
21	if something generates energy for something else then that something powers that something else	nongold
22	products are formed; are produced; are created	nongold
23	a human is a kind of animal	nongold
24	a producer produces its own food	nongold
25	carbon dioxide is a kind of gas	nongold
26	food is a source of energy for animals; plants	nongold
27	an animal is a kind of organism	nongold
28	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
29	consumption means use	nongold
30	an animal is a kind of consumer	nongold
31	chemical energy is a kind of energy	nongold
32	In the food chain process a  green plant has the role of  producer	nongold
33	food is a kind of chemical energy	nongold
34	producer is a kind of role in the food chain process; in an ecosystem	nongold
35	to power means to provide energy for	nongold
36	if something is a raw material in a process then that something is required for that process	nongold
37	solar energy is a kind of energy	nongold
38	to be formed by is similar to being produced by	nongold
39	breathing is when animals convert oxygen into carbon dioxide	nongold
40	if something is a raw material then that something comes directly from a source	nongold
41	plants are a source of oxygen through photosynthesis	nongold
42	fossil fuels release carbon dioxide into the atmosphere	nongold
43	to contribute is similar to produce	nongold
44	a cell produces carbon dioxide for waste	nongold
45	to produce means to create	nongold
46	to depend on; to rely on; to need means to require	nongold
47	a fossil fuel is a kind of natural resource	nongold
48	oil is a kind of fossil fuel	nongold
49	living things require respiration to use energy	gold
50	if something comes from something else then that something else is a source of that something	nongold
51	if something is powered by something else then that something requires a source of that something else	nongold
52	an organism is a living thing	nongold
53	carbon monoxide is a kind of gas	nongold
54	organisms are made of carbon	nongold
55	photosynthesis is a source of oxygen	nongold
56	natural gas is a kind of fossil fuel	nongold
57	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
58	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
59	In the cellular respiration; animal respiration process carbon dioxide is a waste product	gold
60	sulfur dioxide is formed by the combustion of fossil fuels	nongold
61	where something  comes from is a source of that something	nongold
62	converting is similar to generating	nongold
63	if something causes a process then that something is required for that process	nongold
64	fossil fuel contains chemical energy	nongold
65	if something releases something else then that something is the source of that something else	nongold
66	a part of a process means a stage in a process	nongold
67	fossil fuels are a kind of energy resource	nongold
68	an organism breaking down sugar is a source of carbon dioxide; water	nongold
69	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
70	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
71	if something requires something else then that something requires a source of that something else	nongold
72	to provide something means to be the source of that something	nongold
73	animals are a source of carbon dioxide by exhaling	nongold
74	if something transfers something else then that something is a source of something else	nongold
75	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
76	nutrients are a source of energy for living things	nongold
77	photosynthesis is a kind of chemical  process	nongold
78	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
79	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
80	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
81	if something is required for a process then that something positively impacts that process	nongold
82	the function of something is what that something  is used to do	nongold
83	person is synonymous with human	nongold
84	all elements are a kind of pure substance	nongold
85	fossil fuels have high potential energy	nongold
86	sunlight is a kind of solar energy	nongold
87	gases released during the use of fossil fuels causes global warming	nongold
88	a source of something increases the amount of that something	nongold
89	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
90	an animal; living thing requires nutrients for survival	nongold
91	heat is a kind of energy	nongold
92	an event is a kind of action	nongold
93	producing is similar to causing	nongold
94	synthesize means to make	nongold
95	to generate means to create	nongold
96	if something emits something else then that something increases the amount of that something else	nongold
97	petroleum is a kind of fossil fuel	nongold
98	to produce means to result in	nongold
99	when an animal moves , chemical energy is converted to mechanical energy	nongold
