Question	Which is an example of water condensing?	question
Answer	Dew forming on plants during a cold night	answer
0	dew is formed when water vapor condenses; cools over night	gold
1	dew is a kind of liquid	gold
2	dew is a kind of condensation	nongold
3	temperature is a measure of heat energy	nongold
4	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
5	a plant is a kind of living thing	nongold
6	condensing causes a liquid to form	gold
7	vegetation means plants	nongold
8	condensing means liquid water coming together in the air	nongold
9	condensing is a kind of process	nongold
10	condensing is a kind of  phase change	nongold
11	a tree is a kind of plant	nongold
12	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
13	condensing is when gasses are  cooled below their boiling point	gold
14	condensing is similar to collecting	nongold
15	heat means heat energy	nongold
16	heat means temperature increases	nongold
17	cold means low in temperature	gold
18	form means kind	nongold
19	water is a kind of liquid at room temperature	nongold
20	a plant is a kind of organism	nongold
21	the night has cooler temperatures than the day	nongold
22	condensation is a kind of process	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
24	when clouds become cold , those clouds will condense	nongold
25	a living thing is a kind of object	nongold
26	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
27	a kind of something is an example of that something	nongold
28	a shrub is a kind of plant	nongold
29	water is a kind of substance	nongold
30	water is an thermal; thermal energy conductor	nongold
31	something in a cold place becomes cold	nongold
32	a tree is a kind of matter	nongold
33	if something is outside during the day then that something will receive sunlight	nongold
34	solar energy is a kind of heat energy	nongold
35	if a living thing becomes too cold then that living thing will die	nongold
36	sunlight produces heat	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	a tree is a kind of living thing	nongold
39	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
40	In the water cycle , condensation always follows evaporation	nongold
41	a plants; living things require water for survival; to grow	nongold
42	moisture means liquid; liquid water	nongold
43	colder; cooler means lower in temperature	nongold
44	to lower means to decrease	nongold
45	water is a kind of matter	nongold
46	condensation causes clouds to form	nongold
47	as temperature during the day increases , the temperature in an environment will increase	nongold
48	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
49	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
50	In the water cycle , precipitation can follow condensation	nongold
51	condensation is a stage in the water cycle process	nongold
52	a flower is a kind of plant	nongold
53	sunlight is a kind of solar energy	nongold
54	sunlight means solar energy	nongold
55	to be made of something means to be formed of that something	nongold
56	water vapor condensing in clouds causes rain	nongold
57	high is similar to increase	nongold
58	grass is a kind of green plant	nongold
59	become cold means get cold	nongold
60	a  plant requires sunlight for photosynthesis	nongold
61	to add means to increase	nongold
62	heat is a kind of energy	nongold
63	an animal requires warmth for survival	nongold
64	heating means adding heat	nongold
65	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
66	cold is a kind of weather	nongold
67	a leaf performs photosynthesis; gas exchange	nongold
68	cooling;colder means removing;reducing;decreasing heat;temperature	gold
69	a forest contains  lots of plants; trees	nongold
70	plants are a part of the environment	nongold
71	water is a kind of object	nongold
72	to cause the formation of means to form	nongold
73	state means form	nongold
74	to make means to form	nongold
75	to reduce means to decrease	nongold
76	a flower is a kind of object	nongold
77	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
78	increase means more	nongold
79	to give off means to be the source of	nongold
80	cooler means colder	nongold
81	the night time is part of one day	nongold
82	hot means high in heat energy; temperature	nongold
83	variable means able to change	nongold
84	water is a part of an environment	nongold
85	liquid is a kind of state of matter	nongold
86	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
87	an animal is a kind of living thing	nongold
88	heat energy is synonymous with thermal energy	nongold
89	cool means cold	nongold
90	material means substance	nongold
91	all the time means at day and at night	nongold
92	absorbing sunlight causes objects to heat	nongold
93	becoming is similar to forming	nongold
94	if one surface; one substance; one object touches something then one is exposed to that something	nongold
95	if something is  cold in temperature , then something will be cold to touch	nongold
96	warmer means greater; higher in temperature; warmth	nongold
97	to increase is similar to to create	nongold
98	answering questions requires information	nongold
99	to slow; to slow down decreases speed	nongold
