Question	Water freezing is an example of a	question
Answer	liquid changing to a solid	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
1	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
2	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
3	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
4	freezing is a kind of phase change	nongold
5	liquid water cooling causes that liquid water to freeze	nongold
6	frozen means solid	nongold
7	water is a kind of liquid at room temperature	gold
8	ice is a kind of solid	nongold
9	a solid is a kind of substance	nongold
10	a kind of something is an example of that something	nongold
11	freezing means cold temperatures	nongold
12	melting is a kind of phase change	nongold
13	cooling;colder means removing;reducing;decreasing heat;temperature	gold
14	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
15	water is a kind of substance	nongold
16	freezing causes a solid to form	nongold
17	an increase is a kind of change	nongold
18	a phase change is a kind of physical change	nongold
19	temperature is a measure of heat energy	nongold
20	a liquid is a kind of substance	gold
21	a liquid is a kind of fluid	nongold
22	solid is a kind of state of matter	nongold
23	to add means to increase	nongold
24	boiling is a kind of phase change	nongold
25	colder; cooler means lower in temperature	nongold
26	liquid is a kind of state of matter	nongold
27	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
28	boiling means the volume of a liquid decreases	nongold
29	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
30	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
31	cooling means temperature decreases	nongold
32	heat means heat energy	nongold
33	water is a kind of matter	nongold
34	high is similar to increase	nongold
35	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
36	temperature changing can cause phase changes	nongold
37	mass has no impact on boiling; melting; freezing point	nongold
38	gas is a kind of state of matter	nongold
39	heat means temperature increases	nongold
40	to lower means to decrease	nongold
41	solution is a kind of liquid	nongold
42	ice is cold in temperature	nongold
43	frost is a kind of solid water	nongold
44	a metal is usually a solid at room temperature	nongold
45	a decrease is a kind of change	nongold
46	moisture means liquid; liquid water	nongold
47	water expanding when it freezes is a physical property of water	nongold
48	boiling is when liquids are heated above their boiling point	nongold
49	heat energy can change the state of matter	nongold
50	gas is a kind of substance	nongold
51	melting is when solids are heated above their melting point	nongold
52	cold means low in temperature	nongold
53	state of matter at room temperature is a kind of physical property	nongold
54	volume has no impact on boiling; melting; freezing point	nongold
55	Matter in the solid phase has definite shape	nongold
56	cool means cold	nongold
57	melting point means temperature at which a solid melts; above which a solid melts	nongold
58	substances are made of matter	nongold
59	ice is colder than water in temperature	nongold
60	when water freezes , that water expands	nongold
61	adding salt to a solid decreases the freezing point of that solid	nongold
62	adding heat means increasing temperature	nongold
63	cooler means colder	nongold
64	Matter in the liquid phase has variable shape	nongold
65	to turn means to change	nongold
66	An example of moisture is water vapor in the atmosphere	nongold
67	becoming is similar to changing	nongold
68	snow is a kind of ice	nongold
69	ice crystals means  ice	nongold
70	evaporating is a kind of phase change	nongold
71	ice is a kind of water phase	nongold
72	ability to undergo a phase change is a property of a substance; material	nongold
73	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
74	state of matter means physical state	nongold
75	physical state means state of matter	nongold
76	freezing point is similar to melting point	nongold
77	if liquid is boiling then that liquid is hot	nongold
78	glass is a kind of solid at room temperature	nongold
79	a change is a kind of event	nongold
80	a solution is formed by one substance being dissolved in another substance	nongold
81	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
82	temperature drop means become colder	nongold
83	variable means able to change	nongold
84	state means form	nongold
85	materials are made of matter	nongold
86	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
87	to convert means to change	nongold
88	reducing is a kind of change	nongold
89	phase means state	nongold
90	to reduce means to decrease	nongold
91	a solution is made of one substance dissolved in another substance	nongold
92	milk is a kind of liquid at room temperature	nongold
93	something in a cold place becomes cold	nongold
94	thawing is similar to melting	nongold
95	to change means to cause a change	nongold
96	a body of water contains water	nongold
97	vapor is synonymous with gas	nongold
98	to change into means to form	nongold
99	Matter in the solid phase has definite volume	nongold
