Question	A marble is dropped in a glass of water. Which force pulls the marble to the bottom of the glass?	question
Answer	gravity	answer
0	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
1	marble is a kind of object; material	gold
2	gravity accelerates an object while that object falls by pulling on it	nongold
3	the bottom is the lowest part of something	gold
4	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
5	dropping something causes that something to fall	gold
6	drop means decrease	nongold
7	sinking means moving down	nongold
8	to drop means to fall	gold
9	gravity is a kind of force	gold
10	downward means down	gold
11	glass is a kind of object	nongold
12	glass is a kind of solid at room temperature	nongold
13	a glass contains water	nongold
14	glass is a kind of open container	nongold
15	falling means moving downward	gold
16	a drop is a small amount of liquid	nongold
17	a pull is a kind of force	nongold
18	pulling is a kind of motion	nongold
19	a drop is a kind of liquid small amount	nongold
20	lowering is a kind of motion	nongold
21	if something is dropped into a container of something else then that something is touching that something else	nongold
22	low means down	gold
23	below means lower down	nongold
24	water is a kind of liquid at room temperature	nongold
25	jumping off is a kind of  moving down	nongold
26	rolling down is similar to falling	nongold
27	dropping an object into water causes vibrations in the water	nongold
28	to be lowered into a substance means to be placed into that substance	nongold
29	motion; movement means moving; to move	nongold
30	weight means the force of gravity acting on an object	nongold
31	to lift means to move up	nongold
32	water is a kind of object	nongold
33	a statue is a kind of object	nongold
34	Weight is  the  force of gravity acting on an object	nongold
35	water is a kind of substance	nongold
36	gravity pulls objects towards planets	nongold
37	a motion is a kind of event; action	nongold
38	glass is a kind of medium	nongold
39	water is a kind of matter	nongold
40	glass is a kind of material	nongold
41	a liquid is a kind of fluid	nongold
42	settling in a liquid is the opposite of staying suspended in a liquid	nongold
43	a force is a kind of push or pull on an object	nongold
44	as an object descends into water , the pressure on that object will increase	nongold
45	a liquid is a kind of substance	nongold
46	the mass of an object causes the gravitational force exerted by that object	nongold
47	to lower means to decrease	nongold
48	sliding is a kind of motion	nongold
49	up means upward	nongold
50	upward is the opposite of downward	nongold
51	An example of hitting something is dropping an object onto that something	nongold
52	as the force of gravity on an animal decreases , the higher that animal can jump generally	nongold
53	come down is similar to falling	nongold
54	sinking is a kind of downward direction	nongold
55	slipping is a kind of motion	nongold
56	sliding is a kind of movement	nongold
57	rising is a kind of motion	nongold
58	to land on the ground means to hit the ground	nongold
59	if a substance is poured , then that something will sink down	nongold
60	objects are made of materials; substances; matter	nongold
61	as the mass of an object increases , the force of gravity on that object will increase	nongold
62	to ascend means to rise	nongold
63	shaking is a kind of motion	nongold
64	an increase is a kind of change	nongold
65	liquid is a kind of state of matter	nongold
66	being in something means touching that something	nongold
67	a pulley is used for lifting; lowering objects	nongold
68	rising means moving upward	nongold
69	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
70	push is a kind of force; application of force	nongold
71	the floor is at the bottom of a room	nongold
72	pushing is a kind of motion	nongold
73	hitting is a kind of motion	nongold
74	a human is a kind of animal	nongold
75	motion is a source of kinetic energy in an object	nongold
76	high is similar to increase	nongold
77	force causes the speed of an object to increase; to decrease	nongold
78	a container contains objects; material; substances	nongold
79	pushing an object requires force	nongold
80	to travel up means to rise	nongold
81	a container is a kind of object	nongold
82	additional force is similar to outside force	nongold
83	a slide is a kind of object	nongold
84	as an object is moving down , the speed of the object  will increase	nongold
85	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
86	gravity helps move blood through the body	nongold
87	the ground is at the bottom of an area	nongold
88	mechanical force is a kind of mechanical energy	nongold
89	to cause is similar to bring	nongold
90	skidding is a kind of motion	nongold
91	temperature drop means temperature decrease	nongold
92	raising is a kind of motion	nongold
93	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
94	to add means to increase	nongold
95	sink down is similar to settle	nongold
96	being  on something; placed in something; placed over something means touching  that something	nongold
97	flowing liquid can push objects	nongold
98	down is soft	nongold
99	glass is made of sand	nongold
