Question	Living things are classified as producers or consumers according to	question
Answer	how they obtain food	answer
0	a kind of something is classified as that something	nongold
1	a producer is a kind of living thing	nongold
2	classifying means grouping objects; materials by their properties	nongold
3	classifying is when one sorts something by kind; type	nongold
4	an animal is a kind of living thing	nongold
5	a producer produces its own food	gold
6	life means living things	nongold
7	obtain is similar to receive	nongold
8	a consumer can not produce its own food	nongold
9	to obtain means to get	gold
10	a food contains nutrients for living things	nongold
11	an animal; living thing requires nutrients for survival	nongold
12	if an object is a source of something for something else then that something else can obtain that something from that object	gold
13	an animal is a kind of consumer	nongold
14	if a living thing requires something then that something has a positive impact on that living thing	nongold
15	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
16	an organism is a living thing	nongold
17	eating; taking in food is used to get nutrients;energy by animals; living things	gold
18	a consumer is a kind of organism	nongold
19	to gain means to obtain	nongold
20	green plants are a kind of producer	nongold
21	a living thing is a kind of object	nongold
22	a source of something emits; produces; generates; provides that something	gold
23	In the food chain process a  green plant has the role of  producer	nongold
24	according to is similar to be determined by	nongold
25	classify is similar to characterize	nongold
26	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
27	living things eat their food source	nongold
28	to categorize means to classify	nongold
29	producer is a kind of role in the food chain process; in an ecosystem	nongold
30	to eat means to consume food	nongold
31	to be used for something means to be required by that something	nongold
32	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
33	a plant; living thing requires food for survival	nongold
34	a human is a kind of animal	nongold
35	an animal is a kind of organism	nongold
36	to produce means to provide	nongold
37	consumption means use	nongold
38	an animal needs to eat food for nutrients	nongold
39	humans eat crops	nongold
40	a producer is a source of sugar; food energy in an ecosystem	nongold
41	crops are a kind of edible plant for eating	nongold
42	producers pass materials they use through the food chain	nongold
43	to belong to a class means to be a kind of something	nongold
44	providing something means making;delivering something	nongold
45	a plant is a kind of living thing	nongold
46	a plant is a kind of organism	nongold
47	food is what an animal eats	nongold
48	if something gains something from something else then that something else is a source of that something	nongold
49	consumers eat other organisms	gold
50	make means produce	nongold
51	emit means produce	nongold
52	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
53	organisms are a part of an environment	nongold
54	classification is a kind of process	nongold
55	producing is a kind of process	nongold
56	to provide something means to be the source of that something	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	a living thing is made of cells	nongold
59	a vegetable is a kind of plant	nongold
60	production is similar to making	nongold
61	diet means what an animal eats	nongold
62	to belong to a group means to be classified in that group	nongold
63	all living things eliminate waste	nongold
64	a vegetable is a kind of food	nongold
65	insects eat crops	nongold
66	requiring something means needing that something	nongold
67	a crop is a kind of food	nongold
68	a food web is made of organisms that consume other organisms; that produce their own food	nongold
69	converting is similar to producing	nongold
70	provide is similar to give; make	nongold
71	living things carry out basic life functions	nongold
72	food is a kind of resource	nongold
73	a nutrient is a kind of object	nongold
74	negative impact is the opposite of positive impact	nongold
75	an animal is a member of an animal species	nongold
76	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
77	killing means changing a living thing from alive to dead by harming	nongold
78	usually plants store the food they produce for future use	nongold
79	a worm is a kind of living thing	nongold
80	nonliving; non-living; die is the opposite of living; alive; live	nongold
81	living things can all reproduce	nongold
82	if something is a raw material in a process then that something is required for that process	nongold
83	an organism eating is a kind of action	nongold
84	living things perform biological processes	nongold
85	organisms mean life	nongold
86	producing is similar to causing	nongold
87	if something causes a process then that something is required for that process	nongold
88	a product is a kind of object	nongold
89	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
90	to produce means to create	nongold
91	dying is the opposite of living; surviving	nongold
92	harming something has a  negative impact on; effect on that something	nongold
93	a worm is a kind of animal	nongold
94	products are formed; are produced; are created	nongold
95	human is a kind of organism	nongold
96	In the food chain process some types of plankton have the role of producer	nongold
97	food is a kind of substance	nongold
98	catching something is synonymous with obtaining that something	nongold
99	a kind of something is an example of that something	nongold
