Question	Which force causes a marble to sink to the bottom of a glass of water?	question
Answer	gravity	answer
0	gravity is a kind of force	gold
1	the bottom is the lowest part of something	gold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
3	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
4	marble is a kind of object; material	gold
5	sinking means moving down	gold
6	glass is a kind of object	nongold
7	a glass contains water	nongold
8	water is a kind of object	nongold
9	water is a kind of substance	nongold
10	glass is a kind of solid at room temperature	nongold
11	weight means the force of gravity acting on an object	nongold
12	water is a kind of liquid at room temperature	nongold
13	to lower means to decrease	nongold
14	the bottom of a body of water is the deepest	nongold
15	downward means down	nongold
16	a liquid is a kind of substance	nongold
17	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
18	to reduce means to decrease	nongold
19	below means lower down	nongold
20	water is a kind of matter	nongold
21	Weight is  the  force of gravity acting on an object	nongold
22	if a substance is poured , then that something will sink down	nongold
23	a statue is a kind of object	nongold
24	glass is a kind of open container	nongold
25	low means down	gold
26	glass is a kind of material	nongold
27	a solid is a kind of substance	nongold
28	liquid is a kind of state of matter	nongold
29	a rock is a kind of object	nongold
30	the mass of an object causes the gravitational force exerted by that object	nongold
31	a surface is a part of an object	nongold
32	to add means to increase	nongold
33	solid is a kind of state of matter	nongold
34	a container is a kind of object	nongold
35	a surface is a kind of object	nongold
36	lowering is a kind of motion	nongold
37	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
38	as the mass of an object increases , the force of gravity on that object will increase	nongold
39	weight is a measure of the force of the gravity on the mass of an object	nongold
40	objects are made of materials; substances; matter	nongold
41	to drop means to fall	nongold
42	glass is a kind of medium	nongold
43	the floor is at the bottom of a room	nongold
44	to change means to cause a change	nongold
45	glass is a kind of product	nongold
46	high is similar to increase	nongold
47	an part of an object is smaller than the entire object	nongold
48	affected means changed	nongold
49	falling means moving downward	nongold
50	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
51	a container contains objects; material; substances	nongold
52	as the force  of gravity decreases , the weight of the object will decrease	nongold
53	weight is a property of objects; matter	nongold
54	gravity causes orbits	nongold
55	a human is a kind of animal	nongold
56	to be a source of something means to cause that something	nongold
57	an event is a kind of action	nongold
58	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
59	a force is a kind of push or pull on an object	nongold
60	causing is a kind of affecting	nongold
61	low is similar to decrease	nongold
62	lowest means least in value; amount; number	nongold
63	a motion is a kind of event; action	nongold
64	gravity causes nebulas to collapse	nongold
65	gravity accelerates an object while that object falls by pulling on it	nongold
66	an increase is a kind of change	nongold
67	beneath means below	nongold
68	material means substance	nongold
69	rock means stone	nongold
70	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
71	materials are made of matter	nongold
72	shallow means low  in  depth	nongold
73	to be lowered into a substance means to be placed into that substance	nongold
74	underwater means below water	nongold
75	the mass of a planet causes the pull of gravity on that planet	nongold
76	to limit means to decrease	nongold
77	sinking is a kind of downward direction	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	causing means influencing	nongold
80	as the force  of gravity changes , the mass of the object will stay the same	nongold
81	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
82	as the force  of gravity changes , the weight of the object will change	nongold
83	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
84	state means form	nongold
85	water pressure is a kind of pressure	nongold
86	sink down is similar to settle	nongold
87	a living thing is a kind of object	nongold
88	a surface is a part of a material	nongold
89	glass is recyclable	nongold
90	low is the opposite of high	nongold
91	gravity helps move blood through the body	nongold
92	a physical property is a kind of property	nongold
93	a decrease is a kind of change	nongold
94	extreme means very high in value	nongold
95	state of matter is a kind of physical property	nongold
96	as the force of gravity increases , the weight of objects will increase	nongold
97	drop means decrease	nongold
98	settling in a liquid is the opposite of staying suspended in a liquid	nongold
99	a particle is a kind of object	nongold
