Question	Which term describes an organism's ability to maintain a stable internal environment?	question
Answer	regulation	answer
0	regulation is when an organism maintains a stable internal environment	gold
1	maintain is similar to control	nongold
2	regulating is a kind of function	nongold
3	to regulate means to maintain the speed of a process	nongold
4	to maintain means to not change	nongold
5	an animal is a kind of organism	nongold
6	inability is the opposite of ability	nongold
7	ability is a kind of characteristic	nongold
8	keeping means staying	nongold
9	organisms are a part of an environment	nongold
10	able is the opposite of unable	nongold
11	the properties of something are used for describing that something	nongold
12	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
13	homeostasis is the stable condition of an organism's internal environment	nongold
14	an organism is a living thing	nongold
15	an increase is the opposite of a decrease	nongold
16	an animal is a kind of living thing	nongold
17	the ability to do means be able to do	nongold
18	a human is a kind of animal	nongold
19	to impact means to affect	nongold
20	an animal's brain controls that animal	nongold
21	a function is a kind of characteristic	nongold
22	affected means changed	nongold
23	to be used for something means to be required by that something	nongold
24	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
25	high is similar to increase	nongold
26	staying means not changing	nongold
27	trait is synonymous with characteristic	nongold
28	to keep a process or event happening is similar to causing that process or event to happen	nongold
29	the body is a part of an organism	nongold
30	to keep something occurring means to cause that something to occur	nongold
31	can be means able to be	nongold
32	causing is a kind of affecting	nongold
33	an environment is similar to an ecosystem	nongold
34	controlling is a kind of function	nongold
35	internal organs are a part of the body	nongold
36	impact means effect	nongold
37	an increase is a kind of change	nongold
38	to conserve means to not change	nongold
39	low is similar to decrease	nongold
40	the function of something is what that something  is used to do	nongold
41	an environment means an area	nongold
42	variable means able to change	nongold
43	to change means to have an effect	nongold
44	to retain means to not change	nongold
45	a plant is a kind of organism	nongold
46	organisms mean life	nongold
47	conditioned behavior is a kind of learned behavior	nongold
48	to act on means to affect	nongold
49	influence means effect	nongold
50	to reduce means to decrease	nongold
51	condition is a property of an environment	nongold
52	an event is a kind of action	nongold
53	a mechanism is a kind of system that performs a function	nongold
54	a decrease is a kind of change	nongold
55	change is a kind of impact	nongold
56	causing is a kind of function	nongold
57	a body system is a part of the body; an animal	nongold
58	influence means impact	nongold
59	actions mean behavior	nongold
60	to lower means to decrease	nongold
61	less is similar to decrease	nongold
62	hormones regulate body functions	nongold
63	to retain means to remain	nongold
64	having an impact on something means altering that something	nongold
65	a behavior is a kind of characteristic	nongold
66	to add means to increase	nongold
67	can means having the ability to	nongold
68	a function is an activity	nongold
69	to retain means to have	nongold
70	An example of biological regulation is insulin being released to control the amount of sugar in blood	nongold
71	if something causes a process then that something is required for that process	nongold
72	cause is similar to influence	nongold
73	performance is similar to ability	nongold
74	if something performs a task then that task is that something's function	nongold
75	action means activity	nongold
76	to work means to function	nongold
77	to improve means to have a positive impact	nongold
78	a process is a kind of event	nongold
79	allowing is a kind of controlling	nongold
80	to remain means to not change	nongold
81	to lack means to not have	nongold
82	a factor impacts something	nongold
83	to enhance means to increase	nongold
84	An example of managing; maintaining the number; the use of something is replacing that something	nongold
85	action can cause change	nongold
86	negative impact is the opposite of positive impact	nongold
87	a living thing is a kind of object	nongold
88	constant means not changing	nongold
89	change is a kind of process	nongold
90	a process usually requires all of the stages in that process	nongold
91	a climate is synonymous with an environment	nongold
92	surroundings means environment	nongold
93	an organism's environment affects that organism's acquired characteristics	nongold
94	essential means required	nongold
95	to cause means to have an effect	nongold
96	human is a kind of organism	nongold
97	increase means more	nongold
98	if something affects a part of something else then that something affects that something else	nongold
99	to depend on; to rely on; to need means to require	nongold
