Question	Humans depend on which natural resource from the environment?	question
Answer	water	answer
0	to be dependent on something means to depend on that something	nongold
1	to depend on; to rely on; to need means to require	gold
2	nature means a natural environment	gold
3	to be affected by something is similar to depending on something	nongold
4	needing something means depending on that something	nongold
5	if something causes something else then that something else depends on that something	nongold
6	water is a kind of natural resource	gold
7	water is a kind of natural resource	nongold
8	a human is a kind of animal	gold
9	if a living thing requires something then that something has a positive impact on that living thing	nongold
10	water is a part of an environment	nongold
11	a natural resource is a kind of environmental factor	nongold
12	a body of water is a kind of environment	nongold
13	animals; living things require water for survival	gold
14	an environment means an area	nongold
15	nature is the source of natural resources	gold
16	to be used for something means to be required by that something	nongold
17	an animal is a kind of organism	nongold
18	an environment is similar to an ecosystem	nongold
19	an aquatic animal is a kind of animal	nongold
20	requiring something means needing that something	nongold
21	organisms are a part of an environment	nongold
22	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
23	aquatic animal means water animal	nongold
24	an animal is a kind of living thing	nongold
25	human is a kind of organism	nongold
26	water is a renewable resource	nongold
27	an animal; living thing requires nutrients for survival	nongold
28	a renewable resource is a kind of natural resource	nongold
29	a plants; living things require water for survival; to grow	nongold
30	requiring is similar to needing help	nongold
31	protecting nature has a positive impact on the environment	nongold
32	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
33	natural resources are found in nature	nongold
34	an organism is a living thing	nongold
35	if something causes a process then that something is required for that process	nongold
36	person is synonymous with human	nongold
37	a body of water contains water	nongold
38	helping something has a  positive impact on that something	nongold
39	if something is required for a process then that something positively impacts that process	nongold
40	a body of water is a source of water	nongold
41	an ecosystem contains a large community of; large numbers of living organisms	nongold
42	aquatic animals; plants live in bodies of water	nongold
43	humans require fresh water to survive	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	if something requires something else then that something requires a source of that something else	nongold
46	water is when humans pollute the environment with pollutants	nongold
47	harming something has a  negative impact on; effect on that something	nongold
48	an environment is a kind of place	nongold
49	negative impact is the opposite of positive impact	nongold
50	to impact means to affect	nongold
51	food is a kind of resource	nongold
52	animals are a renewable resource	nongold
53	change is a kind of impact	nongold
54	where something  comes from is a source of that something	nongold
55	a role in the ecosystem is a role in the food chain process	nongold
56	plants are a kind of resource	nongold
57	an ocean is a kind of body of water	nongold
58	plants are a part of the environment	nongold
59	if something comes from something else then that something else is a source of that something	nongold
60	good means positive	nongold
61	if something gains something from something else then that something else is a source of that something	nongold
62	producer is a kind of role in the food chain process; in an ecosystem	nongold
63	An example of an environment is a forest; a river; a grassland; an ocean	nongold
64	if something has a positive impact on something else then that something is important to that something else	nongold
65	impact means effect	nongold
66	if something requires something else then that something else is important to that something	nongold
67	an increase is a kind of change	nongold
68	less is similar to decrease	nongold
69	a producer is a kind of living thing	nongold
70	a process is a kind of event	nongold
71	a living thing is a kind of object	nongold
72	conserving water can be used for survival in a dry environment	nongold
73	renewable is the opposite of nonrenewable	nongold
74	the atmosphere is a part of nature; the environment	nongold
75	an event is a kind of action	nongold
76	animals usually distance themselves from humans	nongold
77	decreasing something positive has a negative impact on a thing	nongold
78	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
79	a factor impacts something	nongold
80	life means living things	nongold
81	water is a kind of substance	gold
82	a plant; living thing requires food for survival	nongold
83	trees are a kind of natural resource	nongold
84	best means most positive	nongold
85	humans cause pollution	nongold
86	storing water is a kind of adaptation	nongold
87	a component of something means a part of that something	nongold
88	the amount of something is similar to the availability of something	nongold
89	ocean is a source of wild fish for human populations	nongold
90	what something needs is a property of that something	nongold
91	an increase is the opposite of a decrease	nongold
92	change is a kind of process	nongold
93	little is similar to decrease	nongold
94	a food contains nutrients for living things	nongold
95	dying is the opposite of living; surviving	nongold
96	decreasing something negative has a positive impact on a thing	nongold
97	high is similar to increase	nongold
98	increase means more	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
