Question	The Sun appears larger than other stars because of its	question
Answer	distance from Earth	answer
0	the Sun is a kind of star	gold
1	a star is a kind of celestial object; celestial body	gold
2	the Sun is the  star that is closest to Earth	gold
3	smaller means less; lower in size	nongold
4	the sun is average in size for a star in our galaxy	nongold
5	larger means greater; higher; more; increase in size	nongold
6	as distance from an object decreases , that object will appear larger	gold
7	small is the opposite of large	nongold
8	as distance to an object increases , that object will appear smaller	nongold
9	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
10	if an object is close then that object will appear large	nongold
11	the sun is a source of light; light energy called sunlight	nongold
12	larger; bigger is the opposite of smaller	nongold
13	a star is usually larger than a planet	nongold
14	the sun is  the largest celestial body in our solar system	nongold
15	a star is a source of light; light energy through nuclear reactions	nongold
16	greatest means largest; highest; most amount of something	nongold
17	largest means greatest in size	nongold
18	higher means greater; above in value; amount; number	nongold
19	far means great in distance	nongold
20	closer means lower; less; a decrease in distance	gold
21	furthest; farthest means greatest; most; highest in distance	nongold
22	high is similar to increase	nongold
23	greater means higher; more in value	nongold
24	size; amount of space means volume	nongold
25	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
26	an increase is the opposite of a decrease	nongold
27	Earth is a kind of planet	nongold
28	distant means great in distance	nongold
29	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
30	sunlight is a kind of light	nongold
31	as the size of a source of light increases , that source of light will appear brighter	nongold
32	the sun is not a star in the night sky	nongold
33	low is similar to decrease	nongold
34	an part of an object is smaller than the entire object	nongold
35	decreasing is similar to becoming smaller	nongold
36	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
37	the sun rises in the east	nongold
38	the sun is the source of solar energy called sunlight	nongold
39	length is a part of size	nongold
40	a star produces light and heat	nongold
41	increase means more	nongold
42	the sun is a source of radiation; heat called sunlight	nongold
43	far is the opposite of close	nongold
44	the sun sets in the west	nongold
45	Earth is the planet that is third closest to the  Sun	nongold
46	sunlight is a kind of solar energy	nongold
47	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
48	less is similar to decrease	gold
49	the sun is a kind of yellow dwarf	nongold
50	near; close is the opposite of far; away	nongold
51	close means low in distance	nongold
52	little means small	nongold
53	brighter means higher; greater in brightness	nongold
54	massive is similar to large	nongold
55	sunlight means solar energy	nongold
56	growing larger is when size increases	nongold
57	low is the opposite of high	nongold
58	the stars in the night sky are very far away from the Earth	nongold
59	larger is a kind of difference	nongold
60	two objects are usually different in size	nongold
61	a lot means large in amount; quantity	nongold
62	distance is a property of space and includes ordered values of close; far	nongold
63	to lower means to decrease	nongold
64	the Earth revolves around the sun	nongold
65	how something  appears is how that something  looks	nongold
66	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
67	the sun is the strongest source of gravity in the solar system	nongold
68	if it is night then the sun has set	nongold
69	highest means largest; greatest; most in height	nongold
70	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
71	shorter means smaller; less in  height	nongold
72	Earth is a planet that is closer to the  Sun than Jupiter	nongold
73	a living thing is a kind of object	nongold
74	the Sun has average brightness compared to other stars	nongold
75	expand means increase in size	nongold
76	toward is the opposite of away	nongold
77	the sun rising; setting occurs once per day	nongold
78	the size of an organism is an inherited characteristic	nongold
79	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
80	as a source of light becomes closer , that source will appear brighter	nongold
81	intensity of sunlight is similar to amount of sunlight	nongold
82	due to means caused by	nongold
83	amount is similar to number	nongold
84	largest amount means most	nongold
85	faster means an increase; higher in speed	nongold
86	fewer means lower; less in number	nongold
87	the sun rising and setting causes cycles of day and night	nongold
88	long means great in length	nongold
89	a planet's  moon is smaller than that planet	nongold
90	less is the opposite of more	nongold
91	astronomical unit is a measure of distance between Earth and the Sun	nongold
92	an increase is a kind of change	nongold
93	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	nongold
94	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
95	north is the opposite of south	nongold
96	as the amount; size of something increases , the extensive properties of that something will increase	nongold
97	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
98	mass is similar to size	nongold
99	when things erode , those things may become smaller	nongold
