Question	In order to survive, all organisms must have	question
Answer	energy	answer
0	must have means require	gold
1	living things all require energy for survival	gold
2	an organism is a living thing	gold
3	all cells require energy	nongold
4	requiring is similar to needing help	nongold
5	if a living thing requires something then that something has a positive impact on that living thing	nongold
6	survival means to survive	nongold
7	life means living things	nongold
8	an animal is a kind of living thing	nongold
9	food is a source of energy for animals; plants	nongold
10	an animal is a kind of organism	nongold
11	resources sometimes are used for energy	nongold
12	solar energy is a kind of energy	nongold
13	answering questions requires information	nongold
14	survive means live	nongold
15	survive means live	nongold
16	to depend on; to rely on; to need means to require	nongold
17	if an event is required for a process then that event must occur before that process can occur	nongold
18	light is a kind of energy	nongold
19	light is a kind of energy	nongold
20	nutrients are a source of energy for living things	nongold
21	organisms mean life	nongold
22	to be used for something means to be required by that something	nongold
23	chemical energy is a kind of energy	nongold
24	dying is the opposite of living; surviving	nongold
25	an organism requires energy for growth; repair	nongold
26	organisms are a part of an environment	nongold
27	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
28	requiring something means needing that something	nongold
29	to lack means to not have	nongold
30	a lack of something that a living thing requires prevents the survival of that living thing	nongold
31	if something is required then that something must be provided	nongold
32	a process usually requires all of the stages in that process	nongold
33	helping something has a  positive impact on that something	nongold
34	death means to die	nongold
35	to be required means to be necessary	nongold
36	food is a kind of chemical energy	nongold
37	if something causes a process then that something is required for that process	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	a living thing is a kind of object	nongold
41	harming an environment causes harm to the living things; to the organisms in that environment	nongold
42	negative impact is the opposite of positive impact	nongold
43	cellular energy is a kind of chemical energy	nongold
44	nuclear energy is a kind of energy	nongold
45	killing means changing a living thing from alive to dead by harming	nongold
46	the increase of something required by an organism has a positive impact on that organism's survival	nongold
47	nonliving; non-living; die is the opposite of living; alive; live	nongold
48	harming something has a  negative impact on; effect on that something	nongold
49	being active requires energy	nongold
50	a process is a kind of event	nongold
51	a decomposer is a kind of living thing	nongold
52	all cells take in energy	nongold
53	living things require respiration to use energy	nongold
54	a human is a kind of animal	nongold
55	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
56	sound is a kind of energy	nongold
57	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
58	a living thing is made of cells	nongold
59	chemical energy is a kind of potential energy	nongold
60	if a living thing dies then that living thing is dead	nongold
61	a plant is a kind of organism	nongold
62	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
63	if an organism eats something then that something is a source of frood to that organism	nongold
64	an event is a kind of action	nongold
65	living things eat their food source	nongold
66	a plant; living thing requires food for survival	nongold
67	a worm is a kind of decomposer	nongold
68	a part of a process means a stage in a process	nongold
69	if an organism cannot do something , then that organism is unable to do that something	nongold
70	releasing energy is a kind of function	nongold
71	if an organism can do something , then that organism is able to do that something	nongold
72	the sun is the source of energy for life on Earth	nongold
73	increasing is a kind of order	nongold
74	an organism eating is a kind of action	nongold
75	harming an organism can cause that organism to die	nongold
76	solution is similar to a positive impact	nongold
77	if something is required for a process then that something positively impacts that process	nongold
78	sunlight is a kind of solar energy	nongold
79	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
80	a predator is a kind of animal	nongold
81	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
82	a problem has a negative impact on a thing	nongold
83	a fungus is a kind of organism	nongold
84	an earthworm is a kind of decomposer	nongold
85	an animal; bacterium requires oxygen for survival; to breathe	nongold
86	good means positive	nongold
87	if something generates energy for something else then that something powers that something else	nongold
88	a decomposer is usually a bacterium; fungus	nongold
89	a food contains nutrients for living things	nongold
90	a reaction is a kind of process	nongold
91	if something has a positive impact on the survival of an organism then that organism is likely going to survive	nongold
92	an animal requires enough nutrients to maintain good health; survive	nongold
93	energy flows in an ecosystem through food chains	nongold
94	inability is the opposite of ability	nongold
95	high is similar to increase	nongold
96	a step in a process means a stage in a process	nongold
97	best means most positive	nongold
98	an increase is a kind of change	nongold
99	if something performs a task then that task is that something's function	nongold
