Question	An example of a learned trait is	question
Answer	being able to read	answer
0	a learned characteristic is a kind of acquired characteristic	nongold
1	trait is synonymous with characteristic	gold
2	skills are learned characteristics; behaviors	gold
3	ability is a kind of characteristic	nongold
4	the ability to do means be able to do	nongold
5	a kind of something is an example of that something	nongold
6	being able to read is a kind of skill	gold
7	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
8	reading  requires seeing	nongold
9	intelligence is an acquired characteristic	nongold
10	trait means property	nongold
11	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
12	an animal is a kind of organism	nongold
13	usually people learn how to read and write in school	nongold
14	learning; studying information causes one to know that information	nongold
15	an animal is a kind of living thing	nongold
16	answering questions requires information	nongold
17	an inherited characteristic is a kind of characteristic	nongold
18	a human is a kind of animal	nongold
19	literacy is a kind of skill for reading and writing	nongold
20	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
21	trait is a kind of genetic information	nongold
22	characteristic means property	nongold
23	able is the opposite of unable	nongold
24	can be means able to be	nongold
25	literacy is when humans can read and write	nongold
26	senses are an inherited characteristic	nongold
27	a living thing is a kind of object	nongold
28	an organism is a living thing	nongold
29	sense is a kind of characteristic of an animal	nongold
30	communication is a learned behavior	nongold
31	using tools is a learned characteristic	nongold
32	reading is a kind of activity	nongold
33	conditioned behavior is a kind of learned behavior	nongold
34	human is a kind of organism	nongold
35	inability is the opposite of ability	nongold
36	inherited characteristics are a kind of hereditary information	nongold
37	an adaptation is a kind of characteristic	nongold
38	a plant is a kind of organism	nongold
39	personality is an acquired characteristic	nongold
40	following orders is a learned characteristic	nongold
41	if an animal is trained to do something then that something is a learned behavior	nongold
42	a plant is a kind of living thing	nongold
43	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
44	a behavior is a kind of characteristic	nongold
45	a sense is a kind of ability	nongold
46	a part of something means a characteristic of something	nongold
47	instruction is a kind of information	nongold
48	speaking is a kind of communication	nongold
49	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
50	what an object is made of is a kind of characteristic	nongold
51	preferences are generally learned characteristics	nongold
52	learned behaviors are learned over the  lifetime of the animal	nongold
53	can means having the ability to	nongold
54	an animal knows how to do  instinctive behaviors when it is born	nongold
55	curiosity is a kind of human quality	nongold
56	knowing the properties of something means knowing information about that something	nongold
57	if an organism can do something , then that organism is able to do that something	nongold
58	feature is synonymous with characteristic	nongold
59	human is similar to individual	nongold
60	a brain is a part of an animal	nongold
61	determining is similar to learning	nongold
62	animals learn some behaviors from watching their parents	nongold
63	language is a kind of communication	nongold
64	if studying something is used to learn about something then that something is a source of information	nongold
65	a book is a kind of object	nongold
66	learning about something sometimes requires observing that something	nongold
67	sight is a kind of sense	nongold
68	eyes are a part of a human for seeing	nongold
69	animal instinct means instinctive behavior	nongold
70	aspect of something is similar to part of something	nongold
71	social behavior is a kind of learned behavior	nongold
72	a student is a kind of human	nongold
73	short is a recessive trait in plants	nongold
74	eyes are usually part of an animal for seeing	nongold
75	curiosity means the need to know new information	nongold
76	traits can be determined by one pair; many pairs of genes in an organism	nongold
77	hearing is a kind of sense	nongold
78	if something has the ability to do something else , then that something can do that something else	nongold
79	performance is similar to ability	nongold
80	talking is when a human produces sound to communicate	nongold
81	feeling is when an living thing senses through touch	nongold
82	verbal accent is an acquired characteristic	nongold
83	adaptation is when an organism develops a trait over time for survival	nongold
84	phenotype of an organism means the visible traits of  an organism	nongold
85	person is synonymous with human	nongold
86	knowing sometimes requires determing	nongold
87	variable means able to change	nongold
88	a component of something means a part of that something	nongold
89	a type is synonymous with a kind	nongold
90	a structure of something is synonymous with a part of that something	nongold
91	species is an inherited characteristic	nongold
92	locomotion is a generally learned behavior	nongold
93	an ear is a kind of body part	nongold
94	high is similar to increase	nongold
95	doing something more is a kind of conditioned behavior	nongold
96	life means living things	nongold
97	a property is a kind of information	nongold
98	to give is similar to to cause	nongold
99	genes are able to determine the inherited characteristics of a living thing	nongold
