Question	Which human activity is most harmful to the natural environment?	question
Answer	cutting down a rain forest	answer
0	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	gold
1	removing a forest means cutting down a forest	nongold
2	cutting down a forest means cutting down the trees in that forest	gold
3	removing a forest means cutting down the trees in that forest	nongold
4	clearing a forest means humans cutting down the trees	nongold
5	action means activity	nongold
6	a rain forest is a kind of forest	gold
7	planting trees is sometimes a human activity	nongold
8	a forest is a kind of environment	nongold
9	destroying a forest means cutting down the trees in that forest	nongold
10	logging is when humans cut down trees; forests for wood	gold
11	nature means a natural environment	nongold
12	removing forests means removing animal habitats	nongold
13	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	gold
14	a forest contains  lots of plants; trees	gold
15	deforestation is the process of cutting down trees	nongold
16	if a tree is cut down then that tree will die	nongold
17	damage means harm	nongold
18	a rainforest is a kind of ecosystem	nongold
19	clearing a forest is similar to deforestation	nongold
20	destroying something causes harm to that something	nongold
21	planting trees is the opposite of cutting down trees	nongold
22	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
23	a forest is a kind of ecosystem	gold
24	harming something has a  negative impact on; effect on that something	gold
25	an environment means an area	nongold
26	protecting nature has a positive impact on the environment	nongold
27	An example of an environment is a forest; a river; a grassland; an ocean	nongold
28	harming an environment causes harm to the living things; to the organisms in that environment	nongold
29	adverse effect means negative impact	nongold
30	clearing is similar to removing	nongold
31	something harmful can cause harm	nongold
32	impact means effect	nongold
33	humans cause pollution	nongold
34	deforested area means an area where trees have been cut down	nongold
35	planting is a kind of human action	nongold
36	destroying animal habitats has a negative  impact on an ecosystem	nongold
37	pollution has a negative impact on the environment; air quality; water quality; society	nongold
38	humans changing an environment sometimes causes that environment to be destroyed	nongold
39	loss is similar to removal	nongold
40	protecting something means preventing harm to that something	nongold
41	damage has a negative impact on a thing	nongold
42	rain is a kind of water	nongold
43	plants are a part of the environment	nongold
44	a human is a kind of animal	nongold
45	humans changing animal habitats usually causes harm to those animals	nongold
46	forest is synonymous with wooded area	nongold
47	an environment is similar to an ecosystem	gold
48	rain is a source of water	nongold
49	a plant is a kind of organism	nongold
50	killing means harming something causing death	nongold
51	fire causes harm to trees; to forests; to living things	nongold
52	something dangerous can cause harm	nongold
53	growing is a kind of activity	nongold
54	to impact means to affect	nongold
55	planting trees has a  positive impact on an ecosystem	nongold
56	creating is a kind of activity	nongold
57	a tree is a kind of living thing	nongold
58	building usually requires cutting down trees	nongold
59	An example of protecting the environment is creating protected areas	nongold
60	destroying animal habitats changes an ecosystem	nongold
61	burning a living thing usually causes harm to that living thing	nongold
62	rainfall means precipitation	nongold
63	timber companies cut down trees	nongold
64	rain is a kind of precipitation	nongold
65	negative impact is the opposite of positive impact	nongold
66	a tree is a kind of plant	nongold
67	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
68	a plant is a kind of living thing	nongold
69	if a habitat is removed then that habitat is destroyed	nongold
70	roots are a part of a plant; tree	nongold
71	adding is a kind of activity	nongold
72	a negative impact is a kind of consequence; risk	nongold
73	destruction means loss	nongold
74	woodland means forest	nongold
75	organisms are a part of an environment	nongold
76	nature is the source of natural resources	nongold
77	person is synonymous with human	nongold
78	limiting something is a kind of activity	nongold
79	harm means danger	nongold
80	rainfall means the amount of precipitation	nongold
81	remove means decrease	nongold
82	removing an inhibitor of a process causes that process	nongold
83	reproducing is a kind of activity	nongold
84	a natural ecosystem contains native living things only	nongold
85	an event is a kind of action	nongold
86	human waste often causes harm to an environment	nongold
87	polluting is a kind of activity	nongold
88	human is a kind of organism	nongold
89	destruction means to destroy	nongold
90	loss of resources has a negative impact on  the organisms in an area	nongold
91	rain causes erosion	nongold
92	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
93	helping something has a  positive impact on that something	nongold
94	action can cause change	nongold
95	destroying something decreases the amount of that something	nongold
96	a motion is a kind of event; action	nongold
97	planting crops is a kind of activity	nongold
98	death means to die	nongold
99	an ecosystem contains a large community of; large numbers of living organisms	gold
