Question	Which color shirt will reflect the most light on a hot, sunny day?	question
Answer	white	answer
0	a sunny day has  lots of sunlight	gold
1	white is a kind of color	gold
2	white objects absorbs the least sunlight	nongold
3	if an object is white then that object reflects all visible light	nongold
4	a shirt is a kind of article of clothing	gold
5	a white object reflects all visible light	gold
6	sunshine means sunlight	nongold
7	sunny is a kind of weather	nongold
8	bright means bright; light in color	nongold
9	reflecting light; sound is the opposite of absorbing light; sound	nongold
10	black objects absorbs the most sunlight	nongold
11	if an object reflects a light of a certain color then the object appears to be that color	nongold
12	clear weather means sunny; not cloudy; not rainy weather	nongold
13	sunlight is a kind of light	gold
14	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
15	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
16	if an object is black then that object absorbs all visible light; heat	nongold
17	color is a property of  an object; a material	nongold
18	brightness means amount of light	nongold
19	bright means a lot of light	nongold
20	sunlight means solar energy	nongold
21	hot means high in heat energy; temperature	nongold
22	the sun is a source of light; light energy called sunlight	nongold
23	if an object reflects more light then that object is more easily seen	nongold
24	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
25	if something is outside during the day , then that something will reflect enough light to be seen	nongold
26	sunlight produces heat	nongold
27	the sun is a source of radiation; heat called sunlight	nongold
28	reflection is when light is reflected from one object; one place to  another object; another place	nongold
29	white light is made of all colors of visible light combined	nongold
30	to bounce back means to reflect	nongold
31	coloration means a thing's color	nongold
32	the sunlight occurs during the day	nongold
33	objects of other colors absorbs less amount of sunlight than black objects	nongold
34	sunlight is a kind of solar energy	nongold
35	green is a kind of color	nongold
36	shiny things; objects reflect light	nongold
37	daylight means sunlight	nongold
38	color is a kind of physical; visual property	nongold
39	heat means heat energy	nongold
40	dark means a low amount of light	nongold
41	a hot; warm something is a source of heat	nongold
42	warm means medium heat energy; temperature	nongold
43	if something is outside during the day then that something will receive sunlight	nongold
44	solar energy is a kind of light	nongold
45	black is a kind of color	nongold
46	intensity of sunlight is similar to amount of sunlight	nongold
47	dark is the opposite of light	nongold
48	darker objects absorb more light than light colored objects	nongold
49	solar energy is a kind of heat energy	nongold
50	if an object is blue then that object reflects only blue light	nongold
51	the sun is the source of solar energy called sunlight	nongold
52	to receive sunlight means to absorb sunlight	nongold
53	temperature is a measure of heat energy	nongold
54	absorbing sunlight causes objects to heat	nongold
55	a type is synonymous with a kind	nongold
56	brighter means higher; greater in brightness	nongold
57	to put on means to wear	nongold
58	red is a kind of color	nongold
59	a human is a kind of animal	nongold
60	increase means more	nongold
61	gray is a combination of black and white	nongold
62	a blue object reflects only blue light	nongold
63	shade means low sunlight	nongold
64	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
65	high is similar to increase	nongold
66	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
67	coloration means a pattern of colors	nongold
68	to lower means to decrease	nongold
69	light reflecting off of an object causes that object to be visible to the observer	nongold
70	receiving sunlight  is synonymous with absorbing sunlight	nongold
71	if an object is blue , then that object absorbs all the lights except blue light	nongold
72	solar energy is a kind of energy	nongold
73	UV light is a kind of light	nongold
74	an increase is the opposite of a decrease	nongold
75	a sweater is a kind of article of clothing	nongold
76	rainy is a kind of weather	nongold
77	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
78	solar radiation means solar energy	nongold
79	temperature is a property of weather	nongold
80	low is similar to decrease	nongold
81	temperature changing does not cause color to change	nongold
82	heat has a great impact on weather	nongold
83	sunlight shining means sunlight is provided	nongold
84	a cloudy day has little sunlight	nongold
85	warm is the opposite of cool	nongold
86	An example of camouflage is when something is; has the same color as its environment	nongold
87	the Sun is a kind of star	nongold
88	greatest means largest; highest; most amount of something	nongold
89	as the light reflected off of an object increases , the object will appear to be brighter	nongold
90	to reduce means to decrease	nongold
91	warm is similar to hot	nongold
92	an article of clothing is a kind of object	gold
93	light means light energy	nongold
94	to reflect light means to scatter light	nongold
95	cool means cold	nongold
96	an animal is a kind of living thing	nongold
97	pink is a combination of red and white	nongold
98	to be in the sun means to be in the sunlight	nongold
99	summer has hot temperatures; weather	nongold
