Question	Which object will most likely be attracted to a magnet?	question
Answer	metal nail	answer
0	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
1	a magnet is a kind of object	nongold
2	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
3	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	gold
4	a nail is a kind of object	gold
5	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
6	if something contains a large amount of magnetic material then that something will attract magnets	nongold
7	nails are often made of iron	nongold
8	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
9	metal is a kind of substance	nongold
10	magnetism can affect objects that are not touching	nongold
11	metal is a kind of material	nongold
12	metal is sometimes magnetic	gold
13	magnetism can cause objects to repel each other	nongold
14	soft iron; iron is always ferromagnetic; magnetic	nongold
15	iron nails are made of iron	nongold
16	a device is a kind of object	nongold
17	Magnetite is always magnetic	nongold
18	magnetic force means magnetism	nongold
19	if one surface; one substance; one object touches something then one is exposed to that something	nongold
20	a tool is a kind of object	nongold
21	if an object is made of a material then that object has the properties of that material	nongold
22	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
23	iron is always magnetic	nongold
24	magnetism is a kind of physical property	nongold
25	magnetism is a kind of energy	nongold
26	a magnet contains a north pole; south pole	nongold
27	material means substance	nongold
28	metals are made of metal	nongold
29	an electrical charge can attract objects to other objects	nongold
30	attract means move closer	nongold
31	magnetism is a kind of force	nongold
32	objects are made of materials; substances; matter	nongold
33	to touch means to contact	nongold
34	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
35	an object has properties	nongold
36	magnetic attraction pulls two objects together	nongold
37	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
38	causing means influencing	nongold
39	attracting is a kind of function; activity	nongold
40	a surface is a part of a material	nongold
41	pull is similar to attract	nongold
42	device means tool	nongold
43	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
44	can be means able to be	nongold
45	the shape  of an object can be discovered through feeling that object; touching that object	nongold
46	a horseshoe magnet is a kind of magnet	nongold
47	metal is an  electrical; electrical energy conductor	nongold
48	plastic is always nonmagnetic	nongold
49	being  on something; placed in something; placed over something means touching  that something	nongold
50	a surface is a part of an object	nongold
51	an element is a kind of material	nongold
52	attracting something to a location causes that something  to be near that location	nongold
53	steel; carbon steel is always ferromagnetic; magnetic	nongold
54	metal is a thermal; thermal energy conductor	nongold
55	Siderite is always magnetic	nongold
56	high is similar to increase	nongold
57	a type is synonymous with a kind	nongold
58	an part of an object is smaller than the entire object	nongold
59	wood is always nonmagnetic	nongold
60	often is similar to likely	nongold
61	a metal is a kind of element	nongold
62	materials are made of matter	nongold
63	an electromagnet is a kind of electric magnet	nongold
64	zinc is always nonmagnetic	nongold
65	a machine is a kind of  device	nongold
66	a paper clip is often made of magnetic metals; ferromagnetic metals	nongold
67	a metal rod is a kind of object	nongold
68	form means kind	nongold
69	glass is always nonmagnetic	nongold
70	if something is made by something else then that something is affected by that something else	nongold
71	a living thing is a kind of object	nongold
72	feeling is when an living thing senses through touch	nongold
73	substances are made of matter	nongold
74	a hand is a kind of object	nongold
75	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	an object is an item	nongold
78	a metal is usually a solid at room temperature	nongold
79	touching something means feeling that something	nongold
80	aluminum is a kind of matter	nongold
81	tin is always nonmagnetic	nongold
82	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
83	to add means to increase	nongold
84	instrument means device	nongold
85	iron is a kind of metal	nongold
86	a machine is a kind of object	nongold
87	sand is always nonmagnetic	nongold
88	affected means changed	nongold
89	conductivity is a property of a material; substance	nongold
90	touch is a kind of sense	nongold
91	silver is always nonmagnetic	nongold
92	a surface is a kind of object	nongold
93	answering questions requires information	nongold
94	structure is a property of an object; a material; a substance	nongold
95	instrument means tool	nongold
96	paper is always nonmagnetic	nongold
97	magnetic energy is a kind of energy	nongold
98	to be formed by is similar to being produced by	nongold
99	an object; material; substance comes from that object or material's source	nongold
