Question	Which is an example of a chemical reaction?	question
Answer	The burning of wood	answer
0	wood burns	gold
1	burning wood is used to produce heat	nongold
2	fire is a kind of chemical reaction	gold
3	a kind of something is an example of that something	gold
4	fire causes burning	gold
5	a chemical reaction is a kind of process	nongold
6	combustion means fire converts chemical energy into light energy and heat energy	nongold
7	a reaction is a kind of process	nongold
8	a flame are a part of a fire	nongold
9	a tree contains wood	nongold
10	wood is a kind of natural material	nongold
11	to combust means to catch fire	nongold
12	combustion is a kind of exergonic reaction	nongold
13	An example of combustion is explosion	nongold
14	wood is a thermal; thermal energy insulator	nongold
15	wood is an thermal; thermal energy insulator	nongold
16	fire causes harm to trees; to forests; to living things	nongold
17	a firewood is a kind of object	nongold
18	combustion is a kind of exothermic reaction	nongold
19	dry wood easily burns	nongold
20	wood is a kind of object	nongold
21	chemical reactions cause chemical change	nongold
22	combustion is a kind of chemical change	nongold
23	wood is a strong material	nongold
24	a tree is a kind of plant	nongold
25	photosynthesis is a kind of chemical reaction	nongold
26	an oak is a kind of tree	nongold
27	combining; mixing two substances chemically causes chemical reactions	nongold
28	putting out a fire stops the burning of that fire	nongold
29	a fire requires  oxygen to burn	nongold
30	cooking causes a chemical reaction	nongold
31	burning is a kind of action	nongold
32	a process is a kind of event	nongold
33	wood is a kind of nonmetal	nongold
34	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
35	to be formed by is similar to being produced by	nongold
36	adding heat to an object sometimes causes chemical reactions	nongold
37	bark is a part of a tree	nongold
38	a burner is a kind of object; surface	nongold
39	fire gives off light; heat; smoke	nongold
40	paper burns	nongold
41	most chemical reactions release or absorb heat energy	nongold
42	a tree is a kind of living thing	nongold
43	emit means produce	nongold
44	combustibility means the ability of combustion	nongold
45	chemical change is a kind of chemical reaction	nongold
46	lighting a candle causes that candle to burn	nongold
47	wood is a light material	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	an event is a kind of action	nongold
50	a tree is a kind of matter	nongold
51	if something causes a process then that something is required for that process	nongold
52	fire destroys plants in an environment	nongold
53	photosynthesis is a kind of chemical  process	nongold
54	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
55	burning a living thing usually causes harm to that living thing	nongold
56	An example of a chemical property is how a material reacts chemically	nongold
57	green plants are a kind of producer	nongold
58	a part of a process means a stage in a process	nongold
59	a plant is a kind of living thing	nongold
60	products are formed; are produced; are created	nongold
61	compound is a kind of chemical	nongold
62	matter; materials; substances are made of atoms; particles	nongold
63	to give is similar to to cause	nongold
64	decomposition is a kind of process	nongold
65	carbon is a kind of element	nongold
66	a burner is a part of a  stove	nongold
67	a burner is made of metal	nongold
68	heat means heat energy	nongold
69	death means to die	nongold
70	chemical reactions cause new substances; different substances to form	nongold
71	materials are made of matter	nongold
72	to cause an event is similar to being involved in that event	nongold
73	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
74	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
75	producing is similar to causing	nongold
76	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
77	a chemical compound is a kind of compound	nongold
78	make means produce	nongold
79	a candle is a kind of object	nongold
80	to cause means to make	nongold
81	material means substance	nongold
82	grass does not contain wood	nongold
83	metal is a kind of material	nongold
84	a decomposer is a kind of living thing	nongold
85	something that happens is a kind of event	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	an element is a kind of material	nongold
88	producing is similar to releasing	nongold
89	a producer is a kind of living thing	nongold
90	an animal is a kind of living thing	nongold
91	substances are made of matter	nongold
92	a process usually requires all of the stages in that process	nongold
93	wood is usually sturdy	nongold
94	acid can cause chemical change	nongold
95	a compound is a kind of material	nongold
96	burning gasoline is a source of  heat energy	nongold
97	to be used for something means to be required by that something	nongold
98	substances have chemical properties	nongold
99	objects are made of materials; substances; matter	nongold
